date,country,topic,mudando a,huir de Venezuela,huyendo de Venezuela,como salir de Venezuela,como irse de Venezuela,lugar seguro en Brasil,lugar seguro en Colombia,lugar seguro en Guayana,lugares seguros en Brasil,lugares seguros en Colombia,lugares seguros en Guayana,lugar para quedarse en Brasil,lugar para quedarse en Colombia,lugar para quedarse en Guayana,lugares para quedarse en Brasil,lugares para quedarse en Colombia,lugares para quedarse en Guayana,refugio seguro en Brasil,refugio seguro en Colombia,refugio seguro en Guayana,refugiado,refugiado de Venezuela,refugiada,refugiada de Venezuela,asilo,asilo en Brasil,asilo en Colombia,asilo en Guayana,emergencia en Venezuela,yéndose de Venezuela,saliendo de Venezuela,camino seguro de Venezuela,camino seguro a Brasil,camino seguro a Colombia,camino seguro a Guayana,ruta segura de Venezuela,ruta segura a Brasil,ruta segura a Colombia,ruta segura a Guayana,tener que salir de Venezuela,tengo que salir de Venezuela,salvoconducto,salida,salida de Venezuela,ayúdame a salir de Venezuela,necesito ayuda para salir de Venezuela,como salir mañana,tengo que irme de Venezuela
2019-12-01,VEN,general,0,0,0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,40.0,0.0,12.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0,2.0,0.0,0.0,0.0,0.0
2020-01-01,VEN,general,0,0,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,7.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.0,4.0,0.0,0.0,0.0,0.0
2020-02-01,VEN,general,0,0,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,72.0,6.0,0.0,0.0,0.0,0.0
2020-03-01,VEN,general,0,0,0,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,8.0,0.0,100.0,0.0,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,72.0,8.0,0.0,0.0,0.0,0.0
2020-04-01,VEN,general,0,0,0,32,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,31.0,0.0,2.6666666666666665,0.0,43.33333333333333,0.0,11.047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,86.0,6.0,0.0,0.0,0.0,0.0
2020-05-01,VEN,general,0,0,0,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,4.0,0.0,75.0,0.0,8.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,88.0,8.0,0.0,0.0,0.0,0.0
2020-06-01,VEN,general,0,0,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,9.0,0.0,0.0,44.0,0.0,0.0,0.0,35.30769230769231,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,81.0,4.0,0.0,0.0,0.0,0.0
2020-07-01,VEN,general,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,9.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,69.0,4.0,0.0,0.0,0.0,0.0
2020-08-01,VEN,general,0,0,0,72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,0.0,53.0,0.0,6.0,0.0,11.0,0.0,7.885714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,71.0,4.0,0.0,0.0,0.0,0.0
2020-09-01,VEN,general,0,0,0,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0,52.0,0.0,3.333333333333333,0.0,12.0,0.0,3.452380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,69.0,4.0,0.0,0.0,0.0,0.0
