date,country,topic,vivienda,viviendas,vivienda en Brasil,vivienda en Colombia,vivienda en Guayana,viviendas en Brasil,viviendas en Colombia,viviendas en Guayana,alojamiento en Brasil,alojamiento en Colombia,alojamiento en Guayana,ruta a Brasil,ruta a Colombia,ruta a Guayana,camino a Brasil,camino a Colombia,camino a Guayana,zona segura en Brasil,zona segura en Colombia,zona segura en Guayana,región segura en,frontera con Brasil,frontera con Colombia,frontera con Guayana,cruce,cruce de fronteras abiertas,fronteras abiertas,cruce de fronterizo más cercano,cruce seguro de fronteras,zonas seguras,regiones seguras,hogares en Brasil,hogares en Colombia,hogares en Guayana
2021-09-01,VEN,geography,28,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,27.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,VEN,geography,33,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,VEN,geography,40,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,VEN,geography,23,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,35.0,0.0,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,VEN,geography,39,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,47.0,0.0,2.6666666666666665,0.0,0.0,1.893719806763285,0.0,0.0,0.0,0.0
2022-02-01,VEN,geography,46,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,31.0,6.0,61.0,0.0,1.6883116883116882,0.0,0.0,1.8571428571428572,0.0,0.0,0.0,0.0
2022-03-01,VEN,geography,40,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,28.0,0.0,61.0,0.0,1.6666666666666665,0.0,0.0,1.2962962962962963,0.0,0.0,0.0,0.0
2022-04-01,VEN,geography,38,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,VEN,geography,41,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,VEN,geography,36,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,40.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
2022-07-01,VEN,geography,34,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,32.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,VEN,geography,32,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,VEN,geography,34,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,VEN,geography,38,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,40.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,VEN,geography,41,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,VEN,geography,18,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,VEN,geography,32,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,37.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
2023-02-01,VEN,geography,34,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,VEN,geography,32,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,2.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,VEN,geography,26,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,3.0,44.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
2023-05-01,VEN,geography,32,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,2.0,44.0,0.0,1.2857142857142858,0.0,0.0,0.9075630252100841,0.0,0.0,0.0,0.0
