date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية
2022-01-01,JO,travel,43,0,0,28,0,3.0,64.0,3.0,0.0,42.0,102.0,0.0,0.0,46.0,0.0,140.0,0.0,142.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,JO,travel,17,0,0,49,0,0.0,71.0,0.0,0.0,10.0,40.0,0.0,0.0,25.0,0.0,37.5,0.0,27.5,6.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,JO,travel,0,0,0,48,0,2.0,67.0,8.0,0.0,28.0,94.0,0.0,0.0,45.33333333333333,0.0,88.0,0.0,66.66666666666666,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,JO,travel,14,0,0,70,0,0.0,50.0,10.0,0.0,22.0,158.0,0.0,0.0,42.625,0.0,94.875,0.0,56.375,12.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,JO,travel,0,0,0,44,0,3.0,50.0,3.0,0.0,25.5,63.0,0.0,0.0,41.19230769230769,0.0,76.5,0.0,38.25,9.807692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,JO,travel,42,0,0,36,0,5.0,72.0,2.0,0.0,24.0,70.0,0.0,0.0,72.0,0.0,121.41176470588236,0.0,77.33333333333333,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,JO,travel,0,0,0,50,0,0.0,73.0,5.0,0.0,30.0,95.0,0.0,0.0,113.33333333333334,0.0,111.66666666666667,0.0,75.0,18.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,JO,travel,10,0,0,43,0,2.0,100.0,8.0,0.0,30.0,66.0,0.0,0.0,75.0,0.0,135.0,0.0,55.90909090909091,13.636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,JO,travel,11,0,0,69,0,0.0,55.0,4.0,0.0,26.0,84.0,0.0,0.0,69.78947368421053,0.0,93.05263157894737,0.0,65.6842105263158,9.578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,JO,travel,20,0,0,44,0,0.0,58.0,5.0,0.0,27.5,110.0,0.0,0.0,82.5,0.0,104.84375,0.0,72.1875,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,JO,travel,18,0,0,100,0,0.0,65.0,4.0,0.0,28.0,64.0,0.0,0.0,113.39999999999999,0.0,75.6,0.0,50.666666666666664,13.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,JO,travel,14,0,0,22,0,4.0,66.0,7.0,0.0,28.0,93.33333333333334,0.0,0.0,93.88235294117646,0.0,82.35294117647058,0.0,59.29411764705882,11.529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,JO,travel,8,0,0,47,0,0.0,71.0,6.0,0.0,26.0,78.0,0.0,0.0,68.42105263157895,0.0,130.0,0.0,62.94736842105263,6.842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,JO,travel,20,0,0,44,0,0.0,60.0,8.0,0.0,26.0,94.0,0.0,0.0,46.800000000000004,0.0,76.7,0.0,75.4,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,JO,travel,11,0,0,61,0,6.0,63.0,6.0,0.0,22.0,124.0,0.0,0.0,41.411764705882355,0.0,88.0,0.0,56.94117647058824,11.647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,JO,travel,0,0,0,70,0,2.0,54.0,4.0,0.0,18.0,200.0,0.0,0.0,41.142857142857146,0.0,68.14285714285715,0.0,32.142857142857146,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,JO,travel,0,0,0,63,0,3.0,74.0,6.0,0.0,14.0,78.0,0.0,0.0,58.54545454545455,0.0,85.27272727272727,0.0,62.36363636363636,8.909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
