date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا
2021-02-01,DZ,travel,0,0,0,47,0,0.0,46.0,34.0,0.0,87.0,46.0,0.0,0.0,14.0,0.0,41.0,0.0,92.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,DZ,travel,0,0,0,17,0,1.0,45.0,38.0,0.0,77.0,50.0,0.0,0.0,11.0,0.0,25.0,0.0,91.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,DZ,travel,19,0,0,52,0,19.0,304.0,247.0,0.0,144.4,224.2,0.0,0.0,101.33333333333333,0.0,190.0,0.0,519.3333333333333,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,DZ,travel,21,0,0,38,0,0.0,236.25,210.0,0.0,281.40000000000003,197.4,0.0,0.0,168.0,0.0,175.0,0.0,504.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,DZ,travel,8,0,0,54,0,0.0,360.0,368.0,0.0,288.0,140.0,0.0,0.0,216.0,0.0,240.0,0.0,512.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,DZ,travel,0,0,0,54,0,0.0,51.0,34.0,0.0,69.0,43.0,0.0,0.0,20.0,0.0,13.0,0.0,41.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,DZ,travel,9,0,0,70,0,13.5,198.0,216.0,0.0,337.5,184.5,0.0,0.0,288.0,0.0,153.0,0.0,270.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,DZ,travel,0,0,0,100,0,2.0,48.0,41.0,0.0,83.0,44.0,0.0,0.0,31.0,0.0,18.0,0.0,38.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,DZ,travel,19,0,0,50,0,12.666666666666666,386.3333333333333,259.66666666666663,0.0,239.39999999999998,136.79999999999998,0.0,0.0,240.66666666666666,0.0,152.0,0.0,373.66666666666663,392.66666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,DZ,travel,18,0,0,56,0,12.0,330.0,240.0,0.0,223.20000000000002,165.6,0.0,0.0,186.0,0.0,168.0,0.0,459.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,DZ,travel,0,0,0,37,0,0.0,55.0,42.0,0.0,89.0,36.0,0.0,0.0,42.0,0.0,25.0,0.0,37.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,DZ,travel,21,0,0,67,0,0.0,262.5,183.75,0.0,298.2,201.60000000000002,0.0,0.0,259.0,0.0,217.0,0.0,329.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,DZ,travel,0,0,0,66,0,0.0,63.0,31.0,0.0,72.0,50.0,0.0,0.0,44.0,0.0,32.0,0.0,42.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,DZ,travel,0,0,0,28,0,1.0,61.0,42.0,0.0,67.0,52.0,0.0,0.0,51.0,0.0,33.0,0.0,40.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,DZ,travel,13,0,0,55,0,0.0,364.0,201.5,0.0,173.33333333333331,420.3333333333333,0.0,0.0,338.0,0.0,240.5,0.0,266.5,292.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,DZ,travel,32,0,0,59,0,10.666666666666666,304.0,229.33333333333331,0.0,304.0,216.0,0.0,0.0,377.6,0.0,198.4,0.0,360.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,DZ,travel,16,0,0,45,0,16.0,346.66666666666663,234.66666666666666,0.0,244.0,212.0,0.0,0.0,800.0,0.0,184.0,0.0,328.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,DZ,travel,9,0,0,48,0,4.5,423.0,252.0,0.0,387.0,270.0,0.0,0.0,783.0,0.0,117.0,0.0,315.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,DZ,travel,8,0,0,79,0,32.0,800.0,456.0,0.0,372.0,308.0,0.0,0.0,576.0,0.0,88.0,0.0,256.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,DZ,travel,0,0,0,53,0,1.0,80.0,47.0,0.0,77.0,59.0,0.0,0.0,87.0,0.0,20.0,0.0,36.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,DZ,travel,14,0,0,48,0,14.0,340.6666666666667,196.0,0.0,210.0,217.0,0.0,0.0,462.0,0.0,224.0,0.0,350.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,DZ,travel,15,0,0,53,0,10.0,305.0,210.0,0.0,228.75,191.25,0.0,0.0,427.5,0.0,285.0,0.0,300.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,DZ,travel,0,0,0,54,0,4.0,64.0,46.0,0.0,70.0,65.0,0.0,0.0,64.0,0.0,31.0,0.0,33.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,DZ,travel,9,0,0,61,0,13.5,315.0,220.5,0.0,265.5,274.5,0.0,0.0,792.0,0.0,261.0,0.0,342.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,DZ,travel,11,0,0,33,0,16.5,412.5,247.5,0.0,201.66666666666666,234.66666666666666,0.0,0.0,462.0,0.0,159.5,0.0,462.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,DZ,travel,27,0,0,45,0,21.6,399.6,264.6,0.0,181.28571428571428,262.2857142857143,0.0,0.0,378.0,0.0,229.5,0.0,283.5,337.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,DZ,travel,7,0,0,73,0,14.0,476.0,245.0,0.0,161.0,350.0,0.0,0.0,434.0,0.0,182.0,0.0,259.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,DZ,travel,16,0,0,70,0,5.333333333333333,368.0,261.3333333333333,0.0,240.0,248.0,0.0,0.0,608.0,0.0,240.0,0.0,280.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
