date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان
2021-06-01,YE,travel,0,0,0,22,0,0.0,48.0,0.0,0.0,36.0,30.0,0.0,0.0,59.0,0.0,34.0,0.0,70.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,YE,travel,0,0,0,0,0,0.0,27.0,5.0,0.0,68.33333333333334,86.66666666666667,0.0,0.0,20.0,0.0,0.0,0.0,80.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,YE,travel,0,0,0,0,0,0.0,38.0,0.0,0.0,39.0,32.0,0.0,0.0,11.0,0.0,31.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,YE,travel,0,0,0,47,0,0.0,14.0,0.0,0.0,47.0,36.0,0.0,0.0,25.0,0.0,29.0,0.0,59.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,YE,travel,0,0,0,22,0,0.0,37.0,0.0,0.0,52.0,53.0,0.0,0.0,16.0,0.0,40.0,0.0,65.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,YE,travel,0,0,0,21,0,0.0,41.0,6.0,0.0,80.0,94.0,0.0,0.0,14.571428571428571,0.0,42.0,0.0,58.8,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,YE,travel,0,0,0,13,0,0.0,18.0,0.0,0.0,32.0,34.0,0.0,0.0,0.0,0.0,40.0,0.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,YE,travel,19,0,0,36,0,10.0,66.0,9.0,0.0,46.800000000000004,86.4,0.0,0.0,10.8,0.0,37.800000000000004,0.0,74.57142857142858,14.142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,YE,travel,0,0,0,22,0,4.0,76.0,9.0,0.0,61.2,86.4,0.0,0.0,18.0,0.0,36.81818181818182,0.0,79.71428571428572,6.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,YE,travel,0,0,0,41,0,0.0,100.0,0.0,0.0,44.0,49.0,0.0,0.0,11.0,0.0,65.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,YE,travel,12,0,0,27,0,0.0,33.0,14.0,0.0,38.5,175.0,0.0,0.0,15.75,0.0,77.875,0.0,57.4,9.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,YE,travel,19,0,0,0,0,0.0,41.0,9.0,0.0,86.4,86.4,0.0,0.0,20.7,0.0,37.800000000000004,0.0,46.28571428571429,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,YE,travel,0,0,0,0,0,0.0,47.0,4.0,0.0,86.0,84.0,0.0,0.0,4.0,0.0,50.400000000000006,0.0,89.33333333333333,26.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,YE,travel,0,0,0,51,0,19.0,49.0,0.0,0.0,38.0,46.0,0.0,0.0,34.0,0.0,53.0,0.0,68.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,YE,travel,0,0,0,0,0,0.0,44.0,0.0,0.0,35.0,49.0,0.0,0.0,17.0,0.0,76.0,0.0,67.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,YE,travel,0,0,0,44,0,0.0,48.0,7.0,0.0,47.25,75.25,0.0,0.0,37.625,0.0,43.75,0.0,75.6,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,YE,travel,10,0,0,34,0,0.0,42.0,0.0,0.0,37.0,62.0,0.0,0.0,33.0,0.0,66.0,0.0,69.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,YE,travel,13,0,0,29,0,0.0,34.0,0.0,0.0,37.0,50.0,0.0,0.0,61.0,0.0,35.0,0.0,51.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,YE,travel,0,0,0,28,0,0.0,42.0,4.0,0.0,80.0,112.0,0.0,0.0,36.0,0.0,36.800000000000004,0.0,60.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,YE,travel,0,0,0,16,0,0.0,46.0,4.0,0.0,44.0,114.0,0.0,0.0,36.800000000000004,0.0,40.800000000000004,0.0,76.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,YE,travel,0,0,0,0,0,6.0,63.0,8.0,0.0,36.0,134.0,0.0,0.0,43.55555555555555,0.0,51.55555555555555,0.0,52.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,YE,travel,0,0,0,0,0,0.0,36.0,8.0,0.0,24.0,134.0,0.0,0.0,34.666666666666664,0.0,88.88888888888889,0.0,60.0,22.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,YE,travel,0,0,0,0,0,0.0,55.0,0.0,0.0,21.0,90.0,0.0,0.0,34.0,0.0,48.0,0.0,62.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,YE,travel,13,0,0,35,0,7.0,57.0,9.0,0.0,34.2,99.0,0.0,0.0,19.636363636363637,0.0,45.81818181818182,0.0,60.42857142857143,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
