date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى الأردن9,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى الأردن10,امشي الى السودان,امشي الى تشاد,امشي الى الكاميرون,امشي الى جمهورية أفريقيا الوسطى,امشي الى الأردن11,امشي الى إثيوبيا,امشي الى جيبوتي,امشي الى إريتريا,امشي الى صوماليلاند,امشي الى الأردن12,امشي الى جنوب السودان
2020-05-01,SD,travel,0,0,0,10,0,0,11,29,6,0,4,48,64,0,0,1,1,0,10,0,6,50,13,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,SD,travel,9,0,0,34,0,0,10,26,0,0,0,45,47,0,0,0,0,0,7,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,SD,travel,0,0,0,17,0,0,0,43,14,0,10,40,36,0,0,1,1,0,5,0,14,59,9,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,SD,travel,0,0,0,29,0,0,6,43,5,0,3,48,36,0,0,1,3,0,6,0,5,71,20,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,SD,travel,0,0,0,10,0,0,8,26,11,0,7,25,48,0,0,1,3,0,7,0,10,54,21,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,SD,travel,8,0,0,0,0,0,0,57,16,0,11,53,52,0,0,2,4,0,8,0,15,69,11,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,SD,travel,0,0,0,9,0,0,0,33,24,0,16,38,40,0,0,2,3,0,6,0,22,99,17,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,SD,travel,0,0,0,15,0,0,0,33,8,0,6,42,39,0,0,1,2,0,8,0,8,66,15,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,SD,travel,17,0,0,8,0,0,7,33,9,0,6,32,36,0,0,1,3,0,5,0,8,81,16,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,SD,travel,9,0,0,0,0,0,0,30,15,0,10,40,37,0,0,2,2,0,6,0,14,98,36,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,SD,travel,0,0,0,26,0,0,0,54,6,0,4,51,43,0,0,1,6,0,8,0,5,73,9,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,SD,travel,20,0,0,22,0,0,5,60,0,0,0,39,45,0,0,0,2,0,7,0,0,77,14,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,SD,travel,0,0,0,0,0,0,0,17,0,0,0,34,62,0,0,0,4,0,8,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,SD,travel,0,0,0,16,0,0,7,39,12,0,8,38,30,0,0,1,5,0,9,0,11,66,17,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,SD,travel,0,0,0,15,0,0,0,32,0,0,0,42,37,0,0,0,1,0,4,0,0,63,14,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,SD,travel,0,0,0,26,0,0,5,38,15,0,10,37,29,0,0,2,5,0,5,0,15,83,19,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,SD,travel,14,0,0,15,0,0,0,41,18,0,12,38,28,0,0,2,5,0,5,0,17,72,16,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,SD,travel,0,0,0,15,0,0,11,37,11,0,7,40,42,0,0,1,2,0,7,0,10,73,39,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,SD,travel,0,0,0,0,0,0,0,0,30,0,20,61,13,0,0,3,3,0,9,0,28,46,13,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,SD,travel,9,0,0,15,0,0,0,34,11,0,7,39,5,0,0,1,1,0,6,0,10,68,10,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,SD,travel,10,0,0,24,0,0,5,23,14,0,10,34,36,0,0,1,3,0,5,0,14,50,9,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,SD,travel,21,0,0,15,0,0,8,52,0,0,0,48,50,0,0,0,5,0,8,0,0,74,13,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,SD,travel,8,0,0,0,0,0,4,53,13,0,9,38,40,0,0,1,6,0,6,0,12,68,9,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,SD,travel,36,0,0,20,0,0,13,46,13,0,9,39,74,0,0,1,5,0,6,0,13,57,8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,SD,travel,0,0,0,12,0,0,6,47,0,0,0,39,58,0,0,0,6,0,7,0,0,65,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,SD,travel,0,0,0,17,0,0,9,53,11,0,7,51,30,0,0,1,6,0,9,0,10,57,12,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,SD,travel,0,0,0,0,0,0,0,63,12,0,8,54,39,0,0,1,6,0,9,0,11,50,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,SD,travel,0,0,0,12,0,0,0,58,5,0,4,41,44,0,0,1,9,0,7,0,5,80,16,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,SD,travel,7,0,0,28,0,0,4,42,6,0,4,46,66,0,0,1,6,0,5,0,6,57,16,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,SD,travel,0,0,0,46,0,0,10,65,23,0,15,40,47,0,0,2,6,0,8,0,21,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,SD,travel,22,0,0,14,0,0,9,31,12,0,8,49,50,0,0,1,6,0,7,0,12,61,37,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,SD,travel,7,0,0,17,0,0,0,36,0,0,0,31,51,0,0,0,9,0,7,0,0,49,14,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,SD,travel,0,0,0,45,0,0,0,47,0,0,0,41,45,0,0,0,6,0,7,0,0,85,12,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,SD,travel,16,0,0,0,0,0,0,53,11,0,8,43,54,0,0,1,7,0,8,0,11,59,11,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,SD,travel,8,0,0,16,0,0,0,55,0,0,0,35,69,0,0,0,7,0,6,0,0,68,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,SD,travel,0,0,0,37,0,0,0,37,15,0,10,42,95,0,0,2,7,0,13,0,14,47,13,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,SD,travel,33,0,0,0,0,0,17,64,0,0,0,35,47,0,0,0,6,0,6,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
