date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى السودان,امشي الى تشاد
2020-02-01,LY,travel,0,0,0,0,0,0.0,38.0,33.0,0.0,42.625,63.25,0.0,0.0,14.0,0.0,62.0,0.0,69.66666666666667,29.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,LY,travel,0,0,0,0,0,0.0,40.0,14.0,0.0,49.0,82.6,0.0,0.0,21.0,0.0,34.0,0.0,74.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,LY,travel,0,0,0,64,0,6.0,38.0,13.0,0.0,53.44444444444444,92.44444444444444,0.0,0.0,10.0,0.0,39.0,0.0,71.5,11.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,LY,travel,0,0,0,100,0,0.0,27.0,12.0,0.0,52.0,105.33333333333333,0.0,0.0,14.0,0.0,53.0,0.0,64.8,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,LY,travel,0,0,0,53,0,0.0,50.0,8.0,0.0,53.33333333333333,77.33333333333333,0.0,0.0,0.0,0.0,65.0,0.0,58.666666666666664,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,LY,travel,0,0,0,0,0,0.0,66.0,26.0,0.0,50.631578947368425,73.89473684210526,0.0,0.0,0.0,0.0,59.0,0.0,63.142857142857146,33.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,LY,travel,28,0,0,67,0,0.0,60.0,13.0,0.0,56.333333333333336,59.22222222222222,0.0,0.0,23.0,0.0,47.0,0.0,55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,LY,travel,90,0,0,0,0,0.0,60.0,16.0,0.0,46.666666666666664,66.66666666666666,0.0,0.0,9.0,0.0,45.0,0.0,55.38461538461539,22.153846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,LY,travel,0,0,0,43,0,5.0,57.0,15.0,0.0,57.272727272727266,76.36363636363636,0.0,0.0,9.0,0.0,43.0,0.0,111.25,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,LY,travel,0,0,0,69,0,12.0,16.0,0.0,0.0,24.0,51.0,0.0,0.0,19.0,0.0,68.0,0.0,78.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,LY,travel,0,0,0,0,0,0.0,17.0,12.0,0.0,32.0,89.33333333333333,0.0,0.0,6.0,0.0,40.0,0.0,86.39999999999999,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,LY,travel,0,0,0,28,0,0.0,13.0,16.0,0.0,40.0,68.0,0.0,0.0,7.0,0.0,67.0,0.0,86.15384615384616,36.92307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,LY,travel,0,0,0,0,0,6.0,36.0,26.0,0.0,46.526315789473685,79.36842105263158,0.0,0.0,19.0,0.0,43.0,0.0,82.95238095238095,23.523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
