date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,القيادة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر
2021-11-01,MA,travel,21,0,0,0,0,0,2,43,17,0,34,17,60,0,0,6,35,0,7,0,13,54,19,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,MA,travel,38,0,0,30,0,0,6,43,17,0,35,20,37,0,0,7,31,0,12,0,22,44,14,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,MA,travel,16,0,0,38,0,0,4,43,20,0,41,14,49,0,4,4,27,0,14,0,26,56,18,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,MA,travel,0,0,0,23,0,0,3,63,20,0,42,27,53,0,2,9,49,0,13,0,24,61,17,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,MA,travel,22,0,0,39,0,0,6,83,25,0,52,23,54,0,0,8,47,0,12,0,23,52,22,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,MA,travel,35,0,0,31,0,0,2,57,18,0,37,10,100,0,0,3,46,0,9,0,16,46,15,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,MA,travel,63,0,0,41,0,0,5,65,28,0,57,17,47,0,0,6,59,0,9,0,17,44,22,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,MA,travel,42,0,0,57,0,0,5,59,21,0,43,24,51,0,0,8,62,0,10,0,18,43,17,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,MA,travel,19,0,0,31,0,0,2,93,33,0,68,26,33,0,4,9,96,0,5,0,10,43,21,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,MA,travel,16,0,0,43,0,0,4,100,40,0,83,39,50,0,0,13,100,0,8,0,15,40,25,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,MA,travel,19,0,0,32,0,0,3,69,22,0,46,26,43,0,2,9,70,0,8,0,16,41,25,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,MA,travel,11,0,0,39,0,0,5,62,27,0,56,22,86,0,2,7,60,0,8,0,15,44,21,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,MA,travel,25,0,0,17,0,0,3,66,22,0,46,21,56,0,2,7,59,0,8,0,15,44,18,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,MA,travel,32,0,0,36,0,0,4,63,30,0,62,20,48,0,0,7,58,0,18,0,34,35,15,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,MA,travel,17,0,0,22,0,0,7,67,26,0,54,21,60,0,0,7,50,0,14,0,26,43,18,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,MA,travel,15,0,0,20,0,0,7,73,22,0,44,21,68,0,2,7,58,0,7,0,12,48,17,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,MA,travel,9,0,0,36,0,0,5,70,22,0,44,21,72,0,2,7,59,0,9,0,18,46,21,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,MA,travel,56,0,0,24,0,0,4,67,20,0,41,23,86,0,0,8,61,0,8,0,15,34,25,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,MA,travel,42,0,0,55,0,0,5,63,24,0,50,26,50,0,0,8,66,0,8,0,15,42,23,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
