date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت
2022-03-01,QA,travel,0,0,0,0,0,0.0,40.0,2.0,0.0,0.0,35.0,0.0,0.0,34.0,0.0,41.0,0.0,41.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,QA,travel,0,0,0,33,0,0.0,34.0,0.0,0.0,7.0,100.0,0.0,0.0,29.0,0.0,32.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,QA,travel,21,0,0,17,0,0.0,42.0,2.0,0.0,25.0,50.0,0.0,0.0,53.0,0.0,50.0,0.0,57.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,QA,travel,0,0,0,15,0,0.0,44.0,0.0,0.0,11.0,39.0,0.0,0.0,63.0,0.0,51.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,QA,travel,0,0,0,0,0,0.0,43.0,2.0,0.0,18.0,44.0,0.0,0.0,56.0,0.0,45.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,QA,travel,0,0,0,13,0,0.0,45.0,0.0,0.0,18.0,33.0,0.0,0.0,58.0,0.0,48.0,0.0,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,QA,travel,0,0,0,43,0,3.0,51.0,0.0,0.0,5.666666666666666,14.666666666666666,0.0,0.0,24.5,0.0,22.5,0.0,18.461538461538463,4.153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,QA,travel,0,0,0,44,0,0.0,37.0,0.0,0.0,23.0,46.0,0.0,0.0,60.0,0.0,41.0,0.0,78.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,QA,travel,0,0,0,0,0,0.0,77.0,0.0,0.0,14.0,27.0,0.0,0.0,100.0,0.0,20.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,QA,travel,0,0,0,0,0,0.0,66.0,0.0,0.0,39.0,52.0,0.0,0.0,74.0,0.0,26.0,0.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,QA,travel,11,0,0,15,0,0.0,49.0,0.0,0.0,14.0,24.0,0.0,0.0,44.0,0.0,42.0,0.0,44.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,QA,travel,0,0,0,0,0,5.0,43.0,0.0,0.0,2.0,11.25,0.0,0.0,15.0,0.0,18.461538461538463,0.0,2.962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,QA,travel,13,0,0,0,0,3.0,35.0,0.0,0.0,2.6999999999999997,15.899999999999999,0.0,0.0,20.57142857142857,0.0,9.428571428571429,0.0,7.7142857142857135,2.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,QA,travel,0,0,0,0,0,0.0,41.0,2.0,0.0,31.0,57.0,0.0,0.0,53.0,0.0,34.0,0.0,66.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,QA,travel,0,0,0,33,0,0.0,45.0,0.0,0.0,14.0,45.0,0.0,0.0,64.0,0.0,58.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
