date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى الأردن9,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى الأردن10,امشي الى السودان,امشي الى تشاد
2021-08-01,LY,travel,63,0,0,38,0,0,0,47,9,0,6,51,63,0,0,9,33,0,45,0,7,47,17,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,LY,travel,0,0,0,28,0,0,0,41,11,0,8,31,48,0,0,11,28,0,48,0,9,64,21,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,LY,travel,0,0,0,14,0,0,0,28,11,0,8,42,49,0,0,11,24,0,57,0,9,43,11,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,LY,travel,17,0,0,0,0,0,0,33,8,0,6,42,42,0,0,8,32,0,39,0,7,28,8,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,LY,travel,0,0,0,24,0,0,0,43,13,0,9,43,56,0,0,13,25,0,41,0,10,32,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,LY,travel,0,0,0,33,0,0,12,34,14,0,10,28,46,0,0,14,34,0,56,0,11,62,9,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,LY,travel,40,0,0,14,0,0,7,33,13,0,10,24,62,0,0,13,38,0,38,0,11,44,19,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,LY,travel,15,0,0,35,0,0,22,70,15,0,11,31,74,0,0,15,32,0,47,0,12,46,8,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,LY,travel,0,0,0,51,0,0,0,38,12,0,9,28,94,0,0,12,50,0,25,0,10,43,18,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,LY,travel,17,0,0,49,0,0,0,38,12,0,9,39,71,0,0,12,47,0,44,0,10,43,20,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,LY,travel,0,0,0,37,0,0,7,61,0,0,0,41,74,0,0,0,45,0,52,0,0,50,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
