date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر
2022-01-01,IL,travel,72,0,0,17,0,0.0,63.0,0.0,0.0,8.0,36.0,0.0,0.0,11.789473684210526,0.0,26.105263157894736,0.0,70.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,IL,travel,0,0,0,60,0,0.0,54.0,8.0,0.0,26.0,92.0,0.0,0.0,23.400000000000002,0.0,81.46666666666667,0.0,156.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,IL,travel,0,0,0,41,0,10.0,67.0,0.0,0.0,5.0,43.0,0.0,0.0,32.0,0.0,41.5,0.0,72.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,IL,travel,0,0,0,21,0,4.0,55.0,6.0,0.0,22.0,178.0,0.0,0.0,36.666666666666664,0.0,36.666666666666664,0.0,70.4,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,IL,travel,0,0,0,32,0,0.0,63.0,0.0,0.0,15.0,32.0,0.0,0.0,31.71428571428571,0.0,36.0,0.0,55.714285714285715,6.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,IL,travel,25,0,0,23,0,14.0,61.0,0.0,0.0,10.0,46.0,0.0,0.0,32.17391304347826,0.0,37.826086956521735,0.0,72.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,IL,travel,0,0,0,61,0,0.0,55.0,0.0,0.0,18.0,43.0,0.0,0.0,42.857142857142854,0.0,24.428571428571427,0.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,IL,travel,0,0,0,0,0,0.0,57.0,18.0,0.0,30.0,80.0,0.0,0.0,72.0,0.0,66.0,0.0,98.57142857142857,34.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,IL,travel,0,0,0,15,0,5.0,41.0,0.0,0.0,29.0,47.0,0.0,0.0,29.0,0.0,23.28787878787879,0.0,51.78571428571429,8.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,IL,travel,0,0,0,38,0,0.0,38.0,0.0,0.0,5.0,41.0,0.0,0.0,22.083333333333336,0.0,16.666666666666668,0.0,48.333333333333336,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,IL,travel,0,0,0,25,0,0.0,100.0,7.0,0.0,21.0,88.66666666666667,0.0,0.0,70.0,0.0,43.0,0.0,193.20000000000002,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,IL,travel,0,0,0,39,0,0.0,95.0,0.0,0.0,12.0,33.0,0.0,0.0,29.777777777777775,0.0,15.555555555555555,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,IL,travel,0,0,0,14,0,6.0,53.0,6.0,0.0,14.0,50.0,0.0,0.0,19.764705882352942,0.0,37.05882352941176,0.0,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,IL,travel,21,0,0,22,0,0.0,46.0,0.0,0.0,10.0,28.0,0.0,0.0,3.043478260869565,0.0,3.9130434782608696,0.0,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,IL,travel,0,0,0,0,0,0.0,26.0,0.0,0.0,9.0,44.0,0.0,0.0,8.142857142857142,0.0,15.857142857142856,0.0,51.75,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,IL,travel,0,0,0,0,0,0.0,46.0,0.0,0.0,20.0,39.0,0.0,0.0,12.608695652173912,0.0,14.347826086956522,0.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,IL,travel,0,0,0,33,0,0.0,42.0,4.0,0.0,0.0,60.0,0.0,0.0,50.0,0.0,41.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
