date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,قافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,قافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,قافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,قافلة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت
2022-04-01,QA,travel,0,0,0,33,0,0,0,34,0,0,0,7,100,0,0,0,29,0,32,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,QA,travel,21,0,0,17,0,0,0,42,2,0,0,25,50,0,0,0,53,0,50,0,0,57,27,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,QA,travel,0,0,0,15,0,0,0,44,0,0,0,11,39,0,0,0,63,0,51,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,QA,travel,0,0,0,0,0,0,0,43,2,0,0,18,44,0,0,0,56,0,45,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,QA,travel,0,0,0,13,0,0,0,45,0,0,0,18,33,0,0,0,58,0,48,0,0,29,13,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,QA,travel,0,0,0,43,0,0,3,51,0,0,9,17,44,0,0,6,49,0,45,0,13,80,18,0,0,38,0,0,0,0,0,0,0,0,0
2022-10-01,QA,travel,0,0,0,44,0,0,0,37,0,0,0,23,46,0,0,0,60,0,41,0,0,78,21,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,QA,travel,0,0,0,0,0,0,0,77,0,0,0,14,27,0,0,0,100,0,20,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,QA,travel,0,0,0,0,0,0,0,66,0,0,0,39,52,0,0,0,74,0,26,0,0,30,11,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,QA,travel,11,0,0,15,0,0,0,49,0,0,0,14,24,0,0,0,44,0,42,0,0,44,9,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,QA,travel,0,0,0,0,0,0,5,43,0,0,20,8,45,0,0,13,39,0,48,0,27,16,0,0,0,82,0,0,0,0,0,0,0,0,0
2023-03-01,QA,travel,13,0,0,0,0,0,3,35,0,0,10,9,53,0,0,7,48,0,22,0,14,36,13,0,0,42,0,0,0,0,0,0,0,0,0
2023-04-01,QA,travel,0,0,0,0,0,0,0,41,2,0,0,31,57,0,0,0,53,0,34,0,0,66,7,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,QA,travel,0,0,0,33,0,0,0,45,0,0,0,14,45,0,0,0,64,0,58,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
