date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,الفندق4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن
2021-11-01,OM,travel,22,0,0,39,0,0,0,21,3,0,10,23,68,0,0,22,42,0,47,0,30,66,16,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,OM,travel,0,0,0,55,0,0,0,20,4,0,10,24,71,0,0,22,54,0,34,0,31,91,15,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,OM,travel,24,0,0,25,0,0,2,16,0,0,0,17,62,0,0,16,36,0,36,0,21,30,15,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,OM,travel,0,0,0,31,0,0,0,21,1,0,4,19,49,0,0,18,54,0,48,0,24,38,22,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,OM,travel,0,0,0,69,0,0,0,22,2,0,6,23,41,0,0,22,37,0,51,0,30,62,18,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,OM,travel,0,0,0,100,0,0,2,20,0,0,0,19,100,0,0,18,40,0,35,0,24,64,23,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,OM,travel,7,0,0,13,0,0,2,18,0,0,0,16,51,0,0,15,85,0,34,0,21,50,33,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,OM,travel,27,0,0,40,0,0,4,18,1,0,3,19,59,0,0,18,91,0,47,0,25,43,24,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,OM,travel,0,0,0,60,0,0,0,32,0,0,0,4,33,0,0,4,100,0,41,0,6,56,22,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,OM,travel,0,0,0,45,0,0,0,32,3,0,8,34,57,0,0,32,68,0,34,0,44,53,33,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,OM,travel,0,0,0,42,0,0,0,26,1,0,3,13,42,0,0,12,46,0,38,0,17,48,29,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,OM,travel,22,0,0,31,0,0,0,16,1,0,3,9,66,0,0,8,40,0,49,0,11,92,24,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,OM,travel,0,0,0,49,0,0,0,25,2,0,5,16,49,0,0,15,61,0,36,0,21,55,26,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,OM,travel,0,0,0,45,0,0,0,20,1,0,2,14,56,0,0,13,81,0,31,0,18,50,15,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,OM,travel,12,0,0,14,0,0,1,25,0,0,0,13,54,0,0,12,53,0,41,0,16,63,15,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,OM,travel,0,0,0,37,0,0,0,20,3,0,10,13,64,0,0,12,57,0,42,0,17,42,21,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,OM,travel,0,0,0,54,0,0,0,22,0,0,0,14,71,0,0,13,39,0,37,0,18,63,17,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,OM,travel,8,0,0,59,0,0,0,17,1,0,3,0,82,0,0,0,46,0,26,0,0,66,21,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,OM,travel,0,0,0,37,0,0,3,22,0,0,0,10,60,0,0,9,73,0,39,0,13,51,18,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
