date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر
2021-01-01,MA,travel,9,0,0,52,0,3.0,43.0,18.0,0.0,7.783783783783784,15.081081081081082,0.0,0.972972972972973,37.362162162162164,0.0,18.681081081081082,0.0,81.22209165687427,15.432197414806112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,MA,travel,12,0,0,44,0,2.0,50.0,19.0,0.0,9.743589743589743,14.615384615384615,0.0,0.9743589743589743,37.350427350427346,0.0,24.358974358974354,0.0,75.59681697612731,13.4394341290893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,MA,travel,20,0,0,26,0,4.0,58.0,16.0,0.0,12.5,20.5,0.0,3.0,46.875,0.0,18.75,0.0,66.84782608695652,9.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,MA,travel,58,0,0,48,0,2.0,41.0,14.0,0.0,9.0,26.5,0.0,0.0,42.0,0.0,12.0,0.0,60.75,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,MA,travel,23,0,0,38,0,3.0,48.0,19.0,0.0,13.0,29.0,0.0,0.0,37.55555555555556,0.0,13.0,0.0,60.9375,10.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,MA,travel,22,0,0,32,0,4.0,50.0,16.0,0.0,9.0,17.5,0.0,5.5,72.0,0.0,12.0,0.0,39.2,11.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,MA,travel,0,0,0,37,0,3.0,79.0,23.0,0.0,11.25531914893617,16.148936170212764,0.0,0.0,94.86626139817629,0.0,8.03951367781155,0.0,36.62445119891928,8.03951367781155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,MA,travel,11,0,0,36,0,0.0,65.0,22.0,0.0,11.244444444444444,13.2,0.0,0.0,106.01904761904761,0.0,12.85079365079365,0.0,29.717460317460315,12.85079365079365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,MA,travel,0,0,0,43,0,1.0,54.0,20.0,0.0,12.38095238095238,10.952380952380953,0.0,2.8571428571428568,63.28042328042328,0.0,11.005291005291005,0.0,25.679012345679013,13.940035273368606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,MA,travel,14,0,0,36,0,0.0,43.0,19.0,0.0,3.41025641025641,29.71794871794872,0.0,1.9487179487179487,63.089743589743584,0.0,8.525641025641026,0.0,45.47008547008547,18.945868945868945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,MA,travel,21,0,0,0,0,2.0,43.0,17.0,0.0,8.5,30.0,0.0,0.0,49.583333333333336,0.0,9.916666666666668,0.0,41.19230769230769,14.493589743589745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,MA,travel,38,0,0,30,0,6.0,43.0,17.0,0.0,9.714285714285714,17.97142857142857,0.0,0.0,43.02040816326531,0.0,16.653061224489797,0.0,33.30612244897959,10.597402597402597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,MA,travel,16,0,0,38,0,4.0,43.0,20.0,0.0,6.829268292682927,23.902439024390244,0.0,1.951219512195122,46.09756097560975,0.0,23.902439024390244,0.0,51.48217636022514,16.547842401500937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,MA,travel,0,0,0,23,0,3.0,63.0,20.0,0.0,12.857142857142856,25.238095238095237,0.0,0.9523809523809523,69.99999999999999,0.0,18.57142857142857,0.0,47.20238095238095,13.154761904761903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,MA,travel,22,0,0,39,0,6.0,83.0,25.0,0.0,11.057692307692308,25.961538461538463,0.0,0.0,64.9639423076923,0.0,16.586538461538463,0.0,37.50000000000001,15.865384615384617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,MA,travel,35,0,0,31,0,2.0,57.0,18.0,0.0,4.864864864864865,48.64864864864865,0.0,0.0,74.5945945945946,0.0,14.594594594594595,0.0,41.95945945945946,13.682432432432433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,MA,travel,63,0,0,41,0,5.0,65.0,28.0,0.0,8.350877192982455,23.087719298245613,0.0,0.0,82.11695906432747,0.0,12.526315789473683,0.0,32.421052631578945,16.210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,MA,travel,42,0,0,57,0,5.0,59.0,21.0,0.0,11.720930232558139,24.906976744186046,0.0,0.0,90.83720930232558,0.0,14.651162790697674,0.0,35.0,13.837209302325581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,MA,travel,19,0,0,31,0,2.0,93.0,33.0,0.0,12.617647058823529,16.014705882352942,0.0,1.9411764705882353,134.58823529411762,0.0,7.009803921568627,0.0,30.142156862745097,14.720588235294116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,MA,travel,16,0,0,43,0,4.0,100.0,40.0,0.0,18.795180722891565,24.096385542168676,0.0,0.0,144.57831325301206,0.0,11.566265060240964,0.0,30.843373493975903,19.27710843373494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,MA,travel,19,0,0,32,0,3.0,69.0,22.0,0.0,12.434782608695652,20.565217391304348,0.0,0.9565217391304348,96.71497584541062,0.0,11.053140096618357,0.0,28.323671497584538,17.27053140096618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,MA,travel,11,0,0,39,0,5.0,62.0,27.0,0.0,10.607142857142858,41.464285714285715,0.0,0.9642857142857143,90.91836734693878,0.0,12.122448979591837,0.0,35.55918367346939,16.97142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,MA,travel,25,0,0,17,0,3.0,66.0,22.0,0.0,10.043478260869566,26.782608695652176,0.0,0.9565217391304348,84.65217391304348,0.0,11.478260869565219,0.0,33.66956521739131,13.773913043478263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,MA,travel,32,0,0,36,0,4.0,63.0,30.0,0.0,9.67741935483871,23.225806451612904,0.0,0.0,80.18433179723502,0.0,24.88479262672811,0.0,25.61669829222011,10.978584982380047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,MA,travel,17,0,0,22,0,7.0,67.0,26.0,0.0,10.11111111111111,28.888888888888886,0.0,0.0,72.22222222222221,0.0,20.22222222222222,0.0,33.44444444444444,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,MA,travel,15,0,0,20,0,7.0,73.0,22.0,0.0,10.5,34.0,0.0,1.0,87.0,0.0,10.5,0.0,42.0,14.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,MA,travel,9,0,0,36,0,5.0,70.0,22.0,0.0,10.5,36.0,0.0,1.0,88.5,0.0,13.5,0.0,34.5,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,MA,travel,56,0,0,24,0,4.0,67.0,20.0,0.0,11.21951219512195,41.951219512195124,0.0,0.0,85.54878048780488,0.0,11.21951219512195,0.0,25.43089430894309,18.69918699186992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,MA,travel,42,0,0,55,0,5.0,63.0,24.0,0.0,12.48,24.0,0.0,0.0,102.96000000000001,0.0,12.48,0.0,34.944,19.136000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
