date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قطار سريع1,قافلة,محطة,حافلة,أمتعة السفر,قطار سريع2,الفندق,نزل,شقة مستأجرة,حركة السير,قطار سريع3,تذكرة,فندق صغير,القيادة,أجرة الطيران,قطار سريع4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى الأردن9,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى الأردن10,امشي الى السودان,امشي الى تشاد,امشي الى الكاميرون,امشي الى جمهورية أفريقيا الوسطى,امشي الى الأردن11,امشي الى إثيوبيا,امشي الى جيبوتي
2020-12-01,EG,travel,6,0,0,51,7,0,0,31,0,0,1,37,50,0,0,0,25,0,19,0,1,68,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,EG,travel,22,0,0,53,15,0,0,30,0,0,1,39,52,0,0,1,36,0,20,0,2,73,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,EG,travel,24,0,0,60,8,0,0,32,0,0,1,36,53,0,0,0,32,0,20,0,1,70,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,EG,travel,17,0,0,46,10,0,0,35,1,0,1,38,54,0,0,0,32,0,21,0,1,68,5,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,EG,travel,23,0,0,74,15,0,0,28,0,0,1,30,69,0,0,0,28,0,17,0,2,99,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,EG,travel,14,0,0,52,0,0,0,29,0,0,0,40,88,0,0,0,40,0,20,0,0,81,5,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,EG,travel,13,0,0,41,0,0,0,34,0,0,0,38,59,0,0,0,54,0,24,0,0,68,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,EG,travel,4,0,0,41,6,0,0,38,0,0,0,38,53,0,0,0,76,0,22,0,1,57,4,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,EG,travel,26,0,0,44,22,0,1,40,0,0,2,38,55,0,0,0,64,0,24,0,3,59,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,EG,travel,34,0,0,36,0,0,1,39,0,0,0,37,54,0,0,1,50,0,23,0,0,55,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,EG,travel,16,0,0,33,13,0,1,38,1,0,1,34,58,0,0,0,40,0,22,0,2,63,2,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,EG,travel,43,0,0,64,14,0,1,33,0,0,1,35,52,0,0,0,41,0,25,0,2,64,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,EG,travel,35,0,0,53,6,0,0,32,0,0,0,35,60,0,0,0,42,0,20,0,1,60,4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,EG,travel,87,0,0,78,16,0,0,31,0,0,1,33,68,0,0,1,45,0,19,0,2,66,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,EG,travel,37,0,0,65,13,0,0,38,0,0,1,31,62,0,0,0,61,0,23,0,1,56,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,EG,travel,53,0,0,51,10,0,1,40,0,0,1,32,62,0,0,0,55,0,23,0,1,67,5,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
