date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن
2021-01-01,OM,travel,0,0,0,54,0,0.0,20.0,2.0,0.0,5.666666666666666,17.666666666666664,0.0,0.0,9.208333333333332,0.0,11.333333333333332,0.0,21.893939393939394,6.954545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,OM,travel,41,0,0,43,0,0.0,11.0,5.0,0.0,8.846153846153847,21.923076923076923,0.0,0.0,7.639860139860141,0.0,14.877622377622378,0.0,29.48717948717949,4.128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,OM,travel,0,0,0,56,0,0.0,17.0,0.0,0.0,13.0,42.0,0.0,0.0,16.25,0.0,45.5,0.0,56.588235294117645,15.294117647058822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,OM,travel,0,0,0,74,0,0.0,21.0,2.0,0.0,2.333333333333333,25.0,0.0,0.0,4.333333333333333,0.0,15.333333333333332,0.0,21.25925925925926,2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,OM,travel,0,0,0,18,0,0.0,24.0,0.0,0.0,7.0,67.0,0.0,0.0,28.0,0.0,29.0,0.0,76.22222222222223,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,OM,travel,11,0,0,20,0,1.0,17.0,1.0,0.0,6.333333333333333,21.333333333333332,0.0,0.0,16.88888888888889,0.0,13.018518518518519,0.0,26.38888888888889,2.638888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,OM,travel,0,0,0,12,0,0.0,23.0,2.0,0.0,2.6666666666666665,18.666666666666664,0.0,0.0,20.952380952380953,0.0,11.428571428571427,0.0,13.333333333333334,4.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,OM,travel,0,0,0,30,0,0.0,35.0,0.0,0.0,16.0,58.0,0.0,0.0,74.66666666666667,0.0,44.8,0.0,36.57142857142857,24.38095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,OM,travel,20,0,0,36,0,2.0,19.0,3.0,0.0,9.333333333333332,15.0,0.0,0.0,21.538461538461537,0.0,12.564102564102562,0.0,17.88888888888889,3.6296296296296293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,OM,travel,0,0,0,62,0,0.0,21.0,4.0,0.0,4.363636363636363,17.09090909090909,0.0,0.0,17.454545454545453,0.0,10.909090909090908,0.0,20.18181818181818,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
