date,location,search_count
2023-01-31,blue nile,0.0
2023-02-01,blue nile,0.0
2023-02-02,blue nile,0.0
2023-02-03,blue nile,0.0
2023-02-04,blue nile,0.0
2023-02-05,blue nile,0.0
2023-02-06,blue nile,0.0
2023-02-07,blue nile,0.0
2023-02-08,blue nile,0.0
2023-02-09,blue nile,0.0
2023-02-10,blue nile,0.0
2023-02-11,blue nile,0.0
2023-02-12,blue nile,0.0
2023-02-13,blue nile,0.0
2023-02-14,blue nile,0.0
2023-02-15,blue nile,0.0
2023-02-16,blue nile,0.0
2023-02-17,blue nile,0.0
2023-02-18,blue nile,0.0
2023-02-19,blue nile,0.0
2023-02-20,blue nile,0.0
2023-02-21,blue nile,0.0
2023-02-22,blue nile,0.0
2023-02-23,blue nile,0.0
2023-02-24,blue nile,0.0
2023-02-25,blue nile,0.0
2023-02-26,blue nile,0.0
2023-02-27,blue nile,0.0
2023-02-28,blue nile,0.0
2023-03-01,blue nile,0.0
2023-03-02,blue nile,0.0
2023-03-03,blue nile,0.0
2023-03-04,blue nile,0.0
2023-03-05,blue nile,0.0
2023-03-06,blue nile,0.0
2023-03-07,blue nile,0.0
2023-03-08,blue nile,0.0
2023-03-09,blue nile,0.0
2023-03-10,blue nile,0.0
2023-03-11,blue nile,0.0
2023-03-12,blue nile,0.0
2023-03-13,blue nile,0.0
2023-03-14,blue nile,0.0
2023-03-15,blue nile,0.0
2023-03-16,blue nile,0.0
2023-03-17,blue nile,0.0
2023-03-18,blue nile,0.0
2023-03-19,blue nile,0.0
2023-03-20,blue nile,0.0
2023-03-21,blue nile,0.0
2023-03-22,blue nile,0.0
2023-03-23,blue nile,0.0
2023-03-24,blue nile,0.0
2023-03-25,blue nile,0.0
2023-03-26,blue nile,0.0
2023-03-27,blue nile,0.0
2023-03-28,blue nile,0.0
2023-03-29,blue nile,0.0
2023-03-30,blue nile,0.0
2023-03-31,blue nile,0.0
2023-04-01,blue nile,0.0
2023-04-02,blue nile,0.0
2023-04-03,blue nile,0.0
2023-04-04,blue nile,0.0
2023-04-05,blue nile,0.0
2023-04-06,blue nile,0.0
2023-04-07,blue nile,0.0
2023-04-08,blue nile,0.0
2023-04-09,blue nile,0.0
2023-04-10,blue nile,0.0
2023-04-11,blue nile,0.0
2023-04-12,blue nile,0.0
2023-04-13,blue nile,0.0
2023-04-14,blue nile,0.0
2023-04-15,blue nile,0.0
2023-04-16,blue nile,0.0
2023-04-17,blue nile,0.0
2023-04-18,blue nile,0.0
2023-04-19,blue nile,0.0
2023-04-20,blue nile,0.0
2023-04-21,blue nile,0.0
2023-04-22,blue nile,0.0
2023-04-23,blue nile,0.0
2023-04-24,blue nile,0.0
2023-04-25,blue nile,0.0
2023-04-26,blue nile,0.0
2023-04-27,blue nile,0.0
2023-04-28,blue nile,0.0
2023-04-29,blue nile,0.0
2023-04-30,blue nile,0.0
2023-05-01,blue nile,0.0
2023-05-02,blue nile,0.0
2023-05-03,blue nile,0.0
2023-05-04,blue nile,0.0
2023-05-05,blue nile,0.0
2023-05-06,blue nile,0.0
2023-05-07,blue nile,0.0
2023-05-08,blue nile,0.0
2023-05-09,blue nile,0.0
2023-05-10,blue nile,0.0
2023-05-11,blue nile,0.0
2023-05-12,blue nile,0.0
2023-05-13,blue nile,0.0
2023-05-14,blue nile,0.0
2023-05-15,blue nile,0.0
2023-05-16,blue nile,0.0
2023-05-17,blue nile,0.0
2023-05-18,blue nile,0.0
2023-05-19,blue nile,0.0
2023-05-20,blue nile,0.0
2023-05-21,blue nile,0.0
2023-05-22,blue nile,0.0
2023-05-23,blue nile,0.0
2023-05-24,blue nile,0.0
2023-05-25,blue nile,0.0
2023-05-26,blue nile,0.0
2023-05-27,blue nile,0.0
2023-05-28,blue nile,0.0
2023-05-29,blue nile,0.0
2023-05-30,blue nile,0.0
2023-05-31,blue nile,0.0
2023-06-01,blue nile,0.0
2023-06-02,blue nile,0.0
2023-06-03,blue nile,0.0
2023-06-04,blue nile,0.0
2023-06-05,blue nile,0.0
2023-06-06,blue nile,0.0
2023-06-07,blue nile,0.0
2023-06-08,blue nile,0.0
2023-06-09,blue nile,0.0
2023-06-10,blue nile,0.0
2023-06-11,blue nile,0.0
2023-06-12,blue nile,0.0
2023-06-13,blue nile,0.0
2023-06-14,blue nile,0.0
2023-06-15,blue nile,0.0
2023-06-16,blue nile,0.0
2023-06-17,blue nile,0.0
2023-06-18,blue nile,0.0
2023-06-19,blue nile,0.0
2023-06-20,blue nile,0.0
2023-06-21,blue nile,0.0
2023-06-22,blue nile,0.0
2023-06-23,blue nile,0.0
2023-06-24,blue nile,0.0
2023-06-25,blue nile,0.0
2023-06-26,blue nile,0.0
2023-06-27,blue nile,0.0
2023-06-28,blue nile,0.0
2023-06-29,blue nile,0.0
2023-06-30,blue nile,0.0
2023-07-01,blue nile,0.0
2023-07-02,blue nile,0.0
2023-07-03,blue nile,0.0
2023-07-04,blue nile,0.0
2023-07-05,blue nile,0.0
2023-07-06,blue nile,0.0
2023-07-07,blue nile,0.0
2023-07-08,blue nile,0.0
2023-07-09,blue nile,0.0
2023-07-10,blue nile,0.0
2023-07-11,blue nile,0.0
2023-07-12,blue nile,0.0
2023-07-13,blue nile,0.0
2023-07-14,blue nile,0.0
2023-07-15,blue nile,0.0
2023-07-16,blue nile,0.0
2023-07-17,blue nile,0.0
2023-07-18,blue nile,0.0
2023-07-19,blue nile,0.0
2023-07-20,blue nile,0.0
2023-07-21,blue nile,0.0
2023-07-22,blue nile,17.0
2023-07-23,blue nile,0.0
2023-01-01,central darfur,0.0
2023-01-02,central darfur,0.0
2023-01-03,central darfur,0.0
2023-01-04,central darfur,0.0
2023-01-05,central darfur,0.0
2023-01-06,central darfur,0.0
2023-01-07,central darfur,0.0
2023-01-08,central darfur,0.0
2023-01-09,central darfur,0.0
2023-01-10,central darfur,0.0
2023-01-11,central darfur,0.0
2023-01-12,central darfur,0.0
2023-01-13,central darfur,0.0
2023-01-14,central darfur,0.0
2023-01-15,central darfur,0.0
2023-01-16,central darfur,0.0
2023-01-17,central darfur,0.0
2023-01-18,central darfur,0.0
2023-01-19,central darfur,0.0
2023-01-20,central darfur,0.0
2023-01-21,central darfur,0.0
2023-01-22,central darfur,0.0
2023-01-23,central darfur,0.0
2023-01-24,central darfur,0.0
2023-01-25,central darfur,0.0
2023-01-26,central darfur,0.0
2023-01-27,central darfur,0.0
2023-01-28,central darfur,0.0
2023-01-29,central darfur,0.0
2023-01-30,central darfur,0.0
2023-01-31,central darfur,0.0
2023-02-01,central darfur,0.0
2023-02-02,central darfur,0.0
2023-02-03,central darfur,0.0
2023-02-04,central darfur,0.0
2023-02-05,central darfur,0.0
2023-02-06,central darfur,0.0
2023-02-07,central darfur,0.0
2023-02-08,central darfur,0.0
2023-02-09,central darfur,0.0
2023-02-10,central darfur,0.0
2023-02-11,central darfur,0.0
2023-02-12,central darfur,0.0
2023-02-13,central darfur,0.0
