date,امشي الى,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,امشي الى1,قطار سريع,قافلة,محطة,حافلة,حافلة2,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حافلة3,حركة السير,تذكرة,فندق صغير,القيادة,حافلة4,أجرة الطيران,الطرق,شاحنة,عمل,الطرق5,شغل,رخصة الشغل,رخصة العمل,عملة,شغل6,مساعدة,الصليب الاحمر,إعفاء,إنقاذ,الصليب الاحمر7,إسعاف,مساعدة إجتماعية,ملجأ,قدم طلبا,الصليب الاحمر8,تقديم طلب,دفع,جواز السفر,وثائق,وثائق9,قنصلية,سفارة,حماية,أين الراحة,وثائق10,اين الملجأ,إيجاد مأوى,يجب أن أغادر,يجب المغادرةالسكن,اين الملجأ11,منازل في العراق,مكان للإقامة,مكان السكن,الطريق إلى,اين الملجأ12,منطقة آمنة,حدود,اجتياز,فتح معبر حدودي,اجتياز13,أقرب معبر حدودي,معبر حدودي آمن,الانتقال إلى العراق,الهروب من العراق,أقرب معبر حدودي14,يف الهروب من العراق,مكان آمن,لاجئ,حق اللجوء السياسي,أقرب معبر حدودي15,اسعاف,مغادرة العراق,الطريق الآمن,طريق آمن,أقرب معبر حدودي16,ممر آمن,مخرج,ساعدني في الخروج,كيف تغادر غدا
2021-08-01,0,22,0,0,53,0,0,2,33,13,3,0,10,23,0,16,0,42,0,30,1,0,3,1,44,44,28,0,0,59,62,38,7,0,0,11,0,0,15,0,4,7,52,20,5,7,10,37,51,0,23,0,0,0,0,0,41,0,0,63,0,0,39,1,0,29,0,0,0,0,0,0,0,22,0,0,63,0,0,0,0,0,35,0,0
2021-09-01,0,18,0,0,45,0,0,5,42,3,1,0,11,19,0,4,0,44,0,29,0,0,3,1,43,41,32,0,0,91,72,38,0,0,4,0,0,0,5,0,0,10,49,22,6,8,12,36,53,0,29,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,36,0,0
2021-10-01,0,11,0,0,63,0,0,0,44,3,1,0,13,17,0,4,0,39,0,24,0,0,3,1,42,50,36,0,0,77,81,49,3,4,0,6,0,0,20,0,2,6,44,12,16,21,7,30,54,0,74,0,0,0,0,0,39,0,0,23,0,0,83,0,0,0,0,0,0,0,0,0,0,25,0,0,47,0,0,0,0,0,41,0,0
2021-11-01,0,28,0,0,23,0,0,6,37,9,2,0,13,16,0,11,0,31,0,38,0,0,3,1,43,53,29,0,0,100,65,36,0,0,4,0,6,0,0,0,0,12,50,12,6,7,11,22,52,0,25,0,0,0,0,0,0,0,0,65,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,34,0,0
2021-12-01,0,23,0,0,71,0,0,0,32,4,1,0,11,13,0,5,0,26,0,32,0,0,3,1,43,48,32,0,0,68,72,45,5,7,6,9,0,0,10,0,3,10,46,10,5,6,8,12,62,0,21,0,0,0,0,0,32,0,0,0,0,0,46,2,0,71,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,41,0,0
2022-01-01,0,42,0,0,31,0,0,3,37,3,1,0,8,19,0,3,0,21,0,38,0,0,3,0,42,44,32,0,0,77,73,39,3,2,8,6,0,0,3,0,2,8,56,16,0,0,6,24,59,0,0,0,0,0,0,0,0,0,0,44,0,0,37,0,0,0,0,0,0,0,0,0,0,22,0,0,62,0,0,0,0,0,44,0,0
2022-02-01,0,46,0,0,23,0,0,3,46,3,1,0,11,22,0,4,0,25,0,40,0,0,3,1,41,52,39,0,0,91,88,50,8,2,6,14,0,0,39,0,5,3,65,24,8,10,8,29,61,0,36,0,0,0,0,0,0,0,0,64,0,0,53,1,0,29,0,0,0,0,0,0,0,29,0,0,69,0,0,0,0,0,32,0,0
2022-03-01,0,10,0,0,78,0,0,3,56,5,1,0,12,19,0,6,0,26,0,41,0,0,3,1,43,42,41,0,0,86,91,52,11,0,5,18,0,0,29,0,7,7,78,20,11,14,8,24,81,0,49,0,0,0,0,0,50,0,0,55,0,0,39,0,0,15,0,0,0,0,0,0,0,15,0,0,75,0,0,0,0,0,38,0,0
2022-04-01,0,32,0,0,74,0,0,2,45,5,1,0,8,28,0,6,0,31,0,38,0,0,2,0,60,37,45,0,0,86,100,51,5,0,3,9,6,0,13,0,3,5,98,25,5,7,9,22,63,0,24,0,0,0,0,0,29,0,0,90,0,0,34,1,0,22,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,49,0,0
2022-05-01,0,22,0,0,64,0,0,3,36,4,1,0,11,23,0,5,0,48,0,31,0,0,3,0,41,41,38,0,0,99,84,44,8,5,0,13,0,0,3,0,5,7,72,24,5,7,8,24,69,0,24,0,0,0,0,0,0,0,0,59,0,0,39,1,0,17,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,33,0,0
