date,country,topic,mudando a,huir de Colombia,huyendo de Colombia,como salir de Colombia,como irse de Colombia,lugar seguro en Brasil,lugar seguro en Perú,lugar seguro en Panamá,lugar seguro en Venezuela,lugar seguro en Ecuador,lugares seguros en Brasil,lugares seguros en Perú,lugares seguros en Panamá,lugares seguros en Venezuela,lugares seguros en Ecuador,lugar para quedarse en Brasil,lugar para quedarse en Perú,lugar para quedarse en Panamá,lugar para quedarse en Venezuela,lugar para quedarse en Ecuador,lugares para quedarse en Brasil,lugares para quedarse en Perú,lugares para quedarse en Panamá,lugares para quedarse en Venezuela,lugares para quedarse en Ecuador,refugio seguro en Brasil,refugio seguro en Perú,refugio seguro en Panamá,refugio seguro en Venezuela,refugio seguro en Ecuador,refugiado,refugiado de Colombia,refugiada,refugiada de Colombia,asilo,asilo en Brasil,asilo en Perú,asilo en Panamá,asilo en Venezuela,asilo en Ecuador,emergencia en Colombia,yéndose de Colombia,saliendo de Colombia,camino seguro de Colombia,camino seguro a Brasil,camino seguro a Perú,camino seguro a Panamá,camino seguro a Venezuela,camino seguro a Ecuador,ruta segura de Colombia,ruta segura a Brasil,ruta segura a Perú,ruta segura a Panamá,ruta segura a Venezuela,ruta segura a Ecuador,tener que salir de Colombia,tengo que salir de Colombia,salvoconducto,salida,salida de Colombia,ayúdame a salir de Colombia,necesito ayuda para salir de Colombia,como salir mañana,tengo que irme de Colombia
2019-09-01,COL,general,0,0,0,26,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,14.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,4.0,0.0,0.0,0.0,0.0
2019-10-01,COL,general,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,71.0,3.0,0.0,0.0,0.0,0.0
2019-11-01,COL,general,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.0,18.0,0.0,594.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,25.826086956521742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,74.0,5.0,0.0,0.0,0.0,0.0
2019-12-01,COL,general,0,0,0,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,22.0,9.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,9.391304347826088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,71.0,4.0,0.0,0.0,0.0,0.0
2020-01-01,COL,general,0,0,0,26,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,14.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,8.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,3.0,66.0,4.0,0.0,0.0,0.0,0.0
2020-02-01,COL,general,0,0,0,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,52.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,80.0,4.0,0.0,0.0,0.0,0.0
2020-03-01,COL,general,0,0,0,75,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,11.0,18.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,14.553191489361701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,79.0,4.0,0.0,0.0,0.0,0.0
2020-04-01,COL,general,0,0,0,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,7.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,567.0,0.0,38.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,80.0,3.0,0.0,0.0,0.0,0.0
2020-05-01,COL,general,0,0,0,54,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,8.0,13.0,0.0,240.5,0.0,0.0,0.0,0.0,0.0,435.5,0.0,18.12121212121212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,6.0,0.0,0.0,0.0,0.0
2020-06-01,COL,general,0,0,0,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,8.0,7.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,31.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,3.0,80.0,3.0,0.0,0.0,0.0,0.0
