date,country,topic,trabajo en Brasil,trabajo en Perú,trabajo en Panamá,trabajo en Venezuela,trabajo en Ecuador,visa de trabajo,moneda de Brasil,moneda de Perú,moneda de Panamá,moneda de Venezuela,moneda de Ecuador,ayuda en Brasil,ayuda en Perú,ayuda en Panamá,ayuda en Venezuela,ayuda en Ecuador,cruz roja,asistencia en Colombia,refugio en Brasil,refugio en Perú,refugio en Panamá,refugio en Venezuela,refugio en Ecuador,aplicar a,pasaporte,documentos,consulado,embajada,protección,donde encontrar ayuda en Colombia,como encontrar refugio en Brasil,como encontrar refugio en Perú,como encontrar refugio en Panamá,como encontrar refugio en Venezuela,como encontrar refugio en Ecuador
2020-01-01,COL,destination,0,26,0,38,80,93.0,40.0,7.0,5.0,30.625,18.375,0.0,0.0,0.0,0.0,0.0,595.0,20.125,0.0,0.0,0.0,0.0,0.0,3.0,38.0,36.857142857142854,6.428571428571428,18.0,13.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,COL,destination,11,9,16,45,27,183.33333333333331,135.66666666666666,29.333333333333332,18.333333333333332,69.66666666666666,58.666666666666664,0.0,0.0,0.0,0.0,0.0,1818.6666666666665,26.666666666666664,0.0,0.0,0.0,0.0,0.0,4.0,26.0,36.5,6.0,15.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,COL,destination,18,7,0,43,13,117.0,157.5,13.5,0.0,63.0,81.0,0.0,0.0,0.0,0.0,0.0,607.5,84.68181818181819,0.0,0.0,0.0,0.0,0.0,4.0,12.0,25.6,3.6,9.600000000000001,17.2,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,COL,destination,8,0,0,17,22,64.0,76.0,12.0,0.0,52.0,76.0,0.0,0.0,0.0,0.0,0.0,120.0,55.38461538461539,0.0,0.0,0.0,0.0,0.0,5.0,7.0,23.75,2.0833333333333335,6.25,22.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,COL,destination,13,8,0,35,15,99.66666666666666,160.33333333333331,0.0,13.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,22.0,37.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,26.142857142857142,3.0,6.857142857142857,21.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,COL,destination,7,0,0,18,10,91.0,84.0,10.5,7.0,59.5,52.5,0.0,0.0,0.0,0.0,0.0,430.5,18.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,26.25,3.3333333333333335,7.5,17.083333333333336,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,COL,destination,13,0,0,20,15,99.66666666666666,130.0,26.0,8.666666666666666,65.0,91.0,0.0,0.0,0.0,0.0,0.0,1378.0,52.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,30.909090909090907,4.090909090909091,7.727272727272727,20.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,COL,destination,23,12,0,24,16,101.19999999999999,119.6,9.2,0.0,73.6,73.6,0.0,0.0,0.0,0.0,0.0,450.79999999999995,67.02857142857142,0.0,0.0,0.0,0.0,0.0,5.0,26.0,30.0,3.75,8.333333333333334,18.75,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,COL,destination,17,12,17,46,16,106.25,131.75,25.5,8.5,46.75,46.75,0.0,0.0,0.0,0.0,0.0,1683.0,58.84615384615385,0.0,0.0,0.0,0.0,0.0,7.0,23.0,39.2,4.666666666666667,11.2,19.6,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,COL,destination,0,8,0,32,30,30.0,25.0,2.0,3.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,126.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,32.14285714285714,4.714285714285714,9.857142857142856,19.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,COL,destination,0,17,0,34,21,36.0,26.0,3.0,2.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,180.0,5.75,0.0,0.0,0.0,0.0,0.0,5.0,25.0,28.75,4.166666666666667,8.75,18.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,COL,destination,9,9,12,33,35,94.5,117.0,22.5,0.0,85.5,58.5,0.0,0.0,0.0,0.0,0.0,1935.0,33.214285714285715,0.0,0.0,0.0,0.0,0.0,4.0,30.0,27.6,3.6,8.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,COL,destination,25,0,13,35,19,220.83333333333334,145.83333333333334,16.666666666666668,20.833333333333336,63.333333333333336,46.66666666666667,0.0,0.0,0.0,0.0,0.0,1250.0,42.10526315789474,0.0,0.0,0.0,0.0,0.0,5.0,39.0,30.909090909090907,5.909090909090909,14.09090909090909,17.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,COL,destination,21,12,16,20,44,176.4,100.80000000000001,12.600000000000001,12.600000000000001,63.0,75.60000000000001,0.0,0.0,0.0,0.0,0.0,806.4000000000001,53.550000000000004,0.0,0.0,0.0,0.0,0.0,5.0,29.0,30.0,4.166666666666667,10.833333333333334,22.083333333333336,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,COL,destination,17,11,21,35,28,123.25,136.0,8.5,12.75,63.75,76.5,0.0,0.0,0.0,0.0,0.0,595.0,55.25,0.0,0.0,0.0,0.0,0.0,6.0,27.0,33.0,4.285714285714286,10.285714285714285,21.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0
