date,location,generic_terms,geography,safe_places,travel
2023-01-09,north darfur,0.0,0.0,0.0,0.0
2023-01-09,north kordofan,0.0,0.0,0.0,0.0
2023-01-09,northern,0.0,0.0,0.0,0.0
2023-01-09,red sea,0.0,0.0,0.0,0.0
2023-01-09,river nile,0.0,0.0,0.0,0.0
2023-01-09,sennar,0.0,0.0,0.0,0.0
2023-01-09,south darfur,0.0,0.0,0.0,0.0
2023-01-09,south kordofan,0.0,0.0,0.0,0.0
2023-01-09,west darfur,0.0,0.0,0.0,0.0
2023-01-09,west kordofan,0.0,0.0,0.0,0.0
2023-01-09,white nile,0.0,0.0,0.0,0.0
2023-01-10,al jazirah,0.0,0.0,0.0,0.0
2023-01-10,blue nile,0.0,0.0,0.0,0.0
2023-01-10,central darfur,0.0,0.0,0.0,0.0
2023-01-10,east darfur,0.0,0.0,0.0,0.0
2023-01-10,kassala,0.0,0.0,0.0,0.0
2023-01-10,khartoum,1.6666666666666667,1.6666666666666667,3.0,2.272727272727273
2023-01-10,north darfur,0.0,0.0,0.0,0.0
2023-01-10,north kordofan,0.0,0.0,0.0,0.0
2023-01-10,northern,0.0,0.0,1.2857142857142858,0.0
2023-01-10,red sea,0.0,0.0,2.7857142857142856,0.0
2023-01-10,river nile,0.0,0.0,0.0,0.0
2023-01-10,sennar,0.0,0.0,0.0,0.0
2023-01-10,south darfur,0.0,0.0,0.0,0.0
2023-01-10,south kordofan,0.0,0.0,0.0,0.0
2023-01-10,west darfur,0.0,0.0,0.0,0.0
2023-01-10,west kordofan,0.0,0.0,0.0,0.0
2023-01-10,white nile,0.0,0.0,0.0,0.0
2023-01-11,al jazirah,0.0,0.0,0.0,0.0
2023-01-11,blue nile,0.0,0.0,0.0,0.0
2023-01-11,central darfur,0.0,0.0,0.0,0.0
2023-01-11,east darfur,0.0,0.0,0.0,0.0
2023-01-11,kassala,0.0,0.0,0.0,0.0
2023-01-11,khartoum,1.3333333333333333,2.333333333333333,5.214285714285714,0.4545454545454545
2023-01-11,north darfur,0.0,0.0,0.0,0.0
2023-01-11,north kordofan,0.0,0.0,0.0,0.0
2023-01-11,northern,0.0,0.0,1.4285714285714286,0.0
2023-01-11,red sea,0.0,0.0,1.8571428571428568,0.0
2023-01-11,river nile,0.0,0.0,0.0,0.0
2023-01-11,sennar,0.0,0.0,0.0,0.0
2023-01-11,south darfur,0.0,0.0,0.0,0.0
2023-01-11,south kordofan,0.0,0.0,0.0,0.0
2023-01-11,west darfur,0.0,0.0,0.0,0.0
2023-01-11,west kordofan,0.0,0.0,0.0,0.0
2023-01-11,white nile,0.0,0.0,0.0,0.0
2023-01-12,al jazirah,0.0,0.0,0.0,0.0
2023-01-12,blue nile,0.0,0.0,0.0,0.0
2023-01-12,central darfur,0.0,0.0,0.0,0.0
2023-01-12,east darfur,0.0,0.0,0.0,0.0
2023-01-12,kassala,0.0,0.0,0.0,0.0
2023-01-12,khartoum,1.3333333333333333,2.0,3.5,0.6363636363636364
2023-01-12,north darfur,0.0,0.0,0.0,0.0
2023-01-12,north kordofan,0.0,0.0,0.0,0.0
2023-01-12,northern,0.0,0.0,0.0,0.0
2023-01-12,red sea,0.0,0.0,0.0,0.0
2023-01-12,river nile,0.0,0.0,0.0,0.0
2023-01-12,sennar,0.0,0.0,0.0,0.0
2023-01-12,south darfur,0.0,0.0,0.0,0.0
2023-01-12,south kordofan,0.0,0.0,0.0,0.0
2023-01-12,west darfur,0.0,0.0,0.0,0.0
2023-01-12,west kordofan,0.0,0.0,0.0,0.0
2023-01-12,white nile,0.0,0.0,0.0,0.0
2023-01-13,al jazirah,0.0,0.0,0.0,0.0
2023-01-13,blue nile,0.0,0.0,0.0,0.0
2023-01-13,central darfur,0.0,0.0,0.0,0.0
2023-01-13,east darfur,0.0,0.0,0.0,0.0
2023-01-13,kassala,0.0,0.0,0.0,0.0
2023-01-13,khartoum,1.3333333333333333,1.6666666666666667,3.357142857142857,1.0
2023-01-13,north darfur,0.0,0.0,0.0,0.0
2023-01-13,north kordofan,0.0,0.0,0.0,0.0
2023-01-13,northern,0.0,0.0,0.0,0.0
2023-01-13,red sea,0.0,0.0,5.857142857142857,0.0
2023-01-13,river nile,0.0,0.0,0.0,0.0
2023-01-13,sennar,0.0,0.0,0.0,0.0
2023-01-13,south darfur,0.0,0.0,0.0,0.0
2023-01-13,south kordofan,0.0,0.0,0.0,0.0
2023-01-13,west darfur,0.0,0.0,0.0,0.0
2023-01-13,west kordofan,0.0,0.0,0.0,0.0
2023-01-13,white nile,0.0,0.0,0.0,0.0
2023-01-14,al jazirah,0.0,0.0,0.0,0.0
2023-01-14,blue nile,0.0,0.0,0.0,0.0
2023-01-14,central darfur,0.0,0.0,0.0,0.0
2023-01-14,east darfur,0.0,0.0,0.0,0.0
2023-01-14,kassala,0.0,0.0,0.0,0.0
2023-01-14,khartoum,0.0,0.0,6.714285714285714,2.5454545454545454
2023-01-14,north darfur,0.0,0.0,0.0,0.0
2023-01-14,north kordofan,0.0,0.0,0.0,0.0
2023-01-14,northern,0.0,0.0,1.3571428571428572,0.0
2023-01-14,red sea,0.0,0.0,0.0,0.0
2023-01-14,river nile,0.0,0.0,0.0,0.0
2023-01-14,sennar,0.0,0.0,0.0,0.0
2023-01-14,south darfur,0.0,0.0,0.0,0.0
2023-01-14,south kordofan,0.0,0.0,7.142857142857143,0.0
2023-01-14,west darfur,0.0,0.0,0.0,0.0
2023-01-14,west kordofan,0.0,0.0,0.0,0.0
2023-01-14,white nile,0.0,0.0,0.0,0.0
2023-01-15,al jazirah,0.0,0.0,0.0,0.0
2023-01-15,blue nile,0.0,0.0,0.0,0.0
2023-01-15,central darfur,0.0,0.0,0.0,0.0
2023-01-15,east darfur,0.0,0.0,0.0,0.0
2023-01-15,kassala,0.0,0.0,0.0,0.0
2023-01-15,khartoum,1.0,1.6666666666666667,4.428571428571429,1.7272727272727273
2023-01-15,north darfur,0.0,0.0,0.0,0.0
2023-01-15,north kordofan,0.0,0.0,0.0,0.0
2023-01-15,northern,0.0,0.0,0.0,0.0
2023-01-15,red sea,0.0,0.0,2.9285714285714284,0.0
2023-01-15,river nile,0.0,0.0,0.0,0.0
2023-01-15,sennar,0.0,0.0,0.0,0.0
2023-01-15,south darfur,0.0,0.0,0.0,0.0
2023-01-15,south kordofan,0.0,0.0,0.0,0.0
2023-01-15,west darfur,0.0,0.0,0.0,0.0
2023-01-15,west kordofan,0.0,0.0,0.0,0.0
2023-01-15,white nile,0.0,0.0,0.0,0.0
2023-01-16,al jazirah,0.0,0.0,0.0,0.0
2023-01-16,blue nile,0.0,0.0,0.0,0.0
2023-01-16,central darfur,0.0,0.0,0.0,0.0
2023-01-16,east darfur,0.0,0.0,0.0,0.0
2023-01-16,kassala,0.0,0.0,0.0,0.0
2023-01-16,khartoum,0.0,2.333333333333333,3.357142857142857,2.090909090909091
2023-01-16,north darfur,0.0,0.0,0.0,0.0
2023-01-16,north kordofan,0.0,0.0,0.0,0.0
2023-01-16,northern,0.0,0.0,1.8571428571428568,0.0
2023-01-16,red sea,0.0,0.0,2.357142857142857,0.0
2023-01-16,river nile,0.0,0.0,0.0,0.0
