date,location,anger,fear,sadness,disgust,joy,anger-disgust
2023-05-07,akon,7,1,9,0,15,6
2023-05-07,itang,0,0,0,0,2,0
2023-05-07,khartoum,45,2,2,7,1,47
2023-05-07,nyala,0,0,0,0,1,0
2023-05-07,raja,5,0,3,2,0,5
2023-05-07,umm badr,0,0,0,0,2,0
2023-05-08,adet,36,0,41,1,312,36
2023-05-08,akon,28,11,102,1,105,29
2023-05-08,el suki,0,0,0,0,1,0
2023-05-08,itang,1,0,0,0,1,0
2023-05-08,khartoum,367,28,47,87,5,398
2023-05-08,leer,0,0,0,0,0,0
2023-05-08,nyala,1,0,0,0,0,1
2023-05-08,raja,11,0,6,1,2,16
2023-05-09,adet,4,0,4,0,15,4
2023-05-09,akon,4,0,17,1,41,7
2023-05-09,khartoum,44,1,3,13,1,48
2023-05-09,raja,1,0,2,0,0,2
2023-05-10,adet,6,0,9,1,53,7
2023-05-10,akon,6,2,21,1,26,8
2023-05-10,botor,0,0,0,0,0,0
2023-05-10,khartoum,115,6,3,20,8,133
2023-05-10,leer,1,0,1,1,0,1
2023-05-10,nyala,0,0,0,0,0,0
2023-05-10,raja,5,0,0,3,0,6
2023-05-10,yuai,1,0,1,0,0,1
2023-05-11,adet,5,0,17,0,191,8
2023-05-11,akon,18,2,59,0,70,17
2023-05-11,itang,0,0,1,0,1,0
2023-05-11,jidad,0,0,0,0,0,0
2023-05-11,khartoum,174,1,7,33,4,181
2023-05-11,nyala,1,0,0,0,0,1
2023-05-11,raja,2,0,7,0,4,3
2023-05-11,yuai,1,0,0,1,0,1
2023-05-12,adet,172,162,47,0,322,182
2023-05-12,akon,33,12,67,3,76,22
2023-05-12,el suki,0,0,0,0,1,0
2023-05-12,khartoum,349,0,5,52,17,363
2023-05-12,leer,0,0,0,0,0,1
2023-05-12,nyala,4,0,0,1,0,4
2023-05-12,raja,8,0,2,0,2,12
2023-05-12,yuai,0,0,0,0,0,1
2023-05-12,zalingei,2,0,0,0,0,2
2023-05-13,adet,19,10,6,0,72,21
2023-05-13,akon,4,0,12,0,14,3
2023-05-13,itang,1,0,0,0,1,1
2023-05-13,khartoum,53,0,2,13,3,59
2023-05-13,raja,2,0,1,1,2,2
2023-05-13,yuai,1,0,0,0,0,1
2023-05-14,adet,18,0,9,0,465,23
2023-05-14,akon,9,4,34,0,58,9
2023-05-14,khartoum,79,1,10,19,6,85
2023-05-14,raja,11,0,3,8,1,10
2023-05-15,adet,5,0,7,0,19,6
2023-05-15,akon,4,0,21,0,10,2
2023-05-15,jidad,0,0,0,0,0,0
2023-05-15,khartoum,55,0,1,3,2,53
2023-05-15,raja,0,0,1,0,0,2
2023-05-17,adet,1,0,1,0,8,1
2023-06-01,adet,1,0,0,0,47,3
2023-06-01,akon,19,0,16,1,67,11
2023-06-01,el suki,0,0,0,0,0,0
2023-06-01,khartoum,62,1,4,10,2,69
2023-06-01,nyala,3,0,0,0,1,0
2023-06-01,raja,3,0,0,0,1,4
2023-06-01,zalingei,1,1,1,0,0,1
2023-06-02,adet,7,0,6,0,34,4
2023-06-02,akon,2,3,21,0,16,4
2023-06-02,jidad,0,0,0,0,1,0
2023-06-02,khartoum,14,0,2,3,0,15
2023-06-02,raja,1,0,1,0,0,2
2023-06-02,yuai,0,0,0,0,0,0
2023-06-03,adet,1,0,2,0,7,0
2023-06-03,akon,4,0,26,0,7,4
2023-06-03,khartoum,15,0,2,8,0,16
2023-06-03,raja,1,0,0,0,0,1
2023-06-03,yuai,0,0,0,0,0,1
2023-06-04,adet,1,0,15,0,23,0
2023-06-04,akon,3,1,11,0,11,5
2023-06-04,itang,0,0,0,0,1,0
2023-06-04,khartoum,8,0,1,1,1,9
2023-06-04,raja,0,0,1,0,1,0
2023-06-05,adet,0,0,1,0,2,0
2023-06-05,akon,10,0,3,0,7,10
2023-06-05,khartoum,7,1,0,1,1,7
2023-06-05,leer,0,0,0,0,0,0
2023-06-05,nyala,0,0,0,0,1,0
2023-06-05,raja,2,0,1,0,2,2
2023-06-06,adet,0,0,0,0,13,0
2023-06-06,akon,0,0,8,0,7,1
2023-06-06,khartoum,2,0,0,0,0,3
2023-06-06,raja,4,0,1,1,0,4
2023-06-07,adet,1,0,1,0,4,0
2023-06-07,akon,1,0,2,0,13,1
2023-06-07,khartoum,4,0,1,0,0,7
2023-06-07,nyala,1,0,0,0,0,1
2023-06-07,raja,0,0,1,0,0,0
2023-06-08,adet,2,0,1,0,13,2
2023-06-08,akon,10,0,8,1,14,9
2023-06-08,khartoum,19,0,4,1,1,21
2023-06-08,leer,5,0,0,0,0,5
2023-06-08,nyala,1,0,0,0,0,1
2023-06-08,raja,3,0,0,0,1,3
2023-06-09,adet,1,0,2,0,10,1
2023-06-09,akon,2,0,9,0,21,5
2023-06-09,khartoum,7,1,1,1,2,8
2023-06-09,leer,0,0,0,0,0,0
2023-06-09,raja,3,0,0,1,0,3
2023-06-10,adet,0,0,0,0,5,0
2023-06-10,akon,2,0,11,0,16,2
2023-06-10,khartoum,12,1,1,2,2,12
2023-06-10,raja,1,0,0,0,0,1
2023-06-11,adet,1,0,4,0,6,4
2023-06-11,akon,5,0,20,0,8,2
2023-06-11,khartoum,10,0,0,3,0,13
2023-06-11,raja,1,0,1,0,0,1
2023-06-12,adet,3,0,2,0,10,1
2023-06-12,akon,2,0,12,0,16,2
2023-06-12,itang,0,0,0,0,1,0
2023-06-12,khartoum,27,0,1,14,2,30
2023-06-12,raja,0,0,1,0,0,2
2023-06-13,adet,1,0,5,0,8,0
2023-06-13,akon,3,3,10,0,7,1
2023-06-13,el suki,0,0,0,0,1,0
2023-06-13,itang,0,1,1,0,1,0
2023-06-13,khartoum,14,1,0,8,0,15
2023-06-13,nyala,1,0,0,0,0,1
2023-06-13,raja,1,0,0,0,0,2
2023-06-14,adet,1,0,2,0,3,1
2023-06-14,akon,0,0,2,0,1,1
2023-06-14,khartoum,12,0,0,2,0,12
2023-06-14,raja,1,0,0,0,0,1
2023-06-14,zalingei,2,2,0,0,0,1
2023-06-15,adet,9,0,13,1,13,8
2023-06-15,akon,12,1,12,1,7,11
2023-06-15,khartoum,34,3,6,19,1,37
2023-06-15,raja,2,0,0,0,0,2
2023-06-16,adet,9,0,7,0,66,13
2023-06-16,akon,7,3,12,1,15,10
2023-06-16,itang,0,0,0,0,0,0
2023-06-16,khartoum,41,0,4,12,2,46
2023-06-16,leer,1,0,0,1,0,1
2023-06-16,nyala,0,2,0,0,0,0
2023-06-16,raja,3,0,2,0,1,3
2023-06-16,zalingei,0,0,1,0,0,0
2023-06-17,adet,1,0,2,0,14,2
2023-06-17,akon,0,1,1,0,9,3
2023-06-17,khartoum,11,0,0,4,1,11
2023-06-17,nyala,2,0,0,0,0,0
2023-06-17,raja,2,0,0,0,0,1
