date,location,arriving_IDP,leaving_IDP,fatalities,event_count
2023-05-16,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-16,blue nile,4145.0,0.0,0.0,0.0
2023-05-16,central darfur,90280.0,90280.0,0.0,0.0
2023-05-16,east darfur,7000.0,0.0,0.0,0.0
2023-05-16,gedaref,42240.0,0.0,0.0,1.0
2023-05-16,kassala,29170.0,0.0,0.0,0.0
2023-05-16,khartoum,19585.0,937282.0,21.0,17.0
2023-05-16,north darfur,29300.0,24350.0,0.0,0.0
2023-05-16,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-16,northern,188055.0,0.0,0.0,0.0
2023-05-16,red sea,22817.0,0.0,0.0,0.0
2023-05-16,river nile,186115.0,0.0,0.0,0.0
2023-05-16,sennar,120725.0,0.0,0.0,0.0
2023-05-16,south darfur,89820.0,96910.0,0.0,0.0
2023-05-16,south kordofan,9179.0,0.0,0.0,0.0
2023-05-16,west darfur,273220.0,277020.0,0.0,0.0
2023-05-16,west kordofan,686.0,0.0,0.0,0.0
2023-05-16,white nile,211164.0,0.0,0.0,0.0
2023-05-17,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-17,blue nile,4145.0,0.0,0.0,0.0
2023-05-17,central darfur,90280.0,90280.0,0.0,0.0
2023-05-17,east darfur,7000.0,0.0,0.0,0.0
2023-05-17,gedaref,42240.0,0.0,0.0,0.0
2023-05-17,kassala,29170.0,0.0,0.0,0.0
2023-05-17,khartoum,19585.0,937282.0,0.0,0.0
2023-05-17,north darfur,29300.0,24350.0,0.0,0.0
2023-05-17,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-17,northern,188055.0,0.0,0.0,0.0
2023-05-17,red sea,22817.0,0.0,0.0,0.0
2023-05-17,river nile,186115.0,0.0,0.0,0.0
2023-05-17,sennar,120725.0,0.0,0.0,0.0
2023-05-17,south darfur,89820.0,96910.0,0.0,0.0
2023-05-17,south kordofan,9179.0,0.0,0.0,0.0
2023-05-17,west darfur,273220.0,277020.0,0.0,0.0
2023-05-17,west kordofan,686.0,0.0,0.0,0.0
2023-05-17,white nile,211164.0,0.0,0.0,0.0
2023-05-18,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-18,blue nile,4145.0,0.0,0.0,0.0
2023-05-18,central darfur,90280.0,90280.0,0.0,0.0
