location,Y,X(s),covariate num.,r^2,offset
north darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.6546333489141645,-3
north darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.6846710687633857,-2
north darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.730015206766853,-2
north darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-1
north darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-1
north darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,0
north darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,0
north darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.6846710687633857,1
north darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.730015206766853,1
north darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.7906837420473599,2
north darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.6546333489141645,2
north darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.4118130159032445,3
north darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.3854836854714728,3
north kordofan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.20369499333707985,-4
north kordofan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.21386855612675715,-4
north kordofan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.7853831426927274,-3
north kordofan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.5292110238056045,-3
north kordofan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.10357718543438843,-2
north kordofan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.6913395175585371,-2
north kordofan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-1
north kordofan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-1
north kordofan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,0
north kordofan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,0
north kordofan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.10357718543438843,1
