location,Y,X(s),covariate num.,r^2,offset
khartoum,leaving_IDP,fatalities,1,0.31057390280978914,-4
khartoum,leaving_IDP,event_count,1,0.3522026763991841,-4
khartoum,arriving_IDP,fatalities,1,0.6479935562153878,-3
khartoum,arriving_IDP,event_count,1,0.7449571400389492,-3
khartoum,leaving_IDP,fatalities,1,0.3844412671871522,-3
khartoum,leaving_IDP,event_count,1,0.41721083641352863,-3
khartoum,arriving_IDP,fatalities,1,0.628431114441566,-2
khartoum,arriving_IDP,event_count,1,0.7397890150814439,-2
khartoum,leaving_IDP,fatalities,1,0.3637098055717981,-2
khartoum,leaving_IDP,event_count,1,0.41526900178772996,-2
khartoum,arriving_IDP,fatalities,1,0.8640120334453325,-1
khartoum,arriving_IDP,event_count,1,0.7904103435389659,-1
khartoum,leaving_IDP,fatalities,1,0.3463597450708671,-1
khartoum,leaving_IDP,event_count,1,0.354327894234011,-1
khartoum,arriving_IDP,fatalities,1,0.8640120334453325,0
khartoum,arriving_IDP,event_count,1,0.7904103435389659,0
khartoum,leaving_IDP,fatalities,1,0.3463597450708671,0
khartoum,leaving_IDP,event_count,1,0.354327894234011,0
khartoum,arriving_IDP,fatalities,1,0.628431114441566,1
khartoum,arriving_IDP,event_count,1,0.7397890150814439,1
khartoum,leaving_IDP,fatalities,1,0.3637098055717981,1
khartoum,leaving_IDP,event_count,1,0.41526900178772996,1
khartoum,arriving_IDP,fatalities,1,0.6479935562153878,2
khartoum,arriving_IDP,event_count,1,0.7449571400389492,2
khartoum,leaving_IDP,fatalities,1,0.3844412671871522,2
khartoum,leaving_IDP,event_count,1,0.41721083641352863,2
khartoum,arriving_IDP,fatalities,1,0.55423127940687,3
khartoum,arriving_IDP,event_count,1,0.7615389460426256,3
khartoum,leaving_IDP,fatalities,1,0.31057390280978914,3
khartoum,leaving_IDP,event_count,1,0.3522026763991841,3
north darfur,arriving_IDP,fatalities,1,0.24457602803871992,-4
north darfur,arriving_IDP,event_count,1,0.1446425327566324,-4
north darfur,leaving_IDP,fatalities,1,0.22140370306140844,-4
north darfur,leaving_IDP,event_count,1,0.11835546100100736,-4
north darfur,arriving_IDP,fatalities,1,0.7928409742329876,-3
north darfur,arriving_IDP,event_count,1,0.7046971366929722,-3
north darfur,leaving_IDP,fatalities,1,0.8331095248554458,-3
north darfur,leaving_IDP,event_count,1,0.7643935240435267,-3
north darfur,arriving_IDP,fatalities,1,0.6752775464255716,-2
north darfur,arriving_IDP,event_count,1,0.6876155622902937,-2
north darfur,leaving_IDP,fatalities,1,0.7352380134512723,-2
north darfur,leaving_IDP,event_count,1,0.7492070032708983,-2
north darfur,arriving_IDP,fatalities,1,0.7017224140345595,-1
north darfur,arriving_IDP,event_count,1,0.6814141375445886,-1
north darfur,leaving_IDP,fatalities,1,0.772382956578577,-1
north darfur,leaving_IDP,event_count,1,0.7527674016046187,-1
north darfur,arriving_IDP,fatalities,1,0.7017224140345595,0
north darfur,arriving_IDP,event_count,1,0.6814141375445886,0
north darfur,leaving_IDP,fatalities,1,0.772382956578577,0
north darfur,leaving_IDP,event_count,1,0.7527674016046187,0
north darfur,arriving_IDP,fatalities,1,0.6752775464255716,1
north darfur,arriving_IDP,event_count,1,0.6876155622902937,1
north darfur,leaving_IDP,fatalities,1,0.7352380134512723,1
north darfur,leaving_IDP,event_count,1,0.7492070032708983,1
north darfur,arriving_IDP,fatalities,1,0.7928409742329876,2
north darfur,arriving_IDP,event_count,1,0.7046971366929722,2
north darfur,leaving_IDP,fatalities,1,0.8331095248554458,2
