date,location,arriving_IDP,leaving_IDP,anger,fear,sadness,disgust,joy,anger-disgust
2023-05-17,south sudan,1639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-17,sudan,0.0,1639.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-18,south sudan,1501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-18,sudan,0.0,1501.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-19,south sudan,1745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-19,sudan,0.0,1745.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-20,south sudan,1282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-20,sudan,0.0,1282.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,blue nile,1245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,central darfur,1780.0,1780.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,gazera,63284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,gedaref,18615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,kassala,4220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,khartoum,17350.0,718573.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,north darfur,19695.0,15820.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,north kordofan,20305.0,3026.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,northern,145189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,red sea,13014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,river nile,162952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,sennar,62575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,south darfur,50490.0,50490.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,south kordofan,7537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,south sudan,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,sudan,0.0,2025.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,west darfur,248625.0,252425.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,west kordofan,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,white nile,204821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-22,south sudan,2493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-22,sudan,0.0,2493.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-23,south sudan,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-23,sudan,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-24,south sudan,1891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-24,sudan,0.0,1891.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-25,south sudan,1873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-25,sudan,0.0,1873.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-26,south sudan,1773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-26,sudan,0.0,1773.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-27,south sudan,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-27,sudan,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-28,south sudan,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-28,sudan,0.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,aj jazirah,68334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,blue nile,3185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,central darfur,1780.0,1780.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,east darfur,5100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,gedaref,36940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,kassala,8475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,khartoum,17980.0,838664.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,north darfur,24720.0,19815.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,north kordofan,23523.0,2520.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,northern,143604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,red sea,17631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,river nile,185860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,sennar,122260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,south darfur,89820.0,95010.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,south kordofan,8850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,south sudan,1999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,sudan,0.0,1999.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,west darfur,248625.0,252425.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,west kordofan,661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,white nile,202866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-30,south sudan,1810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-30,sudan,0.0,1810.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-31,south sudan,1992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-31,sudan,0.0,1992.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,south sudan,1786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,sudan,0.0,1786.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02,south sudan,1394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02,sudan,0.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-03,south sudan,2297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-03,sudan,0.0,2297.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,aj jazirah,77485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,blue nile,4145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,central darfur,90280.0,90280.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,east darfur,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,gedaref,42240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,kassala,29170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,khartoum,19585.0,937282.0,8.0,0.0,1.0,1.0,1.0,9.0
2023-06-04,north darfur,29300.0,24350.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,north kordofan,27565.0,2709.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,northern,188055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,red sea,22817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,river nile,186115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,sennar,120725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,south darfur,89820.0,96910.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,south kordofan,9179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,south sudan,2092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,sudan,0.0,2092.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,west darfur,273220.0,277020.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,west kordofan,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04,white nile,211164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-05,south sudan,2113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-05,sudan,0.0,2113.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-06,south sudan,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-06,sudan,0.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-07,south sudan,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
