date,ISO,topic,عمل,شغل,رخصة الشغل,رخصة العمل,عملة,مساعدة,الصليب الاحمر,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,وثائق,قنصلية
2022-07-01,IL,safe_places,48,3,0,0,8,0.9552238805970149,0.11940298507462686,0.0,0.11940298507462686,0.0,0.10613598673300166,0.0,0.0,0.0,40.0,0.0,26.0
2022-08-01,IL,safe_places,45,3,0,0,9,1.2,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,96.0,40.0,0.0
2022-09-01,IL,safe_places,46,2,0,0,6,1.0212765957446808,0.0,0.0,0.1276595744680851,0.0,0.1148936170212766,0.0,0.0,0.0,81.0,0.0,0.0
2022-10-01,IL,safe_places,40,2,0,0,4,0.75,0.0,0.0,0.375,0.0,0.28125,0.0,0.0,0.0,30.0,16.0,0.0
2022-11-01,IL,safe_places,35,2,0,0,3,0.75,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,38.0,0.0,0.0
2022-12-01,IL,safe_places,35,2,0,0,4,0.6666666666666666,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,49.0,0.0,24.0
2023-01-01,IL,safe_places,35,2,0,0,3,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,13.0
2023-02-01,IL,safe_places,38,2,0,0,3,0.5357142857142857,0.0,0.0,0.0,0.0,14.0,13.0,0.0,0.0,21.0,0.0,11.0
2023-03-01,IL,safe_places,38,2,0,0,2,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,24.0,0.0,13.0
2023-04-01,IL,safe_places,31,2,0,0,4,0.5555555555555556,0.2222222222222222,0.0,0.0,0.0,14.0,0.0,0.0,0.0,68.0,11.0,0.0
2023-05-01,IL,safe_places,32,2,0,0,3,0.6428571428571428,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,45.0,0.0,0.0
