date,ISO,topic,search_count
2023-03-04,Kassala,safe_places,0.0
2023-03-05,Kassala,safe_places,0.0
2023-03-06,Kassala,safe_places,0.0
2023-03-07,Kassala,safe_places,0.0
2023-03-08,Kassala,safe_places,0.0
2023-03-09,Kassala,safe_places,0.0
2023-03-10,Kassala,safe_places,0.0
2023-03-11,Kassala,safe_places,0.0
2023-03-12,Kassala,safe_places,0.0
2023-03-13,Kassala,safe_places,0.0
2023-03-14,Kassala,safe_places,0.0
2023-03-15,Kassala,safe_places,0.0
2023-03-16,Kassala,safe_places,0.0
2023-03-17,Kassala,safe_places,0.0
2023-03-18,Kassala,safe_places,0.0
2023-03-19,Kassala,safe_places,0.0
2023-03-20,Kassala,safe_places,0.0
2023-03-21,Kassala,safe_places,0.0
2023-03-22,Kassala,safe_places,0.0
2023-03-23,Kassala,safe_places,0.0
2023-03-24,Kassala,safe_places,0.0
2023-03-25,Kassala,safe_places,0.0
2023-03-26,Kassala,safe_places,0.0
2023-03-27,Kassala,safe_places,0.0
2023-03-28,Kassala,safe_places,0.0
2023-03-29,Kassala,safe_places,0.0
2023-03-30,Kassala,safe_places,0.0
2023-03-31,Kassala,safe_places,0.0
2023-04-01,Kassala,safe_places,0.0
2023-04-02,Kassala,safe_places,0.0
2023-04-03,Kassala,safe_places,0.0
2023-04-04,Kassala,safe_places,0.0
2023-04-05,Kassala,safe_places,0.0
2023-04-06,Kassala,safe_places,0.0
2023-04-07,Kassala,safe_places,0.0
2023-04-08,Kassala,safe_places,6.428571428571429
2023-04-09,Kassala,safe_places,0.0
2023-04-10,Kassala,safe_places,0.0
2023-04-11,Kassala,safe_places,0.0
2023-04-12,Kassala,safe_places,0.0
2023-04-13,Kassala,safe_places,0.0
2023-04-14,Kassala,safe_places,0.0
2023-04-15,Kassala,safe_places,0.0
2023-04-16,Kassala,safe_places,0.0
2023-04-17,Kassala,safe_places,0.0
2023-04-18,Kassala,safe_places,0.0
2023-04-19,Kassala,safe_places,0.0
2023-04-20,Kassala,safe_places,0.0
2023-04-21,Kassala,safe_places,0.0
2023-04-22,Kassala,safe_places,0.0
2023-04-23,Kassala,safe_places,0.0
2023-04-24,Kassala,safe_places,0.0
2023-04-25,Kassala,safe_places,0.0
2023-04-26,Kassala,safe_places,0.0
2023-04-27,Kassala,safe_places,0.0
2023-04-28,Kassala,safe_places,0.0
2023-04-29,Kassala,safe_places,0.0
2023-04-30,Kassala,safe_places,7.142857142857143
2023-05-01,Kassala,safe_places,0.0
2023-05-02,Kassala,safe_places,0.0
2023-05-03,Kassala,safe_places,0.0
2023-05-04,Kassala,safe_places,0.0
2023-05-05,Kassala,safe_places,0.0
2023-05-06,Kassala,safe_places,0.0
2023-05-07,Kassala,safe_places,0.0
2023-05-08,Kassala,safe_places,0.0
2023-05-09,Kassala,safe_places,0.0
2023-05-10,Kassala,safe_places,0.0
2023-05-11,Kassala,safe_places,0.0
2023-05-12,Kassala,safe_places,0.0
2023-05-13,Kassala,safe_places,0.0
2023-05-14,Kassala,safe_places,0.0
2023-05-15,Kassala,safe_places,0.0
2023-05-16,Kassala,safe_places,0.0
2023-05-17,Kassala,safe_places,0.0
2023-05-18,Kassala,safe_places,0.0
2023-05-19,Kassala,safe_places,0.0
2023-05-20,Kassala,safe_places,0.0
2023-05-21,Kassala,safe_places,0.0
2023-05-22,Kassala,safe_places,0.0
2023-05-23,Kassala,safe_places,0.0
2023-05-24,Kassala,safe_places,0.0
2023-05-25,Kassala,safe_places,0.0
2023-05-26,Kassala,safe_places,0.0
2023-05-27,Kassala,safe_places,0.0
2023-05-28,Kassala,safe_places,0.0
2023-05-29,Kassala,safe_places,0.0
2023-05-30,Kassala,safe_places,0.0
2023-05-31,Kassala,safe_places,0.0
2023-06-01,Kassala,safe_places,0.0
2023-06-02,Kassala,safe_places,0.0
2023-06-03,Kassala,safe_places,0.0
2023-06-04,Kassala,safe_places,0.0
2023-06-05,Kassala,safe_places,0.0
2023-06-06,Kassala,safe_places,0.0
2023-06-07,Kassala,safe_places,0.0
2023-06-08,Kassala,safe_places,0.0
2023-06-09,Kassala,safe_places,0.0
2023-06-10,Kassala,safe_places,0.0
2023-06-11,Kassala,safe_places,0.0
2023-06-12,Kassala,safe_places,0.0
2023-06-13,Kassala,safe_places,0.0
2023-06-14,Kassala,safe_places,0.0
2023-06-15,Kassala,safe_places,0.0
2023-06-16,Kassala,safe_places,0.0
2023-06-17,Kassala,safe_places,2.2142857142857144
2023-06-18,Kassala,safe_places,0.0
2023-06-19,Kassala,safe_places,0.0
2023-06-20,Kassala,safe_places,0.0
2023-06-21,Kassala,safe_places,0.0
2023-06-22,Kassala,safe_places,0.0
2023-06-23,Kassala,safe_places,0.0
2023-06-24,Kassala,safe_places,0.0
2023-06-25,Kassala,safe_places,0.0
2023-06-26,Kassala,safe_places,0.0
2023-06-27,Kassala,safe_places,0.0
2023-06-28,Kassala,safe_places,0.0
2023-06-29,Kassala,safe_places,0.0
2023-06-30,Kassala,safe_places,0.0
2023-07-01,Kassala,safe_places,0.0
2023-07-02,Kassala,safe_places,0.0
2023-07-03,Kassala,safe_places,0.0
2023-07-04,Kassala,safe_places,0.0
2023-07-05,Kassala,safe_places,0.0
2023-07-06,Kassala,safe_places,0.0
2023-07-07,Kassala,safe_places,0.0
2023-07-08,Kassala,safe_places,0.0
2023-07-09,Kassala,safe_places,0.0
2023-07-10,Kassala,safe_places,0.0
2023-07-11,Kassala,safe_places,0.0
2023-07-12,Kassala,safe_places,0.0
2023-07-13,Kassala,safe_places,0.0
2023-07-14,Kassala,safe_places,0.0
2023-07-15,Kassala,safe_places,0.0
2023-07-16,Kassala,safe_places,0.0
2023-07-17,Kassala,safe_places,0.0
2023-07-18,Kassala,safe_places,0.0
2023-07-19,Kassala,safe_places,0.0
2023-07-20,Kassala,safe_places,0.0
2023-07-21,Kassala,safe_places,7.142857142857143
2023-07-22,Kassala,safe_places,0.0
2023-07-23,Kassala,safe_places,0.0
2023-01-01,Khartoum,safe_places,4.071428571428571
2023-01-02,Khartoum,safe_places,4.285714285714286
2023-01-03,Khartoum,safe_places,3.5714285714285716
2023-01-04,Khartoum,safe_places,4.857142857142857
2023-01-05,Khartoum,safe_places,3.5
2023-01-06,Khartoum,safe_places,2.642857142857143
2023-01-07,Khartoum,safe_places,4.071428571428571
2023-01-08,Khartoum,safe_places,3.857142857142857
2023-01-09,Khartoum,safe_places,4.642857142857143
2023-01-10,Khartoum,safe_places,3.0
2023-01-11,Khartoum,safe_places,5.214285714285714
2023-01-12,Khartoum,safe_places,3.5
2023-01-13,Khartoum,safe_places,3.357142857142857
2023-01-14,Khartoum,safe_places,6.714285714285714
2023-01-15,Khartoum,safe_places,4.428571428571429
2023-01-16,Khartoum,safe_places,3.357142857142857
2023-01-17,Khartoum,safe_places,2.642857142857143
2023-01-18,Khartoum,safe_places,4.071428571428571
2023-01-19,Khartoum,safe_places,5.428571428571429
2023-01-20,Khartoum,safe_places,4.357142857142857
2023-01-21,Khartoum,safe_places,4.357142857142857
2023-01-22,Khartoum,safe_places,3.2142857142857144
2023-01-23,Khartoum,safe_places,3.7857142857142856
2023-01-24,Khartoum,safe_places,3.357142857142857
2023-01-25,Khartoum,safe_places,2.2857142857142856
2023-01-26,Khartoum,safe_places,2.357142857142857
2023-01-27,Khartoum,safe_places,2.5714285714285716
2023-01-28,Khartoum,safe_places,3.7857142857142856
2023-01-29,Khartoum,safe_places,1.7857142857142858
2023-01-30,Khartoum,safe_places,3.642857142857143
2023-01-31,Khartoum,safe_places,4.642857142857143
2023-02-01,Khartoum,safe_places,4.714285714285714
2023-02-02,Khartoum,safe_places,4.571428571428571
2023-02-03,Khartoum,safe_places,3.642857142857143
2023-02-04,Khartoum,safe_places,4.071428571428571
2023-02-05,Khartoum,safe_places,3.380952380952381
2023-02-06,Khartoum,safe_places,4.404761904761905
2023-02-07,Khartoum,safe_places,4.071428571428571
2023-02-08,Khartoum,safe_places,3.7142857142857144
2023-02-09,Khartoum,safe_places,3.642857142857143
2023-02-10,Khartoum,safe_places,2.5714285714285716
2023-02-11,Khartoum,safe_places,4.571428571428571
2023-02-12,Khartoum,safe_places,2.6785714285714284
2023-02-13,Khartoum,safe_places,2.642857142857143
2023-02-14,Khartoum,safe_places,3.5714285714285716
2023-02-15,Khartoum,safe_places,1.9285714285714286
2023-02-16,Khartoum,safe_places,4.857142857142857
2023-02-17,Khartoum,safe_places,4.142857142857143
2023-02-18,Khartoum,safe_places,2.357142857142857
2023-02-19,Khartoum,safe_places,3.261904761904762
2023-02-20,Khartoum,safe_places,3.0
2023-02-21,Khartoum,safe_places,6.571428571428571
2023-02-22,Khartoum,safe_places,2.857142857142857
2023-02-23,Khartoum,safe_places,4.428571428571429
2023-02-24,Khartoum,safe_places,2.857142857142857
2023-02-25,Khartoum,safe_places,2.642857142857143
2023-02-26,Khartoum,safe_places,2.7142857142857144
2023-02-27,Khartoum,safe_places,4.714285714285714
2023-02-28,Khartoum,safe_places,3.0714285714285716
2023-03-01,Khartoum,safe_places,3.2142857142857144
2023-03-02,Khartoum,safe_places,3.4285714285714284
2023-03-03,Khartoum,safe_places,3.857142857142857
2023-03-04,Khartoum,safe_places,2.0
2023-03-05,Khartoum,safe_places,2.7857142857142856
2023-03-06,Khartoum,safe_places,4.285714285714286
2023-03-07,Khartoum,safe_places,3.0
2023-03-08,Khartoum,safe_places,2.142857142857143
2023-03-09,Khartoum,safe_places,3.7857142857142856
2023-03-10,Khartoum,safe_places,2.4285714285714284
2023-03-11,Khartoum,safe_places,5.142857142857143
2023-03-12,Khartoum,safe_places,2.857142857142857
2023-03-13,Khartoum,safe_places,3.2142857142857144
2023-03-14,Khartoum,safe_places,3.2857142857142856
2023-03-15,Khartoum,safe_places,2.4285714285714284
2023-03-16,Khartoum,safe_places,2.7142857142857144
2023-03-17,Khartoum,safe_places,2.4285714285714284
2023-03-18,Khartoum,safe_places,2.5357142857142856
2023-03-19,Khartoum,safe_places,2.9285714285714284
2023-03-20,Khartoum,safe_places,4.285714285714286
2023-03-21,Khartoum,safe_places,4.5
2023-03-22,Khartoum,safe_places,6.428571428571429
2023-03-23,Khartoum,safe_places,5.285714285714286
2023-03-24,Khartoum,safe_places,5.571428571428571
2023-03-25,Khartoum,safe_places,4.857142857142857
2023-03-26,Khartoum,safe_places,6.071428571428571
2023-03-27,Khartoum,safe_places,5.285714285714286
2023-03-28,Khartoum,safe_places,4.857142857142857
2023-03-29,Khartoum,safe_places,5.928571428571429
2023-03-30,Khartoum,safe_places,5.357142857142857
2023-03-31,Khartoum,safe_places,6.0
2023-04-01,Khartoum,safe_places,5.214285714285714
2023-04-02,Khartoum,safe_places,4.357142857142857
2023-04-03,Khartoum,safe_places,5.214285714285714
2023-04-04,Khartoum,safe_places,6.547619047619047
2023-04-05,Khartoum,safe_places,4.5
2023-04-06,Khartoum,safe_places,5.428571428571429
2023-04-07,Khartoum,safe_places,5.428571428571429
2023-04-08,Khartoum,safe_places,4.357142857142857
2023-04-09,Khartoum,safe_places,4.142857142857143
2023-04-10,Khartoum,safe_places,3.7857142857142856
2023-04-11,Khartoum,safe_places,5.928571428571429
2023-04-12,Khartoum,safe_places,4.285714285714286
2023-04-13,Khartoum,safe_places,4.357142857142857
2023-04-14,Khartoum,safe_places,5.714285714285714
2023-04-15,Khartoum,safe_places,2.4285714285714284
2023-04-16,Khartoum,safe_places,3.0
2023-04-17,Khartoum,safe_places,5.0
2023-04-18,Khartoum,safe_places,4.428571428571429
2023-04-19,Khartoum,safe_places,3.9285714285714284
2023-04-20,Khartoum,safe_places,3.6999999999999997
2023-04-21,Khartoum,safe_places,2.0714285714285716
2023-04-22,Khartoum,safe_places,5.142857142857143
2023-04-23,Khartoum,safe_places,7.285714285714286
2023-04-24,Khartoum,safe_places,3.4285714285714284
2023-04-25,Khartoum,safe_places,6.642857142857143
2023-04-26,Khartoum,safe_places,3.4285714285714284
2023-04-27,Khartoum,safe_places,4.5
2023-04-28,Khartoum,safe_places,4.0
2023-04-29,Khartoum,safe_places,3.857142857142857
2023-04-30,Khartoum,safe_places,9.857142857142858
2023-05-01,Khartoum,safe_places,4.571428571428571
2023-05-02,Khartoum,safe_places,7.214285714285714
2023-05-03,Khartoum,safe_places,5.357142857142857
2023-05-04,Khartoum,safe_places,5.142857142857143
2023-05-05,Khartoum,safe_places,15.142857142857142
2023-05-06,Khartoum,safe_places,2.357142857142857
2023-05-07,Khartoum,safe_places,4.285714285714286
2023-05-08,Khartoum,safe_places,3.0714285714285716
2023-05-09,Khartoum,safe_places,20.428571428571427
2023-05-10,Khartoum,safe_places,4.339285714285714
2023-05-11,Khartoum,safe_places,3.7142857142857144
2023-05-12,Khartoum,safe_places,8.571428571428571
2023-05-13,Khartoum,safe_places,8.214285714285714
2023-05-14,Khartoum,safe_places,2.5714285714285716
2023-05-15,Khartoum,safe_places,3.857142857142857
2023-05-16,Khartoum,safe_places,2.7857142857142856
2023-05-17,Khartoum,safe_places,2.857142857142857
2023-05-18,Khartoum,safe_places,3.0
2023-05-19,Khartoum,safe_places,4.571428571428571
2023-05-20,Khartoum,safe_places,2.2857142857142856
2023-05-21,Khartoum,safe_places,2.2857142857142856
2023-05-22,Khartoum,safe_places,3.0714285714285716
2023-05-23,Khartoum,safe_places,2.2857142857142856
2023-05-24,Khartoum,safe_places,3.9285714285714284
2023-05-25,Khartoum,safe_places,3.642857142857143
2023-05-26,Khartoum,safe_places,3.316326530612245
2023-05-27,Khartoum,safe_places,2.8095238095238093
2023-05-28,Khartoum,safe_places,2.9642857142857144
2023-05-29,Khartoum,safe_places,3.8367346938775513
2023-05-30,Khartoum,safe_places,4.571428571428571
2023-05-31,Khartoum,safe_places,2.5714285714285716
