date,location,search_count
2023-06-23,Blue Nile,0.0
2023-06-24,Blue Nile,0.0
2023-06-25,Blue Nile,0.0
2023-06-26,Blue Nile,0.0
2023-06-27,Blue Nile,0.0
2023-06-28,Blue Nile,0.0
2023-06-29,Blue Nile,0.0
2023-06-30,Blue Nile,0.0
2023-07-01,Blue Nile,0.0
2023-07-02,Blue Nile,0.0
2023-07-03,Blue Nile,0.0
2023-07-04,Blue Nile,0.0
2023-07-05,Blue Nile,0.0
2023-07-06,Blue Nile,0.0
2023-07-07,Blue Nile,0.0
2023-07-08,Blue Nile,0.0
2023-07-09,Blue Nile,0.0
2023-07-10,Blue Nile,0.0
2023-07-11,Blue Nile,0.0
2023-07-12,Blue Nile,0.0
2023-07-13,Blue Nile,0.0
2023-07-14,Blue Nile,0.0
2023-07-15,Blue Nile,0.0
2023-07-16,Blue Nile,0.0
2023-07-17,Blue Nile,0.0
2023-07-18,Blue Nile,0.0
2023-07-19,Blue Nile,0.0
2023-07-20,Blue Nile,0.0
2023-07-21,Blue Nile,0.0
2023-07-22,Blue Nile,17.0
2023-07-23,Blue Nile,0.0
2023-01-01,Central Darfur,0.0
2023-01-02,Central Darfur,0.0
2023-01-03,Central Darfur,0.0
2023-01-04,Central Darfur,0.0
2023-01-05,Central Darfur,0.0
2023-01-06,Central Darfur,0.0
2023-01-07,Central Darfur,0.0
2023-01-08,Central Darfur,0.0
2023-01-09,Central Darfur,0.0
2023-01-10,Central Darfur,0.0
2023-01-11,Central Darfur,0.0
2023-01-12,Central Darfur,0.0
2023-01-13,Central Darfur,0.0
2023-01-14,Central Darfur,0.0
2023-01-15,Central Darfur,0.0
2023-01-16,Central Darfur,0.0
2023-01-17,Central Darfur,0.0
2023-01-18,Central Darfur,0.0
2023-01-19,Central Darfur,0.0
2023-01-20,Central Darfur,0.0
2023-01-21,Central Darfur,0.0
2023-01-22,Central Darfur,0.0
2023-01-23,Central Darfur,0.0
2023-01-24,Central Darfur,0.0
2023-01-25,Central Darfur,0.0
2023-01-26,Central Darfur,0.0
2023-01-27,Central Darfur,0.0
2023-01-28,Central Darfur,0.0
2023-01-29,Central Darfur,0.0
2023-01-30,Central Darfur,0.0
2023-01-31,Central Darfur,0.0
2023-02-01,Central Darfur,0.0
2023-02-02,Central Darfur,0.0
2023-02-03,Central Darfur,0.0
2023-02-04,Central Darfur,0.0
2023-02-05,Central Darfur,0.0
2023-02-06,Central Darfur,0.0
2023-02-07,Central Darfur,0.0
2023-02-08,Central Darfur,0.0
2023-02-09,Central Darfur,0.0
2023-02-10,Central Darfur,0.0
2023-02-11,Central Darfur,0.0
2023-02-12,Central Darfur,0.0
2023-02-13,Central Darfur,0.0
2023-02-14,Central Darfur,0.0
2023-02-15,Central Darfur,0.0
2023-02-16,Central Darfur,0.0
2023-02-17,Central Darfur,0.0
2023-02-18,Central Darfur,0.0
2023-02-19,Central Darfur,0.0
2023-02-20,Central Darfur,0.0
2023-02-21,Central Darfur,0.0
2023-02-22,Central Darfur,0.0
2023-02-23,Central Darfur,0.0
2023-02-24,Central Darfur,0.0
2023-02-25,Central Darfur,0.0
2023-02-26,Central Darfur,0.0
2023-02-27,Central Darfur,0.0
2023-02-28,Central Darfur,0.0
2023-03-01,Central Darfur,0.0
2023-03-02,Central Darfur,0.0
2023-03-03,Central Darfur,0.0
2023-03-04,Central Darfur,0.0
2023-03-05,Central Darfur,0.0
2023-03-06,Central Darfur,0.0
2023-03-07,Central Darfur,0.0
2023-03-08,Central Darfur,0.0
2023-03-09,Central Darfur,0.0
2023-03-10,Central Darfur,0.0
2023-03-11,Central Darfur,0.0
2023-03-12,Central Darfur,0.0
2023-03-13,Central Darfur,0.0
2023-03-14,Central Darfur,0.0
2023-03-15,Central Darfur,0.0
2023-03-16,Central Darfur,0.0
2023-03-17,Central Darfur,0.0
2023-03-18,Central Darfur,0.0
2023-03-19,Central Darfur,0.0
2023-03-20,Central Darfur,0.0
2023-03-21,Central Darfur,0.0
2023-03-22,Central Darfur,0.0
2023-03-23,Central Darfur,0.0
2023-03-24,Central Darfur,0.0
2023-03-25,Central Darfur,0.0
2023-03-26,Central Darfur,0.0
2023-03-27,Central Darfur,0.0
2023-03-28,Central Darfur,0.0
2023-03-29,Central Darfur,0.0
2023-03-30,Central Darfur,0.0
2023-03-31,Central Darfur,0.0
2023-04-01,Central Darfur,0.0
2023-04-02,Central Darfur,0.0
2023-04-03,Central Darfur,0.0
2023-04-04,Central Darfur,0.0
2023-04-05,Central Darfur,0.0
2023-04-06,Central Darfur,0.0
2023-04-07,Central Darfur,0.0
2023-04-08,Central Darfur,0.0
2023-04-09,Central Darfur,0.0
2023-04-10,Central Darfur,0.0
2023-04-11,Central Darfur,0.0
2023-04-12,Central Darfur,0.0
2023-04-13,Central Darfur,0.0
2023-04-14,Central Darfur,0.0
2023-04-15,Central Darfur,0.0
2023-04-16,Central Darfur,0.0
2023-04-17,Central Darfur,0.0
2023-04-18,Central Darfur,0.0
2023-04-19,Central Darfur,0.0
2023-04-20,Central Darfur,0.0
2023-04-21,Central Darfur,0.0
2023-04-22,Central Darfur,0.0
2023-04-23,Central Darfur,0.0
2023-04-24,Central Darfur,0.0
2023-04-25,Central Darfur,0.0
2023-04-26,Central Darfur,0.0
2023-04-27,Central Darfur,0.0
2023-04-28,Central Darfur,0.0
2023-04-29,Central Darfur,0.0
2023-04-30,Central Darfur,0.0
2023-05-01,Central Darfur,0.0
2023-05-02,Central Darfur,0.0
2023-05-03,Central Darfur,0.0
2023-05-04,Central Darfur,0.0
2023-05-05,Central Darfur,0.0
2023-05-06,Central Darfur,0.0
2023-05-07,Central Darfur,0.0
2023-05-08,Central Darfur,0.0
2023-05-09,Central Darfur,0.0
2023-05-10,Central Darfur,0.0
2023-05-11,Central Darfur,0.0
2023-05-12,Central Darfur,0.0
2023-05-13,Central Darfur,0.0
2023-05-14,Central Darfur,0.0
2023-05-15,Central Darfur,0.0
2023-05-16,Central Darfur,0.0
2023-05-17,Central Darfur,0.0
2023-05-18,Central Darfur,0.0
2023-05-19,Central Darfur,0.0
2023-05-20,Central Darfur,0.0
2023-05-21,Central Darfur,0.0
2023-05-22,Central Darfur,0.0
2023-05-23,Central Darfur,0.0
2023-05-24,Central Darfur,0.0
2023-05-25,Central Darfur,0.0
2023-05-26,Central Darfur,0.0
2023-05-27,Central Darfur,0.0
2023-05-28,Central Darfur,0.0
2023-05-29,Central Darfur,0.0
2023-05-30,Central Darfur,0.0
2023-05-31,Central Darfur,0.0
2023-06-01,Central Darfur,0.0
2023-06-02,Central Darfur,0.0
2023-06-03,Central Darfur,0.0
2023-06-04,Central Darfur,0.0
2023-06-05,Central Darfur,0.0
2023-06-06,Central Darfur,0.0
2023-06-07,Central Darfur,0.0
2023-06-08,Central Darfur,0.0
2023-06-09,Central Darfur,0.0
2023-06-10,Central Darfur,0.0
2023-06-11,Central Darfur,0.0
2023-06-12,Central Darfur,0.0
2023-06-13,Central Darfur,0.0
2023-06-14,Central Darfur,0.0
2023-06-15,Central Darfur,0.0
2023-06-16,Central Darfur,0.0
2023-06-17,Central Darfur,0.0
2023-06-18,Central Darfur,0.0
2023-06-19,Central Darfur,0.0
2023-06-20,Central Darfur,0.0
2023-06-21,Central Darfur,0.0
2023-06-22,Central Darfur,0.0
2023-06-23,Central Darfur,0.0
2023-06-24,Central Darfur,0.0
2023-06-25,Central Darfur,0.0
2023-06-26,Central Darfur,0.0
2023-06-27,Central Darfur,0.0
2023-06-28,Central Darfur,0.0
2023-06-29,Central Darfur,0.0
2023-06-30,Central Darfur,0.0
2023-07-01,Central Darfur,0.0
2023-07-02,Central Darfur,0.0
2023-07-03,Central Darfur,0.0
2023-07-04,Central Darfur,0.0
2023-07-05,Central Darfur,0.0
2023-07-06,Central Darfur,0.0
2023-07-07,Central Darfur,0.0
2023-07-08,Central Darfur,0.0
2023-07-09,Central Darfur,0.0
2023-07-10,Central Darfur,0.0
2023-07-11,Central Darfur,0.0
2023-07-12,Central Darfur,0.0
2023-07-13,Central Darfur,0.0
2023-07-14,Central Darfur,0.0
2023-07-15,Central Darfur,0.0
2023-07-16,Central Darfur,0.0
2023-07-17,Central Darfur,0.0
2023-07-18,Central Darfur,0.0
2023-07-19,Central Darfur,0.0
2023-07-20,Central Darfur,40.0
2023-07-21,Central Darfur,0.0
2023-07-22,Central Darfur,100.0
2023-07-23,Central Darfur,29.0
2023-01-01,East Darfur,0.0
2023-01-02,East Darfur,0.0
2023-01-03,East Darfur,0.0
2023-01-04,East Darfur,0.0
2023-01-05,East Darfur,0.0
2023-01-06,East Darfur,0.0
2023-01-07,East Darfur,0.0
2023-01-08,East Darfur,0.0
2023-01-09,East Darfur,0.0
2023-01-10,East Darfur,0.0
2023-01-11,East Darfur,0.0
2023-01-12,East Darfur,0.0
2023-01-13,East Darfur,0.0
2023-01-14,East Darfur,0.0
2023-01-15,East Darfur,0.0
2023-01-16,East Darfur,0.0
2023-01-17,East Darfur,0.0
2023-01-18,East Darfur,0.0
2023-01-19,East Darfur,0.0
2023-01-20,East Darfur,0.0
2023-01-21,East Darfur,0.0
2023-01-22,East Darfur,0.0
2023-01-23,East Darfur,0.0
2023-01-24,East Darfur,0.0
2023-01-25,East Darfur,0.0
2023-01-26,East Darfur,0.0
2023-01-27,East Darfur,0.0
2023-01-28,East Darfur,0.0
2023-01-29,East Darfur,0.0
2023-01-30,East Darfur,0.0
2023-01-31,East Darfur,0.0
2023-02-01,East Darfur,0.0
2023-02-02,East Darfur,0.0
2023-02-03,East Darfur,0.0
2023-02-04,East Darfur,0.0
2023-02-05,East Darfur,0.0
2023-02-06,East Darfur,0.0
2023-02-07,East Darfur,0.0
2023-02-08,East Darfur,0.0
2023-02-09,East Darfur,0.0
2023-02-10,East Darfur,0.0
2023-02-11,East Darfur,0.0
2023-02-12,East Darfur,0.0
2023-02-13,East Darfur,0.0
2023-02-14,East Darfur,0.0
2023-02-15,East Darfur,0.0
2023-02-16,East Darfur,0.0
2023-02-17,East Darfur,0.0
2023-02-18,East Darfur,0.0
2023-02-19,East Darfur,0.0
2023-02-20,East Darfur,0.0
2023-02-21,East Darfur,0.0
2023-02-22,East Darfur,0.0
2023-02-23,East Darfur,0.0
2023-02-24,East Darfur,0.0
2023-02-25,East Darfur,0.0
2023-02-26,East Darfur,0.0
2023-02-27,East Darfur,0.0
2023-02-28,East Darfur,0.0
2023-03-01,East Darfur,0.0
2023-03-02,East Darfur,0.0
2023-03-03,East Darfur,0.0
2023-03-04,East Darfur,0.0
2023-03-05,East Darfur,0.0
2023-03-06,East Darfur,0.0
2023-03-07,East Darfur,0.0
2023-03-08,East Darfur,0.0
2023-03-09,East Darfur,0.0
2023-03-10,East Darfur,0.0
2023-03-11,East Darfur,0.0
2023-03-12,East Darfur,0.0
2023-03-13,East Darfur,0.0
2023-03-14,East Darfur,0.0
2023-03-15,East Darfur,0.0
2023-03-16,East Darfur,0.0
2023-03-17,East Darfur,0.0
2023-03-18,East Darfur,0.0
2023-03-19,East Darfur,0.0
2023-03-20,East Darfur,0.0
2023-03-21,East Darfur,0.0
2023-03-22,East Darfur,0.0
2023-03-23,East Darfur,0.0
2023-03-24,East Darfur,0.0
2023-03-25,East Darfur,0.0
2023-03-26,East Darfur,0.0
2023-03-27,East Darfur,0.0
2023-03-28,East Darfur,0.0
2023-03-29,East Darfur,0.0
2023-03-30,East Darfur,0.0
2023-03-31,East Darfur,0.0
2023-04-01,East Darfur,0.0
2023-04-02,East Darfur,0.0
2023-04-03,East Darfur,0.0
2023-04-04,East Darfur,0.0
2023-04-05,East Darfur,0.0
2023-04-06,East Darfur,0.0
2023-04-07,East Darfur,0.0
2023-04-08,East Darfur,0.0
2023-04-09,East Darfur,0.0
2023-04-10,East Darfur,0.0
2023-04-11,East Darfur,0.0
2023-04-12,East Darfur,0.0
2023-04-13,East Darfur,0.0
2023-04-14,East Darfur,0.0
2023-04-15,East Darfur,0.0
2023-04-16,East Darfur,0.0
2023-04-17,East Darfur,0.0
2023-04-18,East Darfur,0.0
2023-04-19,East Darfur,0.0
2023-04-20,East Darfur,0.0
2023-04-21,East Darfur,0.0
2023-04-22,East Darfur,0.0
2023-04-23,East Darfur,0.0
2023-04-24,East Darfur,0.0
2023-04-25,East Darfur,0.0
2023-04-26,East Darfur,0.0
2023-04-27,East Darfur,0.0
2023-04-28,East Darfur,0.0
2023-04-29,East Darfur,0.0
2023-04-30,East Darfur,0.0
2023-05-01,East Darfur,0.0
2023-05-02,East Darfur,0.0
2023-05-03,East Darfur,0.0
2023-05-04,East Darfur,0.0
2023-05-05,East Darfur,0.0
2023-05-06,East Darfur,0.0
2023-05-07,East Darfur,0.0
2023-05-08,East Darfur,0.0
2023-05-09,East Darfur,0.0
2023-05-10,East Darfur,0.0
2023-05-11,East Darfur,0.0
2023-05-12,East Darfur,0.0
2023-05-13,East Darfur,0.0
2023-05-14,East Darfur,0.0
2023-05-15,East Darfur,0.0
2023-05-16,East Darfur,0.0
2023-05-17,East Darfur,0.0
2023-05-18,East Darfur,0.0
2023-05-19,East Darfur,0.0
2023-05-20,East Darfur,0.0
2023-05-21,East Darfur,0.0
2023-05-22,East Darfur,0.0
2023-05-23,East Darfur,0.0
2023-05-24,East Darfur,0.0
2023-05-25,East Darfur,0.0
2023-05-26,East Darfur,0.0
2023-05-27,East Darfur,0.0
2023-05-28,East Darfur,0.0
2023-05-29,East Darfur,0.0
2023-05-30,East Darfur,0.0
2023-05-31,East Darfur,0.0
2023-06-01,East Darfur,0.0
2023-06-02,East Darfur,0.0
2023-06-03,East Darfur,0.0
2023-06-04,East Darfur,0.0
2023-06-05,East Darfur,0.0
2023-06-06,East Darfur,0.0
2023-06-07,East Darfur,0.0
2023-06-08,East Darfur,0.0
2023-06-09,East Darfur,0.0
2023-06-10,East Darfur,0.0
2023-06-11,East Darfur,0.0
