event_date,admin1,year,time_precision,inter1,inter2,interaction,iso,latitude,longitude,geo_precision,fatalities,timestamp
03 April 2023,Donetsk,99127,49,350,101,2422,39396,2367.0869,1848.2998,90,115,82389684924
03 April 2023,Kharkiv,28322,14,112,1,1058,11256,700.3968,525.0354,28,8,23538367439
03 April 2023,Kherson,16184,8,64,14,636,6432,373.8368,262.8682,11,2,13451035568
03 April 2023,Kyiv City,2023,1,1,8,18,804,50.4496,30.5224,3,0,1681311960
03 April 2023,Luhansk,18207,9,65,15,224,7236,441.6107,343.498,18,75,15133967192
03 April 2023,Sumy,10115,5,33,8,338,4020,255.36579999999998,174.0321,11,0,8406559802
03 April 2023,Zaporizhia,22253,11,70,24,661,8844,522.6691,395.6121,20,19,18502036689
03 February 2023,Chernihiv,8092,4,32,0,320,3216,209.0127,130.05700000000002,8,0,6703193856
03 February 2023,Donetsk,84966,42,252,114,1932,33768,2029.549,1583.9219,72,1,70392556646
03 February 2023,Kharkiv,32368,16,128,15,1214,12864,798.5811,594.6119,29,2,26832138649
03 February 2023,Kherson,14161,7,42,23,434,5628,327.7268,232.5083,13,1,11735395916
03 February 2023,Luhansk,20230,10,73,14,366,8040,492.1471,381.4458,18,0,16761593860
03 February 2023,Mykolaiv,4046,2,2,16,36,1608,93.1505,63.1772,4,0,3352202194
03 February 2023,Sumy,14161,7,56,0,560,5628,361.2617,239.6656,14,0,11730589248
03 February 2023,Zaporizhia,14161,7,45,16,403,5628,333.1858,251.8503,12,1,11744429889
03 January 2023,Chernihiv,6069,3,24,0,240,2412,156.81040000000002,98.5133,6,0,5020129230
03 January 2023,Crimea,4046,2,16,2,36,1608,90.32159999999999,67.9135,2,0,3347972644
03 January 2023,Dnipropetrovsk,4046,2,16,0,160,1608,95.5497,70.622,4,0,3346752818
03 January 2023,Donetsk,60690,30,198,78,1464,24120,1446.974,1128.2994,49,4,50210952988
03 January 2023,Kharkiv,36414,18,144,8,1376,14472,900.3118,670.8401,35,10,30126824890
03 January 2023,Kherson,16184,10,57,29,572,6432,373.93420000000003,263.7076,13,5,13388231106
03 January 2023,Luhansk,12138,6,41,13,108,4824,294.88009999999997,228.5523,11,1,10041478284
03 January 2023,Sumy,6069,3,24,0,240,2412,156.4446,102.0738,6,0,5020129230
03 January 2023,Zaporizhia,6069,3,10,23,114,2412,142.6917,107.1337,4,40,5020739142
03 June 2023,Chernihiv,4046,2,16,0,160,1608,104.6383,66.57230000000001,2,0,3373349714
03 June 2023,Dnipropetrovsk,2023,1,8,7,78,804,48.5688,35.1008,1,1,1686674857
03 June 2023,Donetsk,113288,56,350,147,3170,45024,2701.9846000000002,2107.5101,80,56,94463455706
03 June 2023,Kharkiv,54621,27,209,19,1848,21708,1352.4336,999.2196,32,17,45543860467
03 June 2023,Kherson,22253,11,84,7,847,8844,515.002,363.59340000000003,12,2,18553423427
03 June 2023,Luhansk,14161,7,49,14,126,5628,344.8269,266.264,14,26,11809146419
03 June 2023,Mykolaiv,2023,1,8,0,80,804,46.6128,31.5498,1,0,1686674857
03 June 2023,Sumy,16184,8,64,8,576,6432,407.7499,279.0929,9,0,13493398856
03 June 2023,Zaporizhia,34391,17,122,11,1042,13668,807.3096,612.3222,21,80,28675289388
03 March 2023,Chernihiv,2023,1,8,0,80,804,52.2937,32.4603,2,0,1678206755
03 March 2023,Donetsk,119357,59,374,137,2302,47436,2849.7328,2228.2058,105,1,99027564613
03 March 2023,Kharkiv,20230,10,66,16,676,8040,500.0528,373.8709,20,0,16784505888
03 March 2023,Kherson,16184,8,64,14,636,6432,373.9125,263.4526,16,3,13426252438
03 March 2023,Luhansk,14161,7,49,12,250,5628,343.9026,266.8414,14,0,11751104781
03 March 2023,Mykolaiv,2023,1,8,0,80,804,46.6128,31.5498,2,0,1678206755
03 March 2023,Sumy,22253,11,88,7,878,8844,566.397,378.0002,22,1,18460274303
03 March 2023,Zaporizhia,10115,5,40,0,400,4020,238.0423,179.8884,10,0,8391033775
03 May 2023,Chernihiv,4046,2,16,7,158,1608,104.4488,65.81110000000001,2,1,3369715962
03 May 2023,Crimea,2023,1,8,1,18,804,45.0347,35.3795,1,0,1684857982
03 May 2023,Dnipropetrovsk,6069,3,24,7,238,2412,143.5778,103.66460000000001,3,0,5057553270
03 May 2023,Donetsk,135541,68,375,235,3364,53868,3227.3396000000002,2519.8727,76,153,112885484865
03 May 2023,Kharkiv,48552,24,192,10,1732,19296,1199.3841,892.4316,29,8,40436591572
03 May 2023,Kherson,44506,22,169,36,1690,17688,1031.484,730.173,24,28,37066875601
03 May 2023,Kirovograd,2023,1,8,0,80,804,48.5153,32.2545,1,0,1684857984
03 May 2023,Kyiv,2023,2,1,8,18,804,50.5882,30.259,1,0,1684857986
03 May 2023,Kyiv City,2023,1,1,8,18,804,50.4496,30.5224,1,0,1684857985
03 May 2023,Luhansk,4046,2,16,1,98,1608,98.1524,76.233,3,0,3369715963
03 May 2023,Mykolaiv,2023,1,8,0,80,804,46.6304,31.7398,1,0,1684857984
03 May 2023,Sumy,24276,12,96,7,958,9648,619.5305,412.0082,14,0,20218295786
03 May 2023,Zaporizhia,42483,21,154,27,1306,16884,1000.5849000000001,753.9291000000001,29,11,35382017622
04 April 2023,Chernihiv,4046,2,16,1,98,1608,104.3118,65.8554,2,2,3362623920
04 April 2023,Dnipropetrovsk,2023,1,8,0,80,804,47.6354,34.6277,2,0,1681311960
04 April 2023,Donetsk,113288,56,371,123,2492,45024,2707.1958,2113.2139,105,28,94163187758
04 April 2023,Kharkiv,28322,14,105,10,934,11256,700.2234,522.0348,28,10,23538367440
04 April 2023,Kherson,22253,11,88,0,880,8844,514.6367,364.8961,19,0,18495511336
04 April 2023,Luhansk,16184,8,64,8,144,6432,393.4531,304.7093,16,36,13453735007
04 April 2023,Mykolaiv,2023,1,1,8,18,804,47.0715,32.798,3,0,1681311961
04 April 2023,Odesa,2023,1,8,0,80,804,46.4639,30.7386,3,0,1681311961
04 April 2023,Sumy,12138,6,48,7,478,4824,309.1,207.31220000000002,12,0,10087871759
04 April 2023,Ternopil,2023,1,6,0,60,804,49.5559,25.6056,1,0,1681311960
04 April 2023,Zaporizhia,22253,11,81,10,694,8844,522.7438,393.7323,20,0,18494971451
04 February 2023,Chernihiv,6069,3,24,0,240,2412,155.9418,95.9665,6,0,5029211189
04 February 2023,Dnipropetrovsk,4046,2,16,0,160,1608,95.2544,69.16460000000001,4,0,3352807460
04 February 2023,Donetsk,103173,51,331,108,2590,41004,2462.7239,1923.0093,77,160,85500177116
04 February 2023,Kharkiv,40460,20,160,3,1414,16080,999.7721,746.0563,38,12,33528672425
04 February 2023,Kherson,18207,9,58,16,596,7236,422.5829,300.5984,16,0,15088231388
04 February 2023,Kyiv City,2023,1,8,1,18,804,50.4496,30.5224,1,0,1676403729
04 February 2023,Luhansk,20230,10,68,21,386,8040,491.7145,381.3397,15,31,16765232919
04 February 2023,Mykolaiv,4046,2,16,0,160,1608,93.2656,63.1676,4,0,3352807460
04 February 2023,Sumy,12138,6,48,0,480,4824,307.0231,207.1273,12,0,10058422384
04 February 2023,Zaporizhia,30345,15,120,2,1076,12060,713.9098,539.5655,30,0,25146055963
04 January 2023,Chernihiv,10115,5,40,0,400,4020,261.3872,165.0131,8,0,8366882050
04 January 2023,Crimea,2023,1,1,8,18,804,44.6121,33.5244,2,0,1673376410
04 January 2023,Dnipropetrovsk,6069,3,24,7,238,2412,142.97629999999998,103.7552,4,1,5020129228
04 January 2023,Donetsk,105196,55,311,158,2170,41808,2514.3255,1966.9429,83,13,87022843320
04 January 2023,Kharkiv,40460,20,153,23,1472,16080,997.7025,747.9309000000001,39,1,33473577711
04 January 2023,Kherson,20230,10,80,14,796,8040,468.3347,330.8816,18,0,16733764098
04 January 2023,Luhansk,16184,8,57,11,392,6432,393.8529,304.7854,16,10,13388231105
04 January 2023,Mykolaiv,4046,2,16,0,160,1608,93.2656,63.1676,4,0,3346752818
04 January 2023,Sumy,14161,7,56,0,560,5628,362.4045,238.6674,14,0,11713634870
04 January 2023,Zaporizhia,52598,28,159,63,1644,20904,1234.8299,932.2022000000001,32,7,43510836230
