date,country,topic,caminar a Brasil,caminar a Perú,caminar a Panamá,caminar a Venezuela,caminar a Ecuador,billete de avión a Brasil,billete de avión a Perú,billete de avión a Panamá,billete de avión a Venezuela,billete de avión a Ecuador,aeropuerto cerca de mi,bote a Brasil,bote a Perú,bote a Panamá,bote a Venezuela,bote a Ecuador,tren a Brasil,tren a Perú,tren a Panamá,tren a Venezuela,tren a Ecuador,estación,aplicar,equipaje,hotel en Brasil,hotel en Perú,hotel en Panamá,hotel en Venezuela,hotel en Ecuador,albergue en Brasil,albergue en Perú,albergue en Panamá,albergue en Venezuela,albergue en Ecuador,tráfico,boleto a,motel en Brasil,motel en Perú,motel en Panamá,motel en Venezuela,motel en Ecuador,conduciendo,tarifa aérea,carreteras,camión,Airbnb,como caminar a,pasaje aérea,precio de billete de avión
2019-12-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,58.0,25.0,0.0,0.0,0.0,0.5494505494505495,0.5494505494505495,0.0,0.0,0.0,0.0,0.0,44.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,56.0,30.0,368.0,4.0,0.0,0.0
2020-01-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,60.0,26.0,0.0,0.0,0.2826086956521739,0.2826086956521739,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,46.0,15.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,48.0,27.0,400.0,4.0,0.0,0.0
2020-02-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,61.0,19.0,0.0,0.0,0.2753623188405797,0.2753623188405797,0.5507246376811594,0.0,0.0,0.0,0.0,0.0,59.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,46.0,28.0,325.0,5.0,0.0,0.0
2020-03-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,75.0,9.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,56.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,68.0,33.0,129.5,3.5,0.0,0.0
2020-04-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,74.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,53.0,39.0,98.0,7.0,0.0,0.0
2020-05-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,55.0,49.0,84.0,6.0,0.0,0.0
2020-06-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,76.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,48.0,49.0,63.0,3.5,0.0,0.0
2020-07-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,76.0,2.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,46.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,42.0,92.0,140.0,7.0,0.0,0.0
2020-08-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,76.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,48.0,56.0,196.0,7.0,0.0,0.0
2020-09-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82.0,6.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,53.0,47.0,216.0,4.5,0.0,0.0
2020-10-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,76.0,8.0,0.0,0.0,0.0,0.27586206896551724,0.27586206896551724,0.0,0.0,0.0,0.0,0.0,74.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,45.0,57.0,228.0,4.0,0.0,0.0
2020-11-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,82.0,12.0,0.0,0.0,0.27906976744186046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,52.0,50.0,220.0,4.0,0.0,0.0
2020-12-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,72.0,14.0,0.0,0.0,0.0,0.27450980392156865,0.0,0.0,0.0,0.0,0.0,0.0,39.0,20.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,54.0,43.0,268.0,4.0,0.0,0.0
