15/04/2023,05/07/2023,Updated with new information,North Darfur,SD02,SD02113,Dar As Salam,Dar As Salam Town,Urban,Neighbourhood,1650,330,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,1650,0,1650,0,330,0,0,0,0,0,330,Food,Move to another location
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02116,Al Koma,Al Koma Town,Urban,Neighbourhood,850,170,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,850,0,850,0,120,0,0,50,0,0,170,Food,Move to another location
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02116,Al Koma,Alkibeer,Rural,Village,700,140,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,700,0,700,0,140,0,0,0,0,0,140,Food,Return to location of origin
15/04/2023,05/07/2023,New Location,North Darfur,SD02,SD02129,Melit,Abassi B,Urban,Camp,650,130,North Darfur,SD02,SD02128,Kutum,Kutum Town,650,0,650,130,0,0,0,0,0,0,130,Emergency Shelter,Remain in the same place
15/04/2023,05/07/2023,Updated with new information,North Darfur,SD02,SD02129,Melit,Melit Town,Urban,Neighbourhood,5525,1105,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,5525,0,5525,0,1105,0,0,0,0,0,1105,Emergency Shelter,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02129,Melit,Sayah,Rural,Village,145,29,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,145,0,145,0,29,0,0,0,0,0,29,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02124,Kebkabiya,Kebkabiy Town,Urban,Neighbourhood,1250,250,North Darfur,SD02,SD02124,Kebkabiya,Kebkabiya Town,1250,0,1250,0,250,0,0,0,0,0,250,Food,Return to location of origin
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02124,Kebkabiya,Sortony Gathering Site,Rural,Village,1300,260,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,1300,0,1300,0,0,0,0,0,260,0,260,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02128,Kutum,Kutum Town,Urban,Neighbourhood,40,8,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,40,0,40,0,8,0,0,0,0,0,8,Food,Return to location of origin
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02128,Kutum,Kutum Town,Urban,Neighbourhood,25000,5000,North Darfur,SD02,SD02128,Kutum,Kutum Town,25000,0,25000,0,5000,0,0,0,0,0,5000,Food,Return to location of origin
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02128,Kutum,Froug,Rural,Village,2500,500,North Darfur,SD02,SD02128,Kutum,Kutum Town,2500,0,2500,0,500,0,0,0,0,0,500,Emergency Shelter,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02128,Kutum,Ein Sero,Rural,Village,3500,700,North Darfur,SD02,SD02128,Kutum,Kutum Town,3500,0,3500,0,700,0,0,0,0,0,700,Emergency Shelter,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02128,Kutum,Door,Rural,Village,1500,300,North Darfur,SD02,SD02128,Kutum,Kutum Town,1500,0,1500,0,300,0,0,0,0,0,300,Emergency Shelter,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02128,Kutum,Fornoug,Rural,Village,3500,700,North Darfur,SD02,SD02128,Kutum,Kutum Town,3500,0,3500,0,700,0,0,0,0,0,700,Food,Move to another location
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02128,Kutum,Hashaba,Rural,Village,5000,1000,North Darfur,SD02,SD02128,Kutum,Kassab Camp,5000,0,5000,0,0,0,0,0,1000,0,1000,Food,Move to another location
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02136,Um Kadadah,Um Kedadah Town,Urban,Neighbourhood,600,120,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,600,0,600,0,120,0,0,0,0,0,120,Food,Return to location of origin
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02118,As Serief,As Serief Town,Urban,Neighbourhood,1140,228,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,1140,0,1140,0,228,0,0,0,0,0,228,Food,Return to location of origin
15/04/2023,05/07/2023,Updated with new information,North Darfur,SD02,SD02117,Al Malha,Al Malha Town,Urban,Neighbourhood,3790,758,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,3790,0,3790,0,758,0,0,0,0,0,758,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Saraf Omra Town,Urban,Neighbourhood,4000,800,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,4000,0,4000,0,800,0,0,0,0,0,800,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Mundodoro,Rural,Village,450,90,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,450,0,450,0,90,0,0,0,0,0,90,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Wastani,Rural,Village,1000,200,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,1000,0,1000,0,200,0,0,0,0,0,200,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Al Hasahoissa,Rural,Village,300,60,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,300,0,300,0,60,0,0,0,0,0,60,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Kelmi,Rural,Village,750,150,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,750,0,750,0,150,0,0,0,0,0,150,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02133,Saraf Omra,Dar As Salam,Rural,Village,300,60,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,300,0,300,0,60,0,0,0,0,0,60,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Kelemando Town,Urban,Neighbourhood,900,180,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,900,0,900,0,180,0,0,0,0,0,180,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Ghosa Jamad,Rural,Village,1240,248,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,1240,0,1240,0,248,0,0,0,0,0,248,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Abudilek,Rural,Village,135,27,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,135,0,135,0,27,0,0,0,0,0,27,Emergency Shelter,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Wada Shamal,Rural,Village,75,15,Khartoum,SD01,SD01006,Um Durman,Um Durman Town,75,0,75,0,15,0,0,0,0,0,15,Emergency Shelter,Remain in the same place
