,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DTM - SUDAN - SITUATION REPORT (5) DATASET,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATES,,STATUS,DISPLACEMENT,,,,,,,,,ORIGIN,,,NATIONALITY (by IDPs individuals),,,SHELTER CATEGORY (by Households),,,,,,,,TOP PRIORITY NEED,RETURN INTENTION
INCIDENT,DATA COLLECTION,(Drop-down List) 1.new location 2.updated with new information 3.updated with same information,"STATE OF DISPLACEMENT
 (Drop-down List)",STATE_CODE,Locality_Code,"LOCALITY OF DISPLACEMENT
 (Drop-down List)",LOCATION OF DISPALCEMENT,Location type (Drop-down List),Location Classification (Drop-down List),IDPs,HHs,"STATE ORIGIN
 (Drop-down List)","LOCALITY ORIGIN
 (Drop-down List)",LOCATION OF ORIGIN,SUDANESE,NON SUDANESE,TOTAL (=IDPs),Camp (formal),In Host Family/Community accommodation,In Rented accomodation (paying rent),In Abandoned buildings/critical shelters/no rent,In schools or other public buildings/no rent,Gathering sites (informal settlements or open area),Unknown,Total (=HHs),(Drop-down List) Emergency shelter/Food/ Non-Food Items/ Health/Nutrition/ WASH,"(Drop-down List) 1. Remain in Same Place, 2. Move to Another Location 3. Return to Location of Origin 4. Unkown"
,,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,16/05/2023,3.updated with same information,Central Darfur,SD06,SD06138,Zalingi,Al Himmediya,Urban,neighbourhood,450,90,Central Darfur,Zalingi,Hai El Estad,450,-,450,-,90,-,-,-,-,-,90,Food,3-Return to location of origin
15/04/2023,16/05/2023,3.updated with same information,Central Darfur,SD06,SD06138,Zalingi,Hai Al sawra,Urban,neighbourhood,400,80,Central Darfur,Zalingi,Hai El Estad,400,-,400,-,80,-,-,-,-,-,80,Food,3-Return to location of origin
15/04/2023,16/05/2023,3.updated with same information,Central Darfur,SD06,SD06138,Zalingi,Hai Alwadi,Urban,neighbourhood,250,50,Central Darfur,Zalingi,Hai El Estad,250,-,250,-,50,-,-,-,-,-,50,Food,3-Return to location of origin
15/04/2023,16/05/2023,3.updated with same information,Central Darfur,SD06,SD06138,Zalingi,Hai El estad,Urban,neighbourhood,400,80,Central Darfur,Zalingi,Hai El Estad,400,-,400,-,80,-,-,-,-,-,80,Food,3-Return to location of origin
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,18 Nail,Urban,neighbourhood,65,13,Khartoum,Um Durman,Um Durman neighbourhoods,65,-,65,-,13,-,-,-,-,-,13,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,19 Nail,Urban,neighbourhood,60,12,Khartoum,Um Bada,Um Bada neighbourhoods and villages,60,-,60,-,12,-,-,-,-,-,12,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,22 Um Uwood Village,Rural,Village,75,15,Khartoum,Khartoum,Khartoum neighbourhoods,75,-,75,-,15,-,-,-,-,-,15,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Abduelrahamn Village,Rural,Village,250,50,Khartoum,Jebel Awlia,Jebel Awlia neighbourhoods and villages,250,-,250,-,50,-,-,-,-,-,50,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Abduelrahamn Village,Rural,Village,200,40,Khartoum,Khartoum,Khartoum neighbourhoods,200,-,200,-,40,-,-,-,-,-,40,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Alamousiya,Rural,Village,125,25,Khartoum,Um Durman,Um Durman neighbourhoods,125,-,125,-,25,-,-,-,-,-,25,Food,1-Remain in same place
