Date,STATE OF AFFECTED POPULATION,STATE PCODE OF AFFECTED POPULATION,LOCALITY OF AFFECTED POPULATION,LOCALITY PCODE OF AFFECTED POPULATION,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,# IDP INDIVIDUALS,STATE OF ORIGIN,STATE PCODE OF ORIGIN,LOCALITY OF ORIGIN,LOCALITY PCODE OF ORIGIN
6/25/2023,Gedaref,SD12,Al Fashaga,SD12075,Almadina 1,Urban,Neighbourhood,450,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Gedaref,SD12,Al Fashaga,SD12075,Almadina 8,Urban,Neighbourhood,175,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ar Rusayris,SD08107,"Ar Rusayris Town ( Hai Alshargi, Dar Alsalam)",Urban,Neighbourhood,3765,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ar Rusayris,SD08107,Dewa,Urban,Neighbourhood,185,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Al Nasr,Urban,Neighbourhood,565,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Al Nahda,Urban,Neighbourhood,275,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Almorbat,Urban,Neighbourhood,705,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Oshara,Urban,Neighbourhood,631,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Arkweet,Urban,Neighbourhood,690,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Hai Almak,Urban,Neighbourhood,170,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Aldrwa,Urban,Neighbourhood,170,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Dar Alsalam,Urban,Neighbourhood,493,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Alrabie,Urban,Neighbourhood,215,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Qanis Qarb,Urban,Neighbourhood,491,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Bant,Urban,Neighbourhood,65,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Hai Alzihor,Urban,Neighbourhood,1585,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Hai Alzabir,Urban,Neighbourhood,190,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Hai Alsafa,Urban,Neighbourhood,170,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Hai Alqasm,Urban,Neighbourhood,1125,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Hai Rayh Balk,Urban,Neighbourhood,15,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Hai Al Hijra,Urban,Neighbourhood,15,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Hai Althoura,Urban,Neighbourhood,75,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Hai Saka Hadeed,Urban,Neighbourhood,325,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Hai Alshati,Urban,Neighbourhood,842,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Abdel Khlaag,Rural,Village,75,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Shamar,Rural,Village,535,Khartoum,SD01,Sharg An Neel,SD01004
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Alseirew,Rural,Village,500,Khartoum,SD01,Khartoum,SD01007
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Alsirajya,Rural,Village,400,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Gebril,Rural,Village,230,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Bigawi,Rural,Village,690,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Khor Nimir,Rural,Village,25,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Abu Hashim,Rural,Village,1035,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Abdo Zoni,Rural,Village,75,Khartoum,SD01,Khartoum,SD01007
6/25/2023,Blue Nile,SD08,Ed Damazine,SD08105,Alban Jadeed,Rural,Village,150,Khartoum,SD01,Khartoum,SD01007
6/25/2023,Blue Nile,SD08,At Tadamon - BN,SD08108,Roro Village,Rural,Village,105,Khartoum,SD01,Khartoum,SD01007
6/25/2023,Blue Nile,SD08,At Tadamon - BN,SD08108,Jeriwa Village,Rural,Village,45,Khartoum,SD01,Khartoum,SD01007
6/25/2023,Blue Nile,SD08,At Tadamon - BN,SD08108,Agadi,Rural,Village,5,Khartoum,SD01,Khartoum,SD01007
6/25/2023,Blue Nile,SD08,Al Kurmuk,SD08106,Al Kurmuk Town,Urban,Neighbourhood,130,Khartoum,SD01,Jebel Awlia,SD01001
6/25/2023,Red Sea,SD10,Port Sudan,SD10064,Masnea Alkesra,Urban,Neighbourhood,55,Khartoum,SD01,Bahri,SD01003
6/25/2023,Red Sea,SD10,Port Sudan,SD10064,Almerqanya Center,Urban,Neighbourhood,15,Khartoum,SD01,Bahri,SD01003
6/25/2023,Red Sea,SD10,Port Sudan,SD10064,Emarat Aljily,Urban,Neighbourhood,50,Khartoum,SD01,Bahri,SD01003
6/25/2023,Red Sea,SD10,Port Sudan,SD10064,Beet Alshbab,Urban,Neighbourhood,150,Khartoum,SD01,Bahri,SD01003
6/25/2023,Red Sea,SD10,Port Sudan,SD10064,Dar Al Teacher,Urban,Neighbourhood,50,Khartoum,SD01,Bahri,SD01003
6/25/2023,Red Sea,SD10,Port Sudan,SD10064,British Council,Urban,Neighbourhood,105,Khartoum,SD01,Bahri,SD01003
6/25/2023,Red Sea,SD10,Port Sudan,SD10064,Sour Alwalaya,Urban,Neighbourhood,200,Khartoum,SD01,Khartoum,SD01007
6/25/2023,Red Sea,SD10,Port Sudan,SD10064,Quran University,Urban,Neighbourhood,135,Khartoum,SD01,Khartoum,SD01007
6/25/2023,Red Sea,SD10,Port Sudan,SD10064,Alnadi Al Ahly,Urban,Neighbourhood,25,Khartoum,SD01,Khartoum,SD01007
6/25/2023,Red Sea,SD10,Port Sudan,SD10064,Almwani Club (Portsudan Town),Urban,Neighbourhood,0,Khartoum,SD01,Khartoum,SD01007
6/25/2023,Blue Nile,SD08,Geisan,SD08109,Village 10,Rural,Village,100,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hai Arkawet/Arkawet School For Boys,Urban,Neighbourhood,80,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hai Arkawet/Arkawet School For Girls,Urban,Neighbourhood,105,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hai Arkawet/Technical School For Boys,Urban,Neighbourhood,80,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hai Alrahmaniya/Alrahmaniya Housing For Students,Urban,Neighbourhood,480,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Block 91,Urban,Neighbourhood,85,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altaimab,Rural,Village,280,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altleeh Alkhwalda,Rural,Village,310,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alteboob,Rural,Village,210,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hazawe,Rural,Village,70,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alkhoulab,Urban,Neighbourhood,90,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Wad Karee,Rural,Village,305,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Najarow,Rural,Village,130,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Wad Karar,Rural,Village,90,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Umjloud Wast Village,Rural,Village,160,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alkabour Village,Rural,Village,450,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Shaaeldin Village,Rural,Village,130,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almuosalamiya/Hai Alsafaa,Urban,Neighbourhood,110,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Abduelrahamn Village,Rural,Village,280,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alfougara 19 Village,Rural,Village,290,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Tabta,Rural,Village,640,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alhai Alawsat/Teacher Center,Urban,Neighbourhood,105,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Wad Shantour,Rural,Village,205,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alhilla Aljadida /Basic School,Urban,Neighbourhood,17,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Housing Of Education College,Urban,Neighbourhood,685,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Abunoora,Urban,Neighbourhood,15,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Block 91,Urban,Neighbourhood,85,Khartoum,SD01,Um Bada,SD01002
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hazawe,Rural,Village,65,Khartoum,SD01,Um Bada,SD01002
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,19 Nail,Urban,Neighbourhood,90,Khartoum,SD01,Um Bada,SD01002
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alkabour Village,Rural,Village,180,Khartoum,SD01,Um Bada,SD01002
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altleeh Alkhwalda,Rural,Village,160,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alkhoulab,Urban,Neighbourhood,120,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Goz Ahmed Nour,Rural,Village,505,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almanaseer,Urban,Neighbourhood,85,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Umdowina,Rural,Village,105,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almuosalamiya/Alhai Alshamali,Urban,Neighbourhood,105,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Tabta,Rural,Village,495,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hai Almansoura,Urban,Neighbourhood,20,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hai Alnajumi,Urban,Neighbourhood,139,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altleeh Alkhwalda,Rural,Village,110,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Umdowina,Rural,Village,55,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almuosalamiya/Alhai Aljanoubi,Urban,Neighbourhood,135,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Tabta,Rural,Village,430,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hai Alsadag Shamal,Urban,Neighbourhood,105,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Dar Alquran Alkareem,Urban,Neighbourhood,332,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hai Arkawet/Arkawet School For Boys,Urban,Neighbourhood,130,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hai Arkawet/Arkawet School For Girls,Urban,Neighbourhood,105,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hai Arkawet/Technical School For Boys,Urban,Neighbourhood,75,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hai Alrahmaniya/ Gathering Point,Urban,Neighbourhood,430,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altaimab,Rural,Village,420,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altleeh Alkhwalda,Rural,Village,250,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Aljebiliya,Rural,Village,115,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almanaseer,Urban,Neighbourhood,100,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,18 Nail,Urban,Neighbourhood,95,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Wad Hussein,Rural,Village,130,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Najarow,Rural,Village,205,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Aljamousiya,Rural,Village,155,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Faris Alketab Village,Rural,Village,225,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Umjloud Wast Village,Rural,Village,80,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alkabour Village,Rural,Village,330,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Algaradaiya Village,Rural,Village,190,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almuosalamiya/Alhai Alawsat,Urban,Neighbourhood,90,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hai Alrahmaniya/Alrahmaniya Housing For Students,Urban,Neighbourhood,430,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altaimab,Rural,Village,200,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altleeh Alkhwalda,Rural,Village,200,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alteboob,Rural,Village,190,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Aljebiliya,Rural,Village,80,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Goz Ahmed Nour,Rural,Village,485,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Wad Hussein,Rural,Village,105,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Wad Karee,Rural,Village,155,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alfadleen,Rural,Village,160,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Faris Alketab Village,Rural,Village,185,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Umjloud East Village,Rural,Village,195,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Shaaeldin Village,Rural,Village,110,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,22 Um Uwood Village,Rural,Village,105,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almuosalamiya,Urban,Neighbourhood,0,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almuosalamiya/Alhai Algarbi,Urban,Neighbourhood,85,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Abduelrahamn Village,Rural,Village,230,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Tabta,Rural,Village,555,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Arbagee,Rural,Village,34,Khartoum,SD01,Khartoum,SD01007
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Dar Elsalam Town,Urban,Neighbourhood,160,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Habiba Village,Rural,Village,190,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Tabat,Urban,Neighbourhood,265,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alkamleen Block 10,Urban,Neighbourhood,220,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Aljadid Althowra,Rural,Village,200,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Almahlaj,Urban,Neighbourhood,110,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alkamleen Block 5,Urban,Neighbourhood,130,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Albageer East,Rural,Village,260,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Wad Aljalal,Rural,Village,185,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Almasoudiya,Urban,Neighbourhood,205,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Aljadid Alashigla,Rural,Village,180,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Al Kamlin Au,Urban,Neighbourhood,515,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alkamleen Garib,Rural,Village,65,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alkasambar,Rural,Village,220,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,20 Abujediyan,Rural,Village,60,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,"Alhai Aljanobi Block(19,20,21)",Urban,Neighbourhood,30,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,26 Aajab,Rural,Village,45,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alsinaat Au,Rural,Village,405,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alnuba,Rural,Village,165,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alltei,Rural,Village,315,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Wad Algalab,Rural,Village,55,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,3 Alhebika,Rural,Village,60,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Medani Aldubaseen,Rural,Village,335,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Almealig Au,Rural,Village,315,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alsariha Au,Rural,Village,295,Khartoum,SD01,Jebel Awlia,SD01001
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Al Kamlin Au,Rural,Village,335,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alturabi,Rural,Village,250,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,10 Fadoul,Rural,Village,390,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Haj Abdalla,Rural,Village,65,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Allaouta Alhasaniya,Rural,Village,30,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alrebat,Rural,Village,435,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alsinaat Au,Rural,Village,250,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Edid Albshagra,Rural,Village,120,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,14 Alhebika,Rural,Village,45,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Jerma,Rural,Village,80,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Almealig Au,Rural,Village,150,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alsariha Au,Rural,Village,145,Khartoum,SD01,Bahri,SD01003
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Al Kamlin Au,Urban,Neighbourhood,390,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alsahowa,Rural,Village,320,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Fadoul,Rural,Village,105,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Um Agura Kadas,Rural,Village,220,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Wad Almajidi,Rural,Village,375,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alwefag 8,Rural,Village,60,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alsinaat Au,Rural,Village,315,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alriad Vilage,Rural,Village,45,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alhebika Alkabeer,Rural,Village,380,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Um Magad,Rural,Village,85,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Almealig Au,Rural,Village,210,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alsariha Au,Rural,Village,180,Khartoum,SD01,Sharg An Neel,SD01004
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Dar Elsalam Town,Urban,Neighbourhood,100,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Habiba Village,Rural,Village,85,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Tabat,Urban,Neighbourhood,160,Khartoum,SD01,Um Durman,SD01006
7/3/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alkamleen Block 10,Urban,Neighbourhood,210,Khartoum,SD01,Um Durman,SD01006
