Date,STATE OF AFFECTED POPULATION,STATE PCODE OF AFFECTED POPULATION,LOCALITY OF AFFECTED POPULATION,LOCALITY PCODE OF AFFECTED POPULATION,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,# IDP INDIVIDUALS,STATE OF ORIGIN,STATE PCODE OF ORIGIN,LOCALITY OF ORIGIN,LOCALITY PCODE OF ORIGIN
4/28/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,,,,180,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,,,,585,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,,,,300,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,,,,400,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,,,,50,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,,,,950,Aj Jazirah,SD15,AL kamleen,SD15035
4/28/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,,,,200,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
