,,,,,,,,,,,,PLACE OF ORIGIN,,,,,,,,,,,,,,,,,,
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,AREA NOT UNDER THE CONTROL OF THE GOVERNMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION (PAYING RENT),SHELTER CATEGORY: IN ABANDONED BUILDINGS/CRITICAL SHELTERS/NO RENT,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS/NO RENT,SHELTER CATEGORY: GATHERING SITES (INFORMAL SETTLEMENTS OR OPEN AREA),SHELTER CATEGORY: UNKNOWN,TOTAL,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02170,Tawila,Tawila IDP Camps,No,Rural,Camp,"3,235",647,North Darfur,SD02,SD02170,Tawila,Tarni,"3,235",0,3235,647,0,0,0,0,0,0,647,Food,Return to location of origin
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02128,Kutum,Kutum Town,No,Urban,Neighbourhood,40,8,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,40,0,40,0,8,0,0,0,0,0,8,Food,Return to location of origin
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02128,Kutum,Kutum Town,No,Urban,Neighbourhood,"25,000","5,000",North Darfur,SD02,SD02128,Kutum,Kutum Town,"25,000",0,25000,0,5000,0,0,0,0,0,5000,Food,Return to location of origin
15/04/2023,21/06/2023,New Location,North Darfur,SD02,SD02128,Kutum,Froug,No,Rural,Village,"2,500",500,North Darfur,SD02,SD02128,Kutum,Kutum Town,"2,500",0,2500,0,500,0,0,0,0,0,500,Emergency Shelter,Remain in same place
15/04/2023,21/06/2023,New Location,North Darfur,SD02,SD02128,Kutum,Ein Sero,No,Rural,Village,"3,500",700,North Darfur,SD02,SD02128,Kutum,Kutum Town,"3,500",0,3500,0,700,0,0,0,0,0,700,Emergency Shelter,Remain in same place
15/04/2023,21/06/2023,New Location,North Darfur,SD02,SD02128,Kutum,Door,No,Rural,Village,"1,500",300,North Darfur,SD02,SD02128,Kutum,Kutum Town,"1,500",0,1500,0,300,0,0,0,0,0,300,Emergency Shelter,Remain in same place
15/04/2023,21/06/2023,New Location,North Darfur,SD02,SD02128,Kutum,Fornoug,No,Rural,Village,"3,500",700,North Darfur,SD02,SD02128,Kutum,Kutum Town,"3,500",0,3500,0,700,0,0,0,0,0,700,Food,Move to another location
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02128,Kutum,Hashaba,No,Rural,Village,"5,000","1,000",North Darfur,SD02,SD02128,Kutum,Kassab Camp,"5,000",0,5000,0,0,0,0,0,1000,0,1000,Food,Move to another location
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02136,Um Kadadah,Um Kedadah Town,No,Urban,Neighbourhood,600,120,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,600,0,600,0,120,0,0,0,0,0,120,Food,Return to location of origin
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02118,As Serief,As Serief Town,No,Urban,Neighbourhood,"1,140",228,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,"1,140",0,1140,0,228,0,0,0,0,0,228,Food,Return to location of origin
