INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION,SHELTER CATEGORY: IN IMPROVISED SHELTERS,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS,SHELTER CATEGORY: OPEN AREA GATHERING SITES,SHELTER CATEGORY: UNKNOWN,TOTAL,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Almurbaat,Urban,Neighbourhood,2230,446,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,2230,0,2230,0,239,207,0,0,0,0,446,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Almurbaat,Urban,Neighbourhood,1785,357,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1785,0,1785,0,184,173,0,0,0,0,357,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Almurbaat,Urban,Neighbourhood,1625,325,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,1625,0,1625,0,169,156,0,0,0,0,325,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Alsika Hadid,Urban,Neighbourhood,1410,282,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1410,0,1410,0,149,133,0,0,0,0,282,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Alsyala,Urban,Neighbourhood,1395,279,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1395,0,1395,0,150,129,0,0,0,0,279,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Almourda,Urban,Neighbourhood,2665,533,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,2665,0,2665,0,294,239,0,0,0,0,533,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Almourda,Urban,Neighbourhood,1935,387,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1935,0,1935,0,199,188,0,0,0,0,387,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Almourda,Urban,Neighbourhood,1890,378,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,1890,0,1890,0,195,183,0,0,0,0,378,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Almourda,Urban,Neighbourhood,1845,369,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,1845,0,1845,0,0,369,0,0,0,0,369,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Alteleih,Urban,Neighbourhood,1440,288,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1440,0,1440,0,141,147,0,0,0,0,288,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Alshargi,Urban,Neighbourhood,2855,571,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,2855,0,2855,0,299,272,0,0,0,0,571,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Alshargi,Urban,Neighbourhood,2735,547,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,2735,0,2735,0,284,263,0,0,0,0,547,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Alshargi,Urban,Neighbourhood,2095,419,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,2095,0,2095,0,232,187,0,0,0,0,419,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Hai Aldarja / Alshrooqu School,Urban,Neighbourhood,410,82,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,410,0,410,0,0,0,0,82,0,0,82,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Hai Aldarja / Alshrooqu School,Urban,Neighbourhood,395,79,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,395,0,395,0,0,0,0,79,0,0,79,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Hai Aldarja / Alshrooqu School,Urban,Neighbourhood,370,74,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,370,0,370,0,0,0,0,74,0,0,74,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Hai Aldarja / Alshrooqu School,Urban,Neighbourhood,330,66,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,330,0,330,0,0,0,0,66,0,0,66,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Alwehda/Alwehda Basic School,Urban,Neighbourhood,250,50,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,250,0,250,0,0,0,0,50,0,0,50,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Alwehda/ Open Area(Tend),Urban,Neighbourhood,355,71,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,355,0,355,0,0,0,71,0,0,0,71,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Almourda/Almourada Basic School,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,100,0,100,0,0,0,0,20,0,0,20,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Almourda/ Khalowa Almustafa,Urban,Neighbourhood,190,38,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,190,0,190,0,0,0,38,0,0,0,38,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Alteleih/Zaowia Alkhatmiya,Urban,Neighbourhood,190,38,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,190,0,190,0,0,0,38,0,0,0,38,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Alteleih//Open Area,Urban,Neighbourhood,70,14,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,70,0,70,0,0,0,14,0,0,0,14,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Alkheliowa/Alemtiaz Basic School,Urban,Neighbourhood,205,41,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,205,0,205,0,0,0,0,41,0,0,41,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,Alshargi/ Basic School,Urban,Neighbourhood,20,4,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,20,0,20,0,0,0,0,4,0,0,4,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16012,Atbara,"Alkheliowa/Khalowa,Alkheliowwa Wasat",Urban,Neighbourhood,295,59,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,295,0,295,0,0,0,0,59,0,0,59,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Hai Alsalama,Urban,Neighbourhood,1270,254,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1270,0,1270,0,134,120,0,0,0,0,254,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Hai Alsalama,Urban,Neighbourhood,1275,255,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1275,0,1275,0,135,120,0,0,0,0,255,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Almekhiref,Rural,Village,1240,248,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1240,0,1240,0,248,0,0,0,0,0,248,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Almekhiref,Rural,Village,1230,246,Khartoum,SD01,SD01005,Karrari,Karrari neighbourhood and villages,1230,0,1230,0,246,0,0,0,0,0,246,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Alsahalab,Rural,Village,1205,241,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,1205,0,1205,0,241,0,0,0,0,0,241,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Kenur,Rural,Village,1360,272,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1360,0,1360,0,272,0,0,0,0,0,272,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Kenur,Rural,Village,1220,244,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1220,0,1220,0,244,0,0,0,0,0,244,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Aldekah,Rural,Village,1340,268,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1340,0,1340,0,268,0,0,0,0,0,268,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Aldekah,Rural,Village,1320,264,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1320,0,1320,0,264,0,0,0,0,0,264,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Aldekah,Rural,Village,1290,258,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,1290,0,1290,0,258,0,0,0,0,0,258,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Aldekah,Rural,Village,1240,248,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,1240,0,1240,0,248,0,0,0,0,0,248,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Almakaylab,Rural,Village,1395,279,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1395,0,1395,0,279,0,0,0,0,0,279,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Almakaylab,Rural,Village,1355,271,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1355,0,1355,0,271,0,0,0,0,0,271,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Almakaylab,Rural,Village,1320,264,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,1320,0,1320,0,264,0,0,0,0,0,264,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Almakaylab,Rural,Village,1275,255,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,1275,0,1275,0,255,0,0,0,0,0,255,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Block 1,Urban,Neighbourhood,1645,329,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1645,0,1645,0,175,154,0,0,0,0,329,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Block 1,Urban,Neighbourhood,1590,318,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1590,0,1590,0,168,150,0,0,0,0,318,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Block 1,Urban,Neighbourhood,1545,309,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,1545,0,1545,0,179,130,0,0,0,0,309,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Block 1,Urban,Neighbourhood,1500,300,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,1500,0,1500,0,158,142,0,0,0,0,300,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Block 2,Urban,Neighbourhood,1605,321,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1605,0,1605,0,169,152,0,0,0,0,321,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Block 2,Urban,Neighbourhood,1525,305,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1525,0,1525,0,165,140,0,0,0,0,305,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Block 2,Urban,Neighbourhood,1500,300,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,1500,0,1500,0,150,150,0,0,0,0,300,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Block 2,Urban,Neighbourhood,1470,294,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,1470,0,1470,0,154,140,0,0,0,0,294,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Alfahalab,Rural,Village,1205,241,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1205,0,1205,0,241,0,0,0,0,0,241,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Alabidiya,Rural,Village,1460,292,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1460,0,1460,0,292,0,0,0,0,0,292,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Alabidiya,Rural,Village,1415,283,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1415,0,1415,0,283,0,0,0,0,0,283,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Alabidiya,Rural,Village,1370,274,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,1370,0,1370,0,274,0,0,0,0,0,274,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Alabidiya,Rural,Village,1325,265,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,1325,0,1325,0,265,0,0,0,0,0,265,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16013,Barbar,Hoosh Aldar/ Basic School,Urban,Neighbourhood,16,3,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,16,0,16,0,0,0,0,3,0,0,3,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 2,Urban,Neighbourhood,445,89,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,445,0,445,0,45,44,0,0,0,0,89,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 2,Urban,Neighbourhood,335,67,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,335,0,335,0,35,32,0,0,0,0,67,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 2,Urban,Neighbourhood,290,58,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,290,0,290,0,34,24,0,0,0,0,58,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 3,Urban,Neighbourhood,445,89,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,445,0,445,0,49,40,0,0,0,0,89,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 3,Urban,Neighbourhood,455,91,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,455,0,455,0,51,40,0,0,0,0,91,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 3,Urban,Neighbourhood,435,87,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,435,0,435,0,47,40,0,0,0,0,87,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 4,Urban,Neighbourhood,495,99,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,495,0,495,0,55,44,0,0,0,0,99,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 4,Urban,Neighbourhood,435,87,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,435,0,435,0,44,43,0,0,0,0,87,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 4,Urban,Neighbourhood,390,78,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,390,0,390,0,44,34,0,0,0,0,78,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 5,Urban,Neighbourhood,335,67,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,335,0,335,0,37,30,0,0,0,0,67,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 5,Urban,Neighbourhood,385,77,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,385,0,385,0,43,34,0,0,0,0,77,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 6,Urban,Neighbourhood,385,77,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,385,0,385,0,40,37,0,0,0,0,77,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 6,Urban,Neighbourhood,375,75,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,375,0,375,0,40,35,0,0,0,0,75,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 7,Urban,Neighbourhood,310,62,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,310,0,310,0,32,30,0,0,0,0,62,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Block 10,Urban,Neighbourhood,265,53,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,265,0,265,0,30,23,0,0,0,0,53,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Jebel Um Ali,Rural,Village,490,98,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,490,0,490,0,98,0,0,0,0,0,98,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Jebel Um Ali,Rural,Village,450,90,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,450,0,450,0,90,0,0,0,0,0,90,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Jebel Um Ali,Rural,Village,365,73,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,365,0,365,0,73,0,0,0,0,0,73,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Gado Shamal,Rural,Village,445,89,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,445,0,445,0,89,0,0,0,0,0,89,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Gado Shamal,Rural,Village,385,77,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,385,0,385,0,77,0,0,0,0,0,77,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Gado Shamal,Rural,Village,325,65,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,325,0,325,0,65,0,0,0,0,0,65,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Gado Janoub Althawra,Rural,Village,360,72,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,360,0,360,0,72,0,0,0,0,0,72,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Gado Janoub Alghala,Rural,Village,485,97,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,485,0,485,0,97,0,0,0,0,0,97,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Gado Janoub Alsalmab,Rural,Village,260,52,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,260,0,260,0,52,0,0,0,0,0,52,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Gado Sharig Heribat,Rural,Village,580,116,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,580,0,580,0,116,0,0,0,0,0,116,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Albijrawiya Shamal Aldrgab,Rural,Village,400,80,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,400,0,400,0,80,0,0,0,0,0,80,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Albijrawiya Shamal Aldrgab,Rural,Village,340,68,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,340,0,340,0,68,0,0,0,0,0,68,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Albijrawiya Shamal Aldrgab,Rural,Village,300,60,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,300,0,300,0,60,0,0,0,0,0,60,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Albijrawiya Shamal Aldrgab,Rural,Village,275,55,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,275,0,275,0,55,0,0,0,0,0,55,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Albijrawiya Shamal,Rural,Village,310,62,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,310,0,310,0,62,0,0,0,0,0,62,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Albijrawiya Janoub,Rural,Village,485,97,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,485,0,485,0,97,0,0,0,0,0,97,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Albijrawiya Janoub,Rural,Village,435,87,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,435,0,435,0,87,0,0,0,0,0,87,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Albijrawiya Janoub,Rural,Village,390,78,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,390,0,390,0,78,0,0,0,0,0,78,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Albijrawiya Janoub,Rural,Village,345,69,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,345,0,345,0,69,0,0,0,0,0,69,Food,Move to another location
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Alshebiriya,Rural,Village,435,87,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,435,0,435,0,87,0,0,0,0,0,87,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Alshebiriya,Rural,Village,385,77,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,385,0,385,0,77,0,0,0,0,0,77,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Alshebiriya,Rural,Village,335,67,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,335,0,335,0,67,0,0,0,0,0,67,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Umkimeer Haj Altahir,Rural,Village,240,48,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,240,0,240,0,48,0,0,0,0,0,48,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Alobied,Rural,Village,230,46,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,230,0,230,0,46,0,0,0,0,0,46,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Alobied,Rural,Village,220,44,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,220,0,220,0,44,0,0,0,0,0,44,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Kaboshiya Au,Rural,Village,1115,223,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1115,0,1115,0,223,0,0,0,0,0,223,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Kaboshiya Au,Rural,Village,1070,214,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1070,0,1070,0,214,0,0,0,0,0,214,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Kaboshiya Au,Rural,Village,1020,204,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,1020,0,1020,0,204,0,0,0,0,0,204,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Kaboshiya Au,Rural,Village,980,196,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,980,0,980,0,196,0,0,0,0,0,196,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Alhagieba Abujedad,Rural,Village,255,51,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,255,0,255,0,51,0,0,0,0,0,51,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Marnad,Rural,Village,255,51,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,255,0,255,0,51,0,0,0,0,0,51,Food,Return to location of origin
15/04/2023,12/07/2023,Updated with same information,River Nile,SD16,SD16010,Shendi,Hillat Omer,Rural,Village,375,75,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,375,0,375,0,75,0,0,0,0,0,75,Food,Return to location of origin
