INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION,SHELTER CATEGORY: IN IMPROVISED SHELTERS,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS,SHELTER CATEGORY: OPEN AREA GATHERING SITES,SHELTER CATEGORY: UNKNOWN,TOTAL,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Alsodani,Rural,Village,56,12,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,56,0,56,0,12,0,0,0,0,0,12,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Merikha Al Shargia,Rural,Village,230,44,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,230,0,230,0,44,0,0,0,0,0,44,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Abu Tlaih,Rural,Village,165,30,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,165,0,165,0,30,0,0,0,0,0,30,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Al Karnk,Rural,Village,184,35,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,184,0,184,0,35,0,0,0,0,0,35,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Al Dogag,Rural,Village,196,37,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,196,0,196,0,37,0,0,0,0,0,37,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Um Sriha,Rural,Village,170,35,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,170,0,170,0,35,0,0,0,0,0,35,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Fangofa,Rural,Village,112,21,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,112,0,112,0,21,0,0,0,0,0,21,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Noa,Rural,Village,85,15,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,85,0,85,0,15,0,0,0,0,0,15,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Allah Karim,Rural,Village,142,27,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,142,0,142,0,27,0,0,0,0,0,27,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Um Shogol,Rural,Village,106,21,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,106,0,106,0,21,0,0,0,0,0,21,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Um Rhaba,Rural,Village,50,9,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,50,0,50,0,9,0,0,0,0,0,9,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Alganobi,Urban,Neighbourhood,70,15,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,70,0,70,0,15,0,0,0,0,0,15,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Algoz,Urban,Neighbourhood,77,15,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,77,0,77,0,15,0,0,0,0,0,15,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Alshargi,Urban,Neighbourhood,99,20,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,99,0,99,0,20,0,0,0,0,0,20,Food,Return to location of origin
