INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,Origin GPS Longitude,Origin GPS Latitude,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: With Host Community,SHELTER CATEGORY: In Rented accomodation (paying rent),SHELTER CATEGORY: In Abandoned buildings/critical shelters/no rent,SHELTER CATEGORY: In schools or other public buildings/no rent,SHELTER CATEGORY: Gathering sites (informal settlements or open area),SHELTER CATEGORY: Unknown,TOP PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,,
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13030,Ar Rahad,Um Rhaba,Rural,Village,50,9,Khartoum,SD01,SD01007,Khartoum,,,,50,0,50,0,9,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Alganobi,Urban,Neighbourhood,38,7,Khartoum,SD01,SD01007,Khartoum,,,,38,0,38,0,7,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Algoz,Urban,Neighbourhood,77,15,Khartoum,SD01,SD01007,Khartoum,,,,77,0,77,0,15,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Alshargi,Urban,Neighbourhood,99,20,Khartoum,SD01,SD01007,Khartoum,,,,99,0,99,0,20,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Alshamali,Urban,Neighbourhood,113,23,Khartoum,SD01,SD01007,Khartoum,,,,113,0,113,0,23,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Albalk,Urban,Neighbourhood,85,16,Khartoum,SD01,SD01007,Khartoum,,,,85,0,85,0,16,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Algarbi E,Urban,Neighbourhood,134,27,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,134,0,134,0,27,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13026,Bara,Hai Algarbi W,Urban,Neighbourhood,118,23,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,118,0,118,0,23,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13026,Bara,Hai Algadid,Urban,Neighbourhood,120,25,Khartoum,SD01,SD01007,Khartoum,,,,120,0,120,0,25,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13026,Bara,Hai Alshbab,Urban,Neighbourhood,130,23,Khartoum,SD01,SD01006,Um Durman,,,,130,0,130,0,23,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Alshigelab,Urban,Neighbourhood,93,19,Khartoum,SD01,SD01007,Khartoum,,,,93,0,93,0,19,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13026,Bara,Hai Alrkabia,Urban,Neighbourhood,160,30,Khartoum,SD01,SD01007,Khartoum,,,,160,0,160,0,30,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13026,Bara,Hai Alradif,Urban,Neighbourhood,120,25,Khartoum,SD01,SD01006,Um Durman,,,,120,0,120,0,25,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Kadugli,Urban,Neighbourhood,170,36,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,170,0,170,0,36,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13026,Bara,Hai Al Nour Sharg,Urban,Neighbourhood,65,13,Khartoum,SD01,SD01007,Khartoum,,,,65,0,65,0,13,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13026,Bara,Hai Al Nour Gharb,Urban,Neighbourhood,133,27,Khartoum,SD01,SD01006,Um Durman,,,,133,0,133,0,27,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13026,Bara,Hai Al Nour Wasat,Urban,Neighbourhood,73,14,Khartoum,SD01,SD01006,Um Durman,,,,73,0,73,0,14,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13026,Bara,Hai Banat Shimal,Urban,Neighbourhood,130,25,Khartoum,SD01,SD01007,Khartoum,,,,130,0,130,0,25,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13026,Bara,Hai Banat Ganob,Urban,Neighbourhood,55,11,Khartoum,SD01,SD01007,Khartoum,,,,55,0,55,0,11,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13026,Bara,Al Hai Alawsat,Urban,Neighbourhood,47,9,Khartoum,SD01,SD01007,Khartoum,,,,47,0,47,0,9,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13026,Bara,Hai Alsog,Urban,Neighbourhood,135,25,Khartoum,SD01,SD01006,Um Durman,,,,135,0,135,0,25,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13026,Bara,Um siala,Rural,Village,99,19,Khartoum,SD01,SD01007,Khartoum,,,,99,0,99,0,19,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13026,Bara,Hai Algadid,Urban,Neighbourhood,134,28,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,134,0,134,0,28,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13026,Bara,Al Hai Algarbi Garb,Urban,Neighbourhood,129,25,Khartoum,SD01,SD01006,Um Durman,,,,129,0,129,0,25,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13026,Bara,Al Hai Algarbi Sharg,Urban,Neighbourhood,134,27,Khartoum,SD01,SD01006,Um Durman,,,,134,0,134,0,27,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Al Ganoby,Urban,Neighbourhood,177,40,Khartoum,SD01,SD01002,Um Bada,,,,177,0,177,0,40,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Al Shargy,Urban,Neighbourhood,154,33,Khartoum,SD01,SD01002,Um Bada,,,,154,0,154,0,33,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Hi Algarbi,Urban,Neighbourhood,186,41,Khartoum,SD01,SD01002,Um Bada,,,,186,0,186,0,41,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Al Bashma,Urban,Neighbourhood,0,0,Khartoum,SD01,SD01005,Karrari,,,,0,0,0,0,0,0,0,0,0,0,Food,3-Return to location of origin
