,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCIDENT,DATA COLLECTION,REPORTED DATE,COUNTRY,COUNTRY CODE,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,GPS LONGITUDE,GPS LATITUDE,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,ORIGIN GPS LONGITUDE,ORIGIN GPS LATITUDE,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),VALIDATION,SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION,SHELTER CATEGORY: IN IMPROVISED SHELTERS,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS,SHELTER CATEGORY: OPEN AREA GATHERING SITES,SHELTER CATEGORY: UNKNOWN,TOTAL,VALIDATION2,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,#date+reported,#adm0+name,#adm0+pcode,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,,,,,
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alkhoulab,Urban,Neighbourhood,14.482864,33.343714,90,18,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,90,0,90,TRUE,0,18,0,0,0,0,0,18,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Wad Karee,Rural,Village,14.58738,33.311844,305,61,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,305,0,305,TRUE,0,61,0,0,0,0,0,61,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Najarow,Rural,Village,14.479126,33.234772,130,26,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,130,0,130,TRUE,0,26,0,0,0,0,0,26,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Wad Karar,Rural,Village,14.47731,33.285277,90,18,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,90,0,90,TRUE,0,18,0,0,0,0,0,18,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Umjloud Wast Village,Rural,Village,14.511518,33.231217,160,32,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,160,0,160,TRUE,0,32,0,0,0,0,0,32,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alkabour Village,Rural,Village,14.604747,33.225729,450,90,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,450,0,450,TRUE,0,90,0,0,0,0,0,90,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Shaaeldin Village,Rural,Village,14.579423,33.340193,130,26,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,130,0,130,TRUE,0,26,0,0,0,0,0,26,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,New Location,Aj Jazirah,SD15,SD15034,Al Hasahisa,Almuosalamiya/Hai Alsafaa,Urban,Neighbourhood,14.368511,33.035138,110,22,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,110,0,110,TRUE,0,22,0,0,0,0,0,22,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Abduelrahamn Village,Rural,Village,14.571851,33.252956,280,56,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,280,0,280,TRUE,0,56,0,0,0,0,0,56,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alfougara 19 Village,Rural,Village,14.645551,33.340241,290,58,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,290,0,290,TRUE,0,58,0,0,0,0,0,58,TRUE,Food,Remain in the same place
