,,,,,,,,,,,,PLACE OF ORIGIN,,,,,NATIONALITIES,,,SHELTER CATEGORY,,,,,,,,TOP PRIORITY NEED,RETURN INTENTIONS
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION (PAYING RENT),SHELTER CATEGORY: IN ABANDONED BUILDINGS/Improvised Shelters/NO RENT,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS/NO RENT,SHELTER CATEGORY: GATHERING SITES (INFORMAL SETTLEMENTS OR OPEN AREA),SHELTER CATEGORY: UNKNOWN,TOTAL,,
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,14/06/2023,New Location,North Darfur,SD02,SD02114,Al Fasher,Abu Shouck Camp,Urban,Camp,265,53,North Darfur,SD02,SD02128,Kutum,Kutum Town,265,0,265,53,0,0,0,0,0,0,53,Food,Remain in same place
15/04/2023,14/06/2023,New Location,North Darfur,SD02,SD02114,Al Fasher,Korma Gathering,Rural,Camp,345,69,North Darfur,SD02,SD02128,Kutum,Kutum Town,345,0,345,69,0,0,0,0,0,0,69,Food,Remain in same place
15/04/2023,14/06/2023,New Location,North Darfur,SD02,SD02114,Al Fasher,Korma,Rural,Village,605,121,North Darfur,SD02,SD02128,Kutum,Kutum Town,605,0,605,0,0,0,0,121,0,0,121,Food,Remain in same place
15/04/2023,14/06/2023,New Location,North Darfur,SD02,SD02114,Al Fasher,Dekir,Rural,Village,200,40,North Darfur,SD02,SD02128,Kutum,Kutum Town,200,0,200,0,40,0,0,0,0,0,40,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02116,Al Koma,Al Koma Town,Urban,Neighbourhood,600,120,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,600,0,600,0,120,0,0,0,0,0,120,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,North Darfur,SD02,SD02116,Al Koma,Alkibeer,Rural,Village,700,140,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,700,0,700,0,140,0,0,0,0,0,140,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02117,Al Malha,Al Malha Town,Urban,Neighbourhood,2500,500,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,2500,0,2500,0,500,0,0,0,0,0,500,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02118,As Serief,As Serief Town,Urban,Neighbourhood,1140,228,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,1140,0,1140,0,228,0,0,0,0,0,228,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02119,At Tawisha,At Tewisha Town,Urban,Neighbourhood,350,70,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,350,0,350,0,70,0,0,0,0,0,70,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02124,Kebkabiya,Kebkabiy Town,Urban,Neighbourhood,1250,250,North Darfur,SD02,SD02124,Kebkabiya,Kebkabiya Town,1250,0,1250,0,250,0,0,0,0,0,250,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,North Darfur,SD02,SD02124,Kebkabiya,Sortony,Rural,Camp,1000,200,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,1000,0,1000,200,0,0,0,0,0,0,200,Food,Remain in same place
15/04/2023,14/06/2023,New Location,North Darfur,SD02,SD02126,Kelemando,Kelemando Town,Urban,Neighbourhood,900,180,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,900,0,900,0,180,0,0,0,0,0,180,Food,Remain in same place
15/04/2023,14/06/2023,New Location,North Darfur,SD02,SD02126,Kelemando,Ghosa Jamad,Rural,Village,1240,248,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,1240,0,1240,0,248,0,0,0,0,0,248,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Abudilek,Rural,Village,135,27,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,135,0,135,0,27,0,0,0,0,0,27,Emergency Shelter,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Wada Shamal,Rural,Village,75,15,Khartoum,SD01,SD01006,Um Durman,Um Durman Town,75,0,75,0,15,0,0,0,0,0,15,Emergency Shelter,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Bahri Um Dorman,Rural,Village,60,12,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,60,0,60,0,12,0,0,0,0,0,12,Emergency Shelter,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Eid Algideam,Rural,Village,45,9,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,45,0,45,0,9,0,0,0,0,0,9,Emergency Shelter,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Um Dam,Rural,Village,150,30,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,150,0,150,0,30,0,0,0,0,0,30,Emergency Shelter,Remain in same place
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02126,Kelemando,Sani Karow,Rural,Village,900,180,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,900,0,900,0,180,0,0,0,0,0,180,Emergency Shelter,Remain in same place
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02126,Kelemando,Aldeka,Rural,Village,225,45,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,225,0,225,0,45,0,0,0,0,0,45,Emergency Shelter,Remain in same place
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02126,Kelemando,Um Beteen,Rural,Village,525,105,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,525,0,525,0,105,0,0,0,0,0,105,Emergency Shelter,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Eid Albaida,Rural,Village,90,18,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,90,0,90,0,18,0,0,0,0,0,18,Emergency Shelter,Remain in same place
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02128,Kutum,Kutum Town,Urban,Neighbourhood,40,8,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,40,0,40,0,8,0,0,0,0,0,8,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,North Darfur,SD02,SD02128,Kutum,Kutum Town,Urban,Neighbourhood,25000,5000,North Darfur,SD02,SD02128,Kutum,Kutum Town,25000,0,25000,0,5000,0,0,0,0,0,5000,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02128,Kutum,"Hashaba, And Abdulshakoor",Rural,Village,15000,3000,North Darfur,SD02,SD02128,Kutum,Kassab Camp,15000,0,15000,0,0,0,0,0,3000,0,3000,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02129,Melit,Melit Town,Urban,Neighbourhood,3700,740,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,3700,0,3700,0,740,0,0,0,0,0,740,Food,Return to location of origin
