,,,,,,,,,,,,PLACE OF ORIGIN,,,,,NATIONALITIES,,,SHELTER CATEGORY,,,,,,,,TOP PRIORITY NEED,RETURN INTENTIONS
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION (PAYING RENT),SHELTER CATEGORY: IN ABANDONED BUILDINGS/Improvised Shelters/NO RENT,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS/NO RENT,SHELTER CATEGORY: GATHERING SITES (INFORMAL SETTLEMENTS OR OPEN AREA),SHELTER CATEGORY: UNKNOWN,TOTAL,,
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,14/06/2023,Updated with same information,Aj Jazirah,SD15,SD15032,Um Algura,Alremilat,Rural,Village,210,42,Khartoum,SD01,SD01001,Jebel Awlia,,210,0,210,0,42,0,0,0,0,0,42,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,Aj Jazirah,SD15,SD15032,Um Algura,Alremilat,Rural,Village,210,42,Khartoum,SD01,SD01002,Um Bada,,210,0,210,0,42,0,0,0,0,0,42,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Roufaa Town/ Medical Housing Of Students,Urban,Neighbourhood,256,56,Khartoum,SD01,SD01001,Jebel Awlia,,256,0,256,0,0,0,0,56,0,0,56,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Roufaa Town/ Medical Housing Of Students,Urban,Neighbourhood,213,45,Khartoum,SD01,SD01004,Sharg An Neel,,213,0,213,0,0,0,0,45,0,0,45,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Roufaa Town/ Medical Housing Of Students,Urban,Neighbourhood,151,32,Khartoum,SD01,SD01007,Khartoum,,151,0,151,0,0,0,0,32,0,0,32,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Roufaa Town/ Abdalla Alawad Housing For Students,Urban,Neighbourhood,126,25,Khartoum,SD01,SD01004,Sharg An Neel,,126,0,126,0,0,0,0,25,0,0,25,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Roufaa Town/Almujtaba Housing For Students,Urban,Neighbourhood,360,72,Khartoum,SD01,SD01007,Khartoum,,360,0,360,0,0,0,0,72,0,0,72,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Roufaa Town/Almujtaba Housing For Students,Urban,Neighbourhood,315,63,Khartoum,SD01,SD01003,Bahri,,315,0,315,0,0,0,0,63,0,0,63,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Roufaa Town/Almujtaba Housing For Students,Urban,Neighbourhood,275,55,Khartoum,SD01,SD01006,Um Durman,,275,0,275,0,0,0,0,55,0,0,55,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Roufaa Town/Ecnomic Housing For Students,Urban,Neighbourhood,466,99,Khartoum,SD01,SD01001,Jebel Awlia,,466,0,466,0,0,0,0,99,0,0,99,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Roufaa Town/Ecnomic Housing For Students,Urban,Neighbourhood,465,87,Khartoum,SD01,SD01007,Khartoum,,465,0,465,0,0,0,0,87,0,0,87,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Roufaa Town/Midwifes Center,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01001,Jebel Awlia,,75,0,75,0,0,0,0,15,0,0,15,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Wad Rawoa Town,Urban,Neighbourhood,505,101,Khartoum,SD01,SD01001,Jebel Awlia,,505,0,505,0,101,0,0,0,0,0,101,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Wad Rawoa Town,Urban,Neighbourhood,455,91,Khartoum,SD01,SD01006,Um Durman,,455,0,455,0,91,0,0,0,0,0,91,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Wad Rawoa Town,Urban,Neighbourhood,285,57,Khartoum,SD01,SD01004,Sharg An Neel,,285,0,285,0,57,0,0,0,0,0,57,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Wad Rawoa Villages,Rural,Village,125,25,Khartoum,SD01,SD01001,Jebel Awlia,,125,0,125,0,0,25,0,0,0,0,25,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Wad Rawoa Villages,Rural,Village,125,25,Khartoum,SD01,SD01006,Um Durman,,125,0,125,0,0,25,0,0,0,0,25,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Wad Asheeb,Rural,Village,350,70,Khartoum,SD01,SD01001,Jebel Awlia,,350,0,350,0,0,70,0,0,0,0,70,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Wad Asheeb,Rural,Village,200,40,Khartoum,SD01,SD01006,Um Durman,,200,0,200,0,0,40,0,0,0,0,40,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Wad Asheeb,Rural,Village,125,25,Khartoum,SD01,SD01007,Khartoum,,125,0,125,0,0,25,0,0,0,0,25,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Albshagra East,Rural,Village,110,22,Khartoum,SD01,SD01001,Jebel Awlia,,110,0,110,0,0,22,0,0,0,0,22,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Albshagra East,Rural,Village,90,18,Khartoum,SD01,SD01007,Khartoum,,90,0,90,0,0,18,0,0,0,0,18,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Almatama Sharg,Rural,Village,175,35,Khartoum,SD01,SD01006,Um Durman,,175,0,175,0,0,35,0,0,0,0,35,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Almatama Sharg,Rural,Village,125,25,Khartoum,SD01,SD01001,Jebel Awlia,,125,0,125,0,0,25,0,0,0,0,25,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Rufaa Town /Hai Alshawaiga,Urban,Neighbourhood,410,82,Khartoum,SD01,SD01007,Khartoum,,410,0,410,0,82,0,0,0,0,0,82,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Rufaa Town /Hai Alshawaiga,Urban,Neighbourhood,345,69,Khartoum,SD01,SD01006,Um Durman,,345,0,345,0,69,0,0,0,0,0,69,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Rufaa Town/ Alhai Alshargi,Urban,Neighbourhood,380,76,Khartoum,SD01,SD01007,Khartoum,,380,0,380,0,76,0,0,0,0,0,76,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Rufaa Town/ Alhai Alshargi,Urban,Neighbourhood,325,65,Khartoum,SD01,SD01006,Um Durman,,325,0,325,0,65,0,0,0,0,0,65,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Rufaa Town / Hai Aldanagla,Urban,Neighbourhood,205,41,Khartoum,SD01,SD01007,Khartoum,,205,0,205,0,41,0,0,0,0,0,41,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Rufaa Town / Hai Aldanagla,Urban,Neighbourhood,190,38,Khartoum,SD01,SD01006,Um Durman,,190,0,190,0,38,0,0,0,0,0,38,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Rufaa Town /Hai Dim Alnour,Urban,Neighbourhood,115,23,Khartoum,SD01,SD01007,Khartoum,,115,0,115,0,23,0,0,0,0,0,23,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Rufaa Town /Hai Dim Alnour,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01006,Um Durman,,100,0,100,0,20,0,0,0,0,0,20,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Tanbool,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01001,Jebel Awlia,,50,0,50,0,10,0,0,0,0,0,10,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Tanbool,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01006,Um Durman,,50,0,50,0,10,0,0,0,0,0,10,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Alregiba,Rural,Village,75,15,Khartoum,SD01,SD01001,Jebel Awlia,,75,0,75,0,0,0,15,0,0,0,15,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Alregiba,Rural,Village,75,15,Khartoum,SD01,SD01006,Um Durman,,75,0,75,0,0,0,15,0,0,0,15,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Alomarab Village,Rural,Village,110,22,Khartoum,SD01,SD01001,Jebel Awlia,,110,0,110,0,0,0,22,0,0,0,22,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Alomarab Village,Rural,Village,90,18,Khartoum,SD01,SD01006,Um Durman,,90,0,90,0,0,0,18,0,0,0,18,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Dim Jad Alkareem Village,Rural,Village,75,15,Khartoum,SD01,SD01001,Jebel Awlia,,75,0,75,0,0,0,15,0,0,0,15,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Dim Jad Alkareem Village,Rural,Village,75,15,Khartoum,SD01,SD01006,Um Durman,,75,0,75,0,0,0,15,0,0,0,15,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Alshegeel Village,Rural,Village,100,20,Khartoum,SD01,SD01001,Jebel Awlia,,100,0,100,0,0,0,20,0,0,0,20,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Alshegeel Village,Rural,Village,100,20,Khartoum,SD01,SD01006,Um Durman,,100,0,100,0,0,0,20,0,0,0,20,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Alrekeib Village,Rural,Village,175,35,Khartoum,SD01,SD01001,Jebel Awlia,,175,0,175,0,0,0,35,0,0,0,35,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Alrekeib Village,Rural,Village,125,25,Khartoum,SD01,SD01006,Um Durman,,125,0,125,0,0,0,25,0,0,0,25,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Eidelnour Village,Rural,Village,125,25,Khartoum,SD01,SD01001,Jebel Awlia,,125,0,125,0,0,0,25,0,0,0,25,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Eidelnour Village,Rural,Village,125,25,Khartoum,SD01,SD01006,Um Durman,,125,0,125,0,0,0,25,0,0,0,25,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Alfatniya Village,Rural,Village,100,20,Khartoum,SD01,SD01006,Um Durman,,100,0,100,0,0,0,20,0,0,0,20,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Alfatniya Village,Rural,Village,100,20,Khartoum,SD01,SD01002,Um Bada,,100,0,100,0,0,0,20,0,0,0,20,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Almahas Village,Rural,Village,115,23,Khartoum,SD01,SD01006,Um Durman,,115,0,115,0,0,0,23,0,0,0,23,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Almahas Village,Rural,Village,85,17,Khartoum,SD01,SD01004,Sharg An Neel,,85,0,85,0,0,0,17,0,0,0,17,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Albshagra,Rural,Village,125,25,Khartoum,SD01,SD01006,Um Durman,,125,0,125,0,0,0,25,0,0,0,25,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Albshagra,Rural,Village,75,15,Khartoum,SD01,SD01002,Um Bada,,75,0,75,0,0,0,15,0,0,0,15,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Almgareed Wa Alnabti,Rural,Village,75,15,Khartoum,SD01,SD01001,Jebel Awlia,,75,0,75,0,0,0,15,0,0,0,15,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Almgareed Wa Alnabti,Rural,Village,75,15,Khartoum,SD01,SD01006,Um Durman,,75,0,75,0,0,0,15,0,0,0,15,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Altekilat,Rural,Village,110,22,Khartoum,SD01,SD01003,Bahri,,110,0,110,0,0,0,22,0,0,0,22,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Altekilat,Rural,Village,75,15,Khartoum,SD01,SD01006,Um Durman,,75,0,75,0,0,0,15,0,0,0,15,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Aljneed,Rural,Village,65,13,Khartoum,SD01,SD01001,Jebel Awlia,,65,0,65,0,0,0,13,0,0,0,13,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15033,Sharg Al Jazirah,Aljneed,Rural,Village,60,12,Khartoum,SD01,SD01004,Sharg An Neel,,60,0,60,0,0,0,12,0,0,0,12,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hai Arkawet/Arkawet School For Boys,Urban,Neighbourhood,130,26,Khartoum,SD01,SD01006,Um Durman,,130,0,130,0,0,0,0,26,0,0,26,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hai Arkawet/Arkawet School For Boys,Urban,Neighbourhood,80,16,Khartoum,SD01,SD01001,Jebel Awlia,,80,0,80,0,0,0,0,16,0,0,16,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hai Arkawet/Arkawet School For Girls,Urban,Neighbourhood,105,21,Khartoum,SD01,SD01001,Jebel Awlia,,105,0,105,0,0,0,0,21,0,0,21,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hai Arkawet/Arkawet School For Girls,Urban,Neighbourhood,105,21,Khartoum,SD01,SD01006,Um Durman,,105,0,105,0,0,0,0,21,0,0,21,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Technical School For Boys,Urban,Neighbourhood,80,16,Khartoum,SD01,SD01001,Jebel Awlia,,80,0,80,0,0,0,0,16,0,0,16,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Technical School For Boys,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01006,Um Durman,,75,0,75,0,0,0,0,15,0,0,15,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hai Alrahmaniya/ Gathering Point,Urban,Neighbourhood,430,86,Khartoum,SD01,SD01006,Um Durman,,430,0,430,0,0,0,0,86,0,0,86,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hai Alrahmaniya/Alrahmaniya Housing For Students,Urban,Neighbourhood,480,96,Khartoum,SD01,SD01001,Jebel Awlia,,480,0,480,0,0,0,0,96,0,0,96,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hai Alrahmaniya/Alrahmaniya Housing For Students,Urban,Neighbourhood,430,86,Khartoum,SD01,SD01007,Khartoum,,430,0,430,0,0,0,0,86,0,0,86,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Block 91,Urban,Neighbourhood,85,17,Khartoum,SD01,SD01001,Jebel Awlia,,85,0,85,0,0,0,0,17,0,0,17,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Block 91,Urban,Neighbourhood,85,17,Khartoum,SD01,SD01002,Um Bada,,85,0,85,0,0,0,0,17,0,0,17,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altaimab,Urban,Neighbourhood,380,76,Khartoum,SD01,SD01006,Um Durman,,380,0,380,0,76,0,0,0,0,0,76,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altaimab,Rural,Village,230,46,Khartoum,SD01,SD01001,Jebel Awlia,,230,0,230,0,46,0,0,0,0,0,46,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altaimab,Rural,Village,180,36,Khartoum,SD01,SD01007,Khartoum,,180,0,180,0,36,0,0,0,0,0,36,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altleeh Alkhwalda,Rural,Village,530,106,Khartoum,SD01,SD01001,Jebel Awlia,,530,0,530,0,106,0,0,0,0,0,106,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altleeh Alkhwalda,Rural,Village,430,86,Khartoum,SD01,SD01006,Um Durman,,430,0,430,0,86,0,0,0,0,0,86,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altleeh Alkhwalda,Rural,Village,405,81,Khartoum,SD01,SD01007,Khartoum,,405,0,405,0,81,0,0,0,0,0,81,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altleeh Alkhwalda,Rural,Village,280,56,Khartoum,SD01,SD01003,Bahri,,280,0,280,0,56,0,0,0,0,0,56,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altleeh Alkhwalda,Rural,Village,255,51,Khartoum,SD01,SD01004,Sharg An Neel,,255,0,255,0,51,0,0,0,0,0,51,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alteboob,Rural,Village,180,36,Khartoum,SD01,SD01001,Jebel Awlia,,180,0,180,0,36,0,0,0,0,0,36,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alteboob,Rural,Village,130,26,Khartoum,SD01,SD01007,Khartoum,,130,0,130,0,26,0,0,0,0,0,26,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Aljebiliya,Rural,Village,115,23,Khartoum,SD01,SD01006,Um Durman,,115,0,115,0,23,0,0,0,0,0,23,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Aljebiliya,Rural,Village,80,16,Khartoum,SD01,SD01007,Khartoum,,80,0,80,0,16,0,0,0,0,0,16,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hazawe,Rural,Village,70,14,Khartoum,SD01,SD01001,Jebel Awlia,,70,0,70,0,14,0,0,0,0,0,14,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hazawe,Rural,Village,65,13,Khartoum,SD01,SD01002,Um Bada,,65,0,65,0,13,0,0,0,0,0,13,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alkhoulab,Urban,Neighbourhood,120,24,Khartoum,SD01,SD01003,Bahri,,120,0,120,0,24,0,0,0,0,0,24,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alkhoulab,Urban,Neighbourhood,90,18,Khartoum,SD01,SD01001,Jebel Awlia,,90,0,90,0,18,0,0,0,0,0,18,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Goz Ahmed Nour,Rural,Village,305,61,Khartoum,SD01,SD01003,Bahri,,305,0,305,0,61,0,0,0,0,0,61,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Goz Ahmed Nour,Rural,Village,205,41,Khartoum,SD01,SD01007,Khartoum,,205,0,205,0,41,0,0,0,0,0,41,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Almanaseer,Urban,Neighbourhood,80,16,Khartoum,SD01,SD01006,Um Durman,,80,0,80,0,16,0,0,0,0,0,16,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Almanaseer,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01003,Bahri,,75,0,75,0,15,0,0,0,0,0,15,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Umdowina,Rural,Village,105,21,Khartoum,SD01,SD01003,Bahri,,105,0,105,0,21,0,0,0,0,0,21,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Umdowina,Rural,Village,55,11,Khartoum,SD01,SD01004,Sharg An Neel,,55,0,55,0,11,0,0,0,0,0,11,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,18 Nail,Urban,Neighbourhood,95,19,Khartoum,SD01,SD01006,Um Durman,,95,0,95,0,19,0,0,0,0,0,19,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,19 Nail,Urban,Neighbourhood,90,18,Khartoum,SD01,SD01002,Um Bada,,90,0,90,0,18,0,0,0,0,0,18,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Wad Hussein,Rural,Village,130,26,Khartoum,SD01,SD01006,Um Durman,,130,0,130,0,26,0,0,0,0,0,26,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Wad Hussein,Rural,Village,105,21,Khartoum,SD01,SD01007,Khartoum,,105,0,105,0,21,0,0,0,0,0,21,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Wad Keriee,Rural,Village,305,61,Khartoum,SD01,SD01001,Jebel Awlia,,305,0,305,0,61,0,0,0,0,0,61,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Wad Keriee,Rural,Village,155,31,Khartoum,SD01,SD01007,Khartoum,,155,0,155,0,31,0,0,0,0,0,31,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Najarow,Rural,Village,205,41,Khartoum,SD01,SD01006,Um Durman,,205,0,205,0,41,0,0,0,0,0,41,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Najarow,Rural,Village,130,26,Khartoum,SD01,SD01001,Jebel Awlia,,130,0,130,0,26,0,0,0,0,0,26,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alfadleen,Rural,Village,160,32,Khartoum,SD01,SD01007,Khartoum,,160,0,160,0,32,0,0,0,0,0,32,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alamousiya,Rural,Village,155,31,Khartoum,SD01,SD01006,Um Durman,,155,0,155,0,31,0,0,0,0,0,31,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Aljamousiya,Rural,Village,105,21,Khartoum,SD01,SD01007,Khartoum,,105,0,105,0,21,0,0,0,0,0,21,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Wad Karar,Rural,Village,90,18,Khartoum,SD01,SD01001,Jebel Awlia,,90,0,90,0,18,0,0,0,0,0,18,Food,Remain in same place
