,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: With Host Community,SHELTER CATEGORY: In Rented accomodation (paying rent),SHELTER CATEGORY: In Abandoned buildings/critical shelters/no rent,SHELTER CATEGORY: In schools or other public buildings/no rent,SHELTER CATEGORY: Gathering sites (informal settlements or open area),SHELTER CATEGORY: Unknown,total,TOP PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Aljamousiya,Rural,Village,75,15,Khartoum,SD01,SD01007,Khartoum,,75,0,75,0,15,0,0,0,0,0,15,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Aljebiliya,Rural,Village,85,17,Khartoum,SD01,SD01006,Um Durman,,85,0,85,0,17,0,0,0,0,0,17,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Aljebiliya,Rural,Village,50,10,Khartoum,SD01,SD01007,Khartoum,,50,0,50,0,10,0,0,0,0,0,10,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alkabour village,Rural,Village,235,47,Khartoum,SD01,SD01001,Jebel Awlia,,235,0,235,0,47,0,0,0,0,0,47,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alkabour village,Rural,Village,200,40,Khartoum,SD01,SD01006,Um Durman,,200,0,200,0,40,0,0,0,0,0,40,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alkapule Village,Rural,Village,255,51,Khartoum,SD01,SD01001,Jebel Awlia,,255,0,255,0,51,0,0,0,0,0,51,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alkapule Village,Rural,Village,150,30,Khartoum,SD01,SD01002,Um Bada,,150,0,150,0,30,0,0,0,0,0,30,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alkhoulab,Urban,neighbourhood,90,18,Khartoum,SD01,SD01003,Bahri,,90,0,90,0,18,0,0,0,0,0,18,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alkhoulab,Urban,neighbourhood,60,12,Khartoum,SD01,SD01001,Jebel Awlia,,60,0,60,0,12,0,0,0,0,0,12,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Almanaseer,Urban,neighbourhood,50,10,Khartoum,SD01,SD01006,Um Durman,,50,0,50,0,10,0,0,0,0,0,10,Food,Remain in the same place
