param_algorithm,param_n_neighbors,param_p,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,emotion
brute,4,1,"{'algorithm': 'brute', 'n_neighbors': 4, 'p': 1}",0.5829145728643216,0.631578947368421,0.6,0.5040650406504065,0.5374449339207048,0.5712006989607709,0.04529634809376686,121,0.4218181818181818,0.43795620437956206,0.2518248175182482,0.22545454545454546,0.44363636363636366,0.3561380225613803,0.09656445911618738,73,0.56,0.5919854280510018,0.5428051001821493,0.5009107468123861,0.5300546448087432,0.545151183970856,0.030346530740153487,57,0.48945147679324896,0.5172413793103448,0.35475578406169667,0.31155778894472363,0.4860557768924303,0.4318124412004888,0.08241554605314473,61,anger
brute,4,2,"{'algorithm': 'brute', 'n_neighbors': 4, 'p': 2}",0.5317919075144508,0.5778894472361809,0.4838709677419355,0.5304347826086957,0.5445026178010471,0.533697944580462,0.030221312660412628,177,0.33454545454545453,0.4197080291970803,0.16423357664233576,0.22181818181818183,0.3781818181818182,0.3036974120769741,0.09603370398295442,89,0.52,0.5573770491803278,0.49544626593806923,0.51183970856102,0.5300546448087432,0.522943533697632,0.02061210298473333,153,0.41071428571428575,0.4862579281183932,0.24523160762942778,0.3128205128205128,0.4463519313304721,0.38027525312261834,0.08867008253596691,85,anger
brute,5,1,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 1}",0.5128939828080229,0.5705882352941176,0.5377777777777778,0.509009009009009,0.5109289617486339,0.5282395933275122,0.02361925290998681,185,0.6509090909090909,0.708029197080292,0.4416058394160584,0.4109090909090909,0.68,0.5782906436629065,0.1258170451123901,17,0.5163636363636364,0.5883424408014571,0.5318761384335154,0.5063752276867031,0.5136612021857924,0.5313237290942209,0.02969725776771529,121,0.5737179487179487,0.6319218241042345,0.48496993987975956,0.45472837022132795,0.5834633385335414,0.5457602842913624,0.06574075995185767,17,anger
brute,5,2,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 2}",0.5282392026578073,0.5443786982248521,0.5118483412322274,0.5317073170731708,0.5197568389057751,0.5271860796187665,0.011023398996446328,193,0.5781818181818181,0.6715328467153284,0.39416058394160586,0.39636363636363636,0.6218181818181818,0.532411413404114,0.11581499288352554,29,0.5309090909090909,0.5555555555555556,0.5100182149362478,0.5227686703096539,0.5227686703096539,0.5284040404040404,0.015132966816783517,141,0.5520833333333334,0.6013071895424836,0.44536082474226807,0.45416666666666666,0.566225165562914,0.5238286359695332,0.06262380900965725,25,anger
brute,6,1,"{'algorithm': 'brute', 'n_neighbors': 6, 'p': 1}",0.5439330543933054,0.610655737704918,0.5925925925925926,0.46846846846846846,0.5019455252918288,0.5435190756902226,0.053435318962444765,165,0.4727272727272727,0.5437956204379562,0.23357664233576642,0.1890909090909091,0.4690909090909091,0.38165627073656266,0.1422932935611354,57,0.5381818181818182,0.599271402550091,0.5373406193078324,0.48633879781420764,0.5009107468123861,0.532408676933267,0.039096881349583605,105,0.5058365758754864,0.5752895752895753,0.3350785340314136,0.2694300518134715,0.4849624060150376,0.43411942860499686,0.11365655062986649,53,anger
brute,6,2,"{'algorithm': 'brute', 'n_neighbors': 6, 'p': 2}",0.5721649484536082,0.5411255411255411,0.5478260869565217,0.6039603960396039,0.5211864406779662,0.5572526826506483,0.028473515313660783,149,0.4036363636363636,0.4562043795620438,0.22992700729927007,0.22181818181818183,0.44727272727272727,0.3517717319177173,0.1043557570351825,77,0.5509090909090909,0.5355191256830601,0.5209471766848816,0.5373406193078324,0.517304189435337,0.5324040404040404,0.012130751727076373,109,0.47334754797441364,0.495049504950495,0.32390745501285345,0.32446808510638303,0.48140900195694714,0.41963631900021847,0.07824182671122284,65,anger
brute,7,1,"{'algorithm': 'brute', 'n_neighbors': 7, 'p': 1}",0.5054347826086957,0.5552884615384616,0.5616438356164384,0.5054347826086957,0.5130890052356021,0.5281781735215787,0.02496847979273313,189,0.6763636363636364,0.843065693430657,0.4489051094890511,0.3381818181818182,0.7127272727272728,0.6038487060384872,0.18380649492135662,9,0.5072727272727273,0.5846994535519126,0.5500910746812386,0.5027322404371585,0.517304189435337,0.5324199370756748,0.03094396311581436,101,0.5785381026438569,0.6695652173913044,0.4989858012170386,0.4052287581699346,0.5966514459665144,0.5497938650777298,0.09038536430591369,13,anger
brute,7,2,"{'algorithm': 'brute', 'n_neighbors': 7, 'p': 2}",0.5377906976744186,0.5526992287917738,0.5318181818181819,0.5901639344262295,0.5437158469945356,0.5512375779410279,0.020648998152619603,161,0.6727272727272727,0.7846715328467153,0.42700729927007297,0.3927272727272727,0.7236363636363636,0.6001539482415394,0.15972922157960254,13,0.5472727272727272,0.575591985428051,0.5264116575591985,0.5591985428051002,0.5573770491803278,0.553170392449081,0.01617142378841954,17,0.5977382875605816,0.6485671191553545,0.47368421052631576,0.47161572052401746,0.6209048361934477,0.5625020347919434,0.07511139393685633,5,anger
brute,8,1,"{'algorithm': 'brute', 'n_neighbors': 8, 'p': 1}",0.543859649122807,0.5661971830985916,0.5925925925925926,0.4883720930232558,0.5228070175438596,0.5427657070762213,0.03574902470177876,169,0.5636363636363636,0.7335766423357665,0.17518248175182483,0.15272727272727274,0.5418181818181819,0.4333881884538819,0.2299023684233603,45,0.5454545454545454,0.5865209471766849,0.5282331511839709,0.49544626593806923,0.5227686703096539,0.5356847160125848,0.030070766154820006,89,0.5535714285714286,0.6391096979332274,0.27042253521126763,0.2326869806094183,0.5321428571428571,0.4455866998936398,0.16285735833284942,45,anger
brute,8,2,"{'algorithm': 'brute', 'n_neighbors': 8, 'p': 2}",0.569620253164557,0.5590062111801242,0.6451612903225806,0.6585365853658537,0.5637583892617449,0.5992165458589721,0.04331253642177103,89,0.4909090909090909,0.656934306569343,0.21897810218978103,0.19636363636363635,0.610909090909091,0.43481884538818844,0.19335836234376186,41,0.56,0.5701275045537341,0.5500910746812386,0.546448087431694,0.5683060109289617,0.5589945355191258,0.009469345353911595,5,0.5273437500000001,0.6040268456375839,0.32697547683923706,0.3025210084033613,0.5863874345549739,0.46945090308703125,0.1290745949072884,41,anger
