param_alpha,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,emotion
0.55,{'alpha': 0.55},0.7471264367816092,0.7224334600760456,0.7159090909090909,0.7313432835820896,0.7764705882352941,0.7386565719168259,0.021613698791385947,6,0.7065217391304348,0.6909090909090909,0.6872727272727273,0.7101449275362319,0.717391304347826,0.7024479578392622,0.011511522177184758,11,0.7336956521739131,0.7132486388384754,0.7078039927404719,0.7241379310344828,0.7549909255898367,0.7267754280754359,0.016696404271154968,11,0.7262569832402235,0.7063197026022304,0.7012987012987012,0.7205882352941175,0.7457627118644068,0.720045266859936,0.01574860023749227,11,anger
0.6,{'alpha': 0.6},0.7490494296577946,0.7218045112781954,0.7142857142857143,0.7348484848484849,0.7777777777777778,0.7395531835695934,0.022480626567440917,1,0.7137681159420289,0.6981818181818182,0.6909090909090909,0.7028985507246377,0.7355072463768116,0.7082529644268775,0.015518508061193682,4,0.7373188405797102,0.7150635208711433,0.7078039927404719,0.7241379310344828,0.7622504537205081,0.7293149477892633,0.019190808787234316,1,0.7309833024118738,0.7097966728280962,0.7024029574861367,0.7185185185185184,0.756052141527002,0.7235507185543255,0.018832474119377378,1,anger
0.65,{'alpha': 0.65},0.7452471482889734,0.7137546468401487,0.7089552238805971,0.7376425855513308,0.7777777777777778,0.7366754764677654,0.024728869222363156,11,0.7101449275362319,0.6981818181818182,0.6909090909090909,0.7028985507246377,0.7355072463768116,0.7075283267457181,0.015327475927588123,7,0.7336956521739131,0.7096188747731398,0.7041742286751361,0.7259528130671506,0.7622504537205081,0.7271384044819695,0.020550165049126354,8,0.7272727272727272,0.7058823529411764,0.6998158379373849,0.7198515769944343,0.756052141527002,0.721774927334545,0.019716125488989347,9,anger
0.7,{'alpha': 0.7},0.7433962264150943,0.7164179104477612,0.7105263157894737,0.7404580152671756,0.7777777777777778,0.7377152491394565,0.023822750478450557,9,0.7137681159420289,0.6981818181818182,0.6872727272727273,0.7028985507246377,0.7355072463768116,0.7075256916996047,0.01637581287491342,8,0.7336956521739131,0.7114337568058077,0.7041742286751361,0.7277676950998185,0.7622504537205081,0.7278643572950367,0.020236619269978374,6,0.7282809611829943,0.7071823204419889,0.6987060998151571,0.7211895910780669,0.756052141527002,0.7222822228090419,0.019806194704251538,6,anger
0.75,{'alpha': 0.75},0.7443609022556391,0.7218045112781954,0.7105263157894737,0.7404580152671756,0.7777777777777778,0.7389855044736523,0.022982670015459974,4,0.717391304347826,0.6981818181818182,0.6872727272727273,0.7028985507246377,0.7355072463768116,0.7082503293807643,0.016712708878146947,5,0.7355072463768116,0.7150635208711433,0.7041742286751361,0.7277676950998185,0.7622504537205081,0.7289526289486836,0.019798932575753523,2,0.7306273062730627,0.7097966728280962,0.6987060998151571,0.7211895910780669,0.756052141527002,0.723274362304277,0.019585926080724833,3,anger
0.8,{'alpha': 0.8},0.7443609022556391,0.7234848484848485,0.7105263157894737,0.7376425855513308,0.7727272727272727,0.737748384961713,0.021032112070062572,8,0.717391304347826,0.6945454545454546,0.6872727272727273,0.7028985507246377,0.7391304347826086,0.7082476943346508,0.018404690801526246,6,0.7355072463768116,0.7150635208711433,0.7041742286751361,0.7259528130671506,0.7604355716878403,0.7282266761356164,0.019221753272482534,4,0.7306273062730627,0.7087198515769945,0.6987060998151571,0.7198515769944343,0.7555555555555555,0.7226920780430408,0.019604054230960653,4,anger
0.85,{'alpha': 0.85},0.7415730337078652,0.7191011235955056,0.7105263157894737,0.7348484848484849,0.7727272727272727,0.7357552461337205,0.021519564784415798,13,0.717391304347826,0.6981818181818182,0.6872727272727273,0.7028985507246377,0.7391304347826086,0.7089749670619236,0.017914179171166517,3,0.7336956521739131,0.7132486388384754,0.7041742286751361,0.7241379310344828,0.7604355716878403,0.7271384044819695,0.019395776046637715,8,0.729281767955801,0.7084870848708487,0.6987060998151571,0.7185185185185184,0.7555555555555555,0.7221098053431761,0.01957684622993257,7,anger
0.9,{'alpha': 0.9},0.7425373134328358,0.7201492537313433,0.7132075471698113,0.7348484848484849,0.7727272727272727,0.7366939743819495,0.020790810840957956,10,0.7210144927536232,0.7018181818181818,0.6872727272727273,0.7028985507246377,0.7391304347826086,0.7104268774703557,0.017904702262593795,1,0.7355072463768116,0.7150635208711433,0.705989110707804,0.7241379310344828,0.7604355716878403,0.7282266761356164,0.01884099501038069,4,0.7316176470588236,0.7108655616942909,0.7000000000000001,0.7185185185185184,0.7555555555555555,0.7233114565654377,0.019130976355975462,2,anger
0.95,{'alpha': 0.95},0.7397769516728625,0.7174721189591078,0.7105263157894737,0.7348484848484849,0.7727272727272727,0.7350702287994404,0.021690331965015647,14,0.7210144927536232,0.7018181818181818,0.6872727272727273,0.7028985507246377,0.7391304347826086,0.7104268774703557,0.017904702262593795,1,0.7336956521739131,0.7132486388384754,0.7041742286751361,0.7241379310344828,0.7604355716878403,0.7271384044819695,0.019395776046637715,8,0.7302752293577981,0.7095588235294119,0.6987060998151571,0.7185185185185184,0.7555555555555555,0.7225228453552882,0.01950690782434799,5,anger
0.0,{'alpha': 0.0},0.7046979865771812,0.6838709677419355,0.6870229007633588,0.7266666666666667,0.6776315789473685,0.6959780201393021,0.017783124728563984,11,0.8203125,0.828125,0.6976744186046512,0.8449612403100775,0.8046875,0.7991521317829458,0.05237180400377523,20,0.7392996108949417,0.7237354085603113,0.688715953307393,0.7626459143968871,0.7109375,0.7250668774319067,0.02505017573479521,20,0.7581227436823105,0.7491166077738516,0.6923076923076924,0.7813620071684587,0.7357142857142858,0.7433246673293199,0.029529708798374195,20,fear
