param_C,param_max_iter,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,emotion
10,10000,"{'C': 10, 'max_iter': 10000}",0.7727272727272727,0.8148148148148148,0.782608695652174,0.7631578947368421,0.8073394495412844,0.7881296254944775,0.019861606899203372,13,0.68,0.6984126984126984,0.72,0.696,0.704,0.6996825396825395,0.012915228384068453,25,0.7410358565737052,0.7689243027888446,0.76,0.74,0.768,0.75559203187251,0.012697487949159241,19,0.7234042553191491,0.7521367521367521,0.7499999999999999,0.7280334728033472,0.7521367521367521,0.7411422464792,0.01270192414102612,19,fear
5,1000,"{'C': 5, 'max_iter': 1000}",0.7727272727272727,0.8148148148148148,0.7894736842105263,0.7652173913043478,0.8,0.7884466326113924,0.017980612295379055,10,0.68,0.6984126984126984,0.72,0.704,0.704,0.7012825396825395,0.012855310079049838,19,0.7410358565737052,0.7689243027888446,0.764,0.744,0.764,0.7563920318725099,0.011508212251389361,16,0.7234042553191491,0.7521367521367521,0.7531380753138075,0.7333333333333334,0.748936170212766,0.7421897172631617,0.011795370201441387,16,fear
5,5000,"{'C': 5, 'max_iter': 5000}",0.7727272727272727,0.8148148148148148,0.7894736842105263,0.7652173913043478,0.8,0.7884466326113924,0.017980612295379055,10,0.68,0.6984126984126984,0.72,0.704,0.704,0.7012825396825395,0.012855310079049838,19,0.7410358565737052,0.7689243027888446,0.764,0.744,0.764,0.7563920318725099,0.011508212251389361,16,0.7234042553191491,0.7521367521367521,0.7531380753138075,0.7333333333333334,0.748936170212766,0.7421897172631617,0.011795370201441387,16,fear
5,10000,"{'C': 5, 'max_iter': 10000}",0.7727272727272727,0.8148148148148148,0.7894736842105263,0.7652173913043478,0.8,0.7884466326113924,0.017980612295379055,10,0.68,0.6984126984126984,0.72,0.704,0.704,0.7012825396825395,0.012855310079049838,19,0.7410358565737052,0.7689243027888446,0.764,0.744,0.764,0.7563920318725099,0.011508212251389361,16,0.7234042553191491,0.7521367521367521,0.7531380753138075,0.7333333333333334,0.748936170212766,0.7421897172631617,0.011795370201441387,16,fear
4,1000,"{'C': 4, 'max_iter': 1000}",0.7747747747747747,0.8148148148148148,0.7894736842105263,0.7739130434782608,0.7909090909090909,0.7887770816374935,0.014832386831317308,7,0.688,0.6984126984126984,0.72,0.712,0.696,0.7028825396825396,0.011532340189414908,10,0.7450199203187251,0.7689243027888446,0.764,0.752,0.756,0.7571888446215139,0.008491560453937418,10,0.728813559322034,0.7521367521367521,0.7531380753138075,0.7416666666666666,0.7404255319148937,0.7432361170708307,0.00889542373504093,13,fear
4,5000,"{'C': 4, 'max_iter': 5000}",0.7747747747747747,0.8148148148148148,0.7894736842105263,0.7739130434782608,0.7909090909090909,0.7887770816374935,0.014832386831317308,7,0.688,0.6984126984126984,0.72,0.712,0.696,0.7028825396825396,0.011532340189414908,10,0.7450199203187251,0.7689243027888446,0.764,0.752,0.756,0.7571888446215139,0.008491560453937418,10,0.728813559322034,0.7521367521367521,0.7531380753138075,0.7416666666666666,0.7404255319148937,0.7432361170708307,0.00889542373504093,13,fear
4,10000,"{'C': 4, 'max_iter': 10000}",0.7747747747747747,0.8148148148148148,0.7894736842105263,0.7739130434782608,0.7909090909090909,0.7887770816374935,0.014832386831317308,7,0.688,0.6984126984126984,0.72,0.712,0.696,0.7028825396825396,0.011532340189414908,10,0.7450199203187251,0.7689243027888446,0.764,0.752,0.756,0.7571888446215139,0.008491560453937418,10,0.728813559322034,0.7521367521367521,0.7531380753138075,0.7416666666666666,0.7404255319148937,0.7432361170708307,0.00889542373504093,13,fear
3,1000,"{'C': 3, 'max_iter': 1000}",0.7747747747747747,0.8148148148148148,0.7946428571428571,0.7739130434782608,0.7981651376146789,0.7912621255650772,0.015405411241445175,1,0.688,0.6984126984126984,0.712,0.712,0.696,0.7012825396825395,0.009405264335919601,19,0.7450199203187251,0.7689243027888446,0.764,0.752,0.76,0.7579888446215138,0.008530207942861155,1,0.728813559322034,0.7521367521367521,0.7510548523206751,0.7416666666666666,0.7435897435897435,0.7434523148071743,0.008375184970867882,7,fear
3,5000,"{'C': 3, 'max_iter': 5000}",0.7747747747747747,0.8148148148148148,0.7946428571428571,0.7739130434782608,0.7981651376146789,0.7912621255650772,0.015405411241445175,1,0.688,0.6984126984126984,0.712,0.712,0.696,0.7012825396825395,0.009405264335919601,19,0.7450199203187251,0.7689243027888446,0.764,0.752,0.76,0.7579888446215138,0.008530207942861155,1,0.728813559322034,0.7521367521367521,0.7510548523206751,0.7416666666666666,0.7435897435897435,0.7434523148071743,0.008375184970867882,7,fear
3,10000,"{'C': 3, 'max_iter': 10000}",0.7747747747747747,0.8148148148148148,0.7946428571428571,0.7739130434782608,0.7981651376146789,0.7912621255650772,0.015405411241445175,1,0.688,0.6984126984126984,0.712,0.712,0.696,0.7012825396825395,0.009405264335919601,19,0.7450199203187251,0.7689243027888446,0.764,0.752,0.76,0.7579888446215138,0.008530207942861155,1,0.728813559322034,0.7521367521367521,0.7510548523206751,0.7416666666666666,0.7435897435897435,0.7434523148071743,0.008375184970867882,7,fear
2,1000,"{'C': 2, 'max_iter': 1000}",0.7857142857142857,0.8148148148148148,0.7946428571428571,0.7563025210084033,0.7837837837837838,0.7870516524928289,0.018901831514442954,16,0.704,0.6984126984126984,0.712,0.72,0.696,0.7060825396825395,0.00887167494197912,4,0.7569721115537849,0.7689243027888446,0.764,0.744,0.752,0.7571792828685258,0.008775295585115585,13,0.7426160337552741,0.7521367521367521,0.7510548523206751,0.7377049180327868,0.7372881355932204,0.7441601383677418,0.006363049559335989,4,fear
