param_criterion,param_max_depth,param_splitter,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,emotion
entropy,,random,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}",0.6218487394957983,0.6338028169014085,0.6952380952380952,0.5833333333333334,0.562962962962963,0.6194371895863197,0.045718247621259187,1,0.5441176470588235,0.6617647058823529,0.5367647058823529,0.6222222222222222,0.5588235294117647,0.5847385620915032,0.048910510405319296,11,0.6066176470588235,0.6397058823529411,0.6507352941176471,0.5904059040590406,0.5608856088560885,0.6096700672889082,0.0327073437620608,1,0.5803921568627451,0.6474820143884893,0.6058091286307052,0.6021505376344085,0.5608856088560885,0.5993438892744873,0.02900056267932476,8,disgust
entropy,10,best,"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'best'}",0.5349794238683128,0.531496062992126,0.5428571428571428,0.5301204819277109,0.5153846153846153,0.5309675454059815,0.008958596450036781,14,0.9558823529411765,0.9926470588235294,0.9779411764705882,0.9777777777777777,0.9852941176470589,0.9779084967320262,0.012303997517320642,1,0.5625,0.5588235294117647,0.5772058823529411,0.5571955719557196,0.5276752767527675,0.5566800520946386,0.01613269196248652,13,0.6860158311345647,0.6923076923076924,0.6981627296587926,0.6875000000000001,0.6767676767676767,0.6881507859737452,0.007100360784749118,3,disgust
entropy,10,random,"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'random'}",0.5306122448979592,0.5317460317460317,0.5454545454545454,0.5258964143426295,0.5296442687747036,0.5326707010431739,0.006686840592115467,13,0.9558823529411765,0.9852941176470589,0.9705882352941176,0.9777777777777777,0.9852941176470589,0.974967320261438,0.010996331412838947,2,0.5551470588235294,0.5588235294117647,0.5808823529411765,0.5498154981549815,0.5535055350553506,0.5596347948773606,0.011011294785878575,12,0.6824146981627297,0.6907216494845362,0.6984126984126984,0.6839378238341968,0.6889460154241646,0.6888865770636651,0.005665569462985941,2,disgust
entropy,20,best,"{'criterion': 'entropy', 'max_depth': 20, 'splitter': 'best'}",0.5378151260504201,0.540650406504065,0.55,0.5346938775510204,0.515625,0.535756882021101,0.011291341924903121,12,0.9411764705882353,0.9779411764705882,0.9705882352941176,0.9703703703703703,0.9705882352941176,0.9661328976034858,0.01280558427012216,3,0.5661764705882353,0.5735294117647058,0.5882352941176471,0.5645756457564576,0.5276752767527675,0.5640384197959627,0.020013523929548138,9,0.6844919786096255,0.6963350785340314,0.7021276595744681,0.6894736842105262,0.673469387755102,0.6891795577367505,0.009876478809658315,1,disgust
entropy,20,random,"{'criterion': 'entropy', 'max_depth': 20, 'splitter': 'random'}",0.5443037974683544,0.540650406504065,0.7096774193548387,0.5368852459016393,0.5258964143426295,0.5714826567143054,0.06937174755290658,9,0.9485294117647058,0.9779411764705882,0.16176470588235295,0.9703703703703703,0.9705882352941176,0.8058387799564268,0.3221876135000682,7,0.5772058823529411,0.5735294117647058,0.5477941176470589,0.5682656826568265,0.5461254612546126,0.562584111135229,0.01308057428128137,10,0.6916890080428953,0.6963350785340314,0.2634730538922156,0.6912928759894459,0.6821705426356588,0.6049921118188494,0.17082124480876681,7,disgust
entropy,30,best,"{'criterion': 'entropy', 'max_depth': 30, 'splitter': 'best'}",0.5387931034482759,0.717948717948718,0.7,0.5338983050847458,0.5361702127659574,0.6053620678495395,0.08480342115992352,3,0.9191176470588235,0.20588235294117646,0.20588235294117646,0.9333333333333333,0.9264705882352942,0.6381372549019607,0.3529632890676454,10,0.5661764705882353,0.5625,0.5588235294117647,0.5608856088560885,0.5608856088560885,0.5618542435424354,0.002456028602885803,11,0.6793478260869565,0.32,0.3181818181818182,0.6792452830188679,0.679245283018868,0.535204042061302,0.17645657485259378,14,disgust
entropy,30,random,"{'criterion': 'entropy', 'max_depth': 30, 'splitter': 'random'}",0.5316455696202531,0.7073170731707317,0.5688888888888889,0.5446808510638298,0.5474137931034483,0.5799892351694304,0.06477738406312351,7,0.9264705882352942,0.21323529411764705,0.9411764705882353,0.9481481481481482,0.9338235294117647,0.7925708061002179,0.2897581998216722,9,0.5551470588235294,0.5625,0.6139705882352942,0.5793357933579336,0.5793357933579336,0.5780578467549382,0.02029749785053922,5,0.675603217158177,0.327683615819209,0.7091412742382271,0.691891891891892,0.6902173913043479,0.6189074780823706,0.1459998021453227,5,disgust
gini,,best,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.7650602409638554,0.7430555555555556,0.7733333333333333,0.7681159420289855,0.7530120481927711,0.7605154240149001,0.010989719649046993,14,0.6864864864864865,0.5783783783783784,0.6236559139784946,0.5698924731182796,0.6756756756756757,0.6268177855274629,0.04805062349939339,2,0.738544474393531,0.6900269541778976,0.7196765498652291,0.6981132075471698,0.727027027027027,0.7146776426021708,0.01805081149276433,2,0.7236467236467238,0.6504559270516717,0.6904761904761905,0.654320987654321,0.7122507122507123,0.6862301082159239,0.02964148502413541,2,joy
gini,,random,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}",0.7361963190184049,0.7943262411347518,0.7724137931034483,0.7908496732026143,0.82,0.7827572052918439,0.027789417738277165,13,0.6486486486486487,0.6054054054054054,0.6021505376344086,0.6505376344086021,0.6648648648648648,0.6343214181923859,0.025582176165936162,1,0.7088948787061995,0.7250673854447439,0.7115902964959568,0.738544474393531,0.7594594594594595,0.7287112988999782,0.018661393602637452,1,0.6896551724137931,0.6871165644171779,0.6767371601208458,0.7138643067846607,0.7343283582089551,0.7003403123890866,0.020900881353564667,1,joy
gini,10,best,"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'best'}",0.9032258064516129,0.8620689655172413,0.9215686274509803,0.9473684210526315,0.9090909090909091,0.908664545912675,0.027804370361757764,4,0.3027027027027027,0.2702702702702703,0.25268817204301075,0.2903225806451613,0.32432432432432434,0.2880616099970939,0.024908913730753497,16,0.6361185983827493,0.6145552560646901,0.6145552560646901,0.6361185983827493,0.6459459459459459,0.629458730968165,0.012686710007565083,16,0.45344129554655865,0.411522633744856,0.3966244725738396,0.4444444444444444,0.47808764940239046,0.4368240991424178,0.02930206677499168,16,joy
