,emoji flag,threshold,coverage,top emotion flag,Baseline Prevalence,0-baseline Accuracy,Random baseline Accuracy,Accuracy,Precision,Recall,F1
anger-disgust,0,0.8888888888888888,0.03857566765578635,0,0.4147454918968198,58.52545081031728,50.14836795252226,59.64391691394659,64.49704142011835,5.998899284534947,10.976837865055389
anger,0,1.0,0.03520841764467827,0,0.3932892033782172,60.67107966217758,50.05706459712395,61.28737731111618,65.51724137931035,3.3081834010446896,6.298342541436464
fear,0,1.0,0.032550335570469796,0,0.17804154302670394,82.19584569732937,48.93859849349464,82.40127824697558,54.63917525773196,6.794871794871795,12.086659064994299
sadness,0,1.0,0.061377245508982034,0,0.37388724035607657,62.611275964391695,50.37662634101803,63.70691622917142,64.63414634146342,6.471306471306471,11.76470588235294
disgust,0,1.0,0.01896551724137931,0,0.19516092216388686,80.48390778361104,49.71467701438028,79.89043597352203,20.454545454545453,1.0526315789473684,2.0022246941045605
joy,0,1.0,0.09455872594558726,0,0.26866012325952554,73.13398767404702,49.41794110933577,73.84158867838393,55.43859649122807,13.423959218351742,21.614227086183313
anger-disgust,0,1.0,0.03857566765578635,0,0.4147454918968198,58.52545081031728,49.30381191508788,59.64391691394659,64.49704142011835,5.998899284534947,10.976837865055389
anger,0,0.0,1.0,1,0.3932892033782172,60.67107966217758,50.78749144031043,62.56562428669253,61.756373937677054,12.6523505513639,21.001926782273603
fear,0,0.0,1.0,1,0.17804154302670394,82.19584569732937,51.79182834969185,74.20680209997717,31.50105708245243,38.205128205128204,34.53070683661645
sadness,0,0.0,1.0,1,0.37388724035607657,62.611275964391695,50.62771056836339,65.41885414288976,59.24812030075188,24.053724053724054,34.21623968736431
disgust,0,0.0,1.0,1,0.19516092216388686,80.48390778361104,50.14836795252226,77.9730655101575,22.77227722772277,5.380116959064328,8.703878902554399
joy,0,0.0,1.0,1,0.26866012325952554,73.13398767404702,50.58205889066423,71.85574069847067,47.48201438848921,44.85981308411215,46.133682830930546
anger-disgust,0,0.0,1.0,1,0.4147454918968198,58.52545081031728,50.46792969641634,61.8808491212052,58.69822485207101,27.297743533296643,37.265214124718256
anger,0,0.1111111111111111,0.2602185350060704,1,0.3932892033782172,60.67107966217758,50.14836795252226,62.56562428669253,61.756373937677054,12.6523505513639,21.001926782273603
fear,0,0.1111111111111111,0.3865771812080537,1,0.17804154302670394,82.19584569732937,50.55923305181465,74.20680209997717,31.50105708245243,38.205128205128204,34.53070683661645
