model,sample_size,resample,epochs,lr,batch_size,threshold,anger_accuracy,anger_macro_f1,fear_accuracy,fear_macro_f1,sadness_accuracy,sadness_macro_f1,disgust_accuracy,disgust_macro_f1,joy_accuracy,joy_macro_f1,anger-disgust_accuracy,anger-disgust_macro_f1
bert2,1,0,14,0.0001,8,0.5,0.3819840364880273,0.2764026402640264,0.8232611174458381,0.4515322076297686,0.6202964652223489,0.3828289936664321,0.1984036488027366,0.1655566127497621,0.7286202964652223,0.4215039577836411,0.4059293044469783,0.2887266828872668
bert2,1,0,16,0.0001,8,0.5,0.3842645381984036,0.2775947281713344,0.8369441277080958,0.4556176288019863,0.6282782212086659,0.3858543417366947,0.1870011402508551,0.1575408261287224,0.7320410490307868,0.4226464779460172,0.5917901938426454,0.3717765042979942
bert2,1,0,12,1e-05,16,0.5,0.6009122006841505,0.3753561253561253,0.8164196123147093,0.4494664155681104,0.3979475484606613,0.2846655791190864,0.8050171037628279,0.4459886291850916,0.7366020524515393,0.4241628365068943,0.4218928164196123,0.2967121090617481
bert2,1,0,14,1e-05,16,0.5,0.3842645381984036,0.2775947281713344,0.1505131128848346,0.130822596630327,0.3477765108323831,0.2580372250423012,0.7947548460661346,0.4428208386277001,0.7103762827822121,0.4153333333333334,0.403648802736602,0.2875710804224208
bert2,1,0,16,1e-05,16,0.5,0.4184720638540479,0.295016077170418,0.17787913340935,0.1510164569215876,0.6522234891676169,0.3947550034506556,0.1915621436716077,0.1607655502392344,0.2633979475484607,0.2084837545126354,0.4401368301026225,0.3056215360253365
bert2,1,0,12,5e-05,16,0.5,0.6100342075256556,0.3788951841359773,0.1904218928164196,0.1599616858237547,0.6282782212086659,0.3858543417366947,0.209806157354618,0.1734213006597549,0.7297605473204105,0.4218852999340804,0.4184720638540479,0.295016077170418
bert2,1,0,14,5e-05,16,0.5,0.3614595210946408,0.2654941373534338,0.1835803876852907,0.1551059730250481,0.6180159635119726,0.3819591261451726,0.17787913340935,0.1510164569215876,0.7240592930444698,0.419973544973545,0.6259977194982896,0.3849929873772791
bert2,1,0,16,5e-05,16,0.5,0.4002280501710376,0.2858306188925081,0.1790193842645382,0.1518375241779497,0.3740022805017103,0.2721991701244813,0.2006841505131129,0.1671415004748338,0.2736602052451539,0.2148612354521038,0.4230330672748004,0.297275641025641
bert2,1,0,12,0.0001,16,0.5,0.3933865450399088,0.2823240589198036,0.8187001140250855,0.4501567398119122,0.3854047890535917,0.2781893004115226,0.8118586088939567,0.448080553807426,0.2793614595210946,0.2183600713012477,0.5895096921322691,0.3708751793400287
bert2,1,0,14,0.0001,16,0.5,0.3911060433295324,0.2811475409836065,0.17787913340935,0.1510164569215876,0.3728620296465222,0.271594684385382,0.7879133409350056,0.4406887755102041,0.2759407069555302,0.2162645218945487,0.4093500570125427,0.2904530744336569
bert2,1,0,16,0.0001,16,0.5,0.621436716077537,0.3832630098452883,0.1892816419612314,0.159156279961649,0.6522234891676169,0.3947550034506556,0.814139110604333,0.4487743557510999,0.2839224629418472,0.2211367673179396,0.4013683010262258,0.2864117168429617
bert2,1,0,12,1e-05,32,0.5,0.3956670467502851,0.2834967320261438,0.2041049030786773,0.1695075757575757,0.3968072976054732,0.2840816326530612,0.8175598631698974,0.4498117942283563,0.2599771949828962,0.2063348416289593,0.4241733181299886,0.2978382706164931
