model,sample_size,resample,epochs,lr,batch_size,threshold,anger_accuracy,anger_macro_f1,fear_accuracy,fear_macro_f1,sadness_accuracy,sadness_macro_f1,disgust_accuracy,disgust_macro_f1,joy_accuracy,joy_macro_f1,anger-disgust_accuracy,anger-disgust_macro_f1
muse,1.0,0,12,7.5e-05,4,0.5,0.5895096921322691,0.3734520861116402,0.8015963511972634,0.4449367088607595,0.6009122006841505,0.3753561253561253,0.8038768529076397,0.445638432364096,0.7274800456100342,0.4211221122112211,0.5632839224629419,0.3650801751888837
muse,1.0,1,12,7.5e-05,4,0.5,0.7457240592930444,0.7426402759263232,0.74230330672748,0.6868688464503734,0.6864310148232611,0.6830935483404706,0.6989737742303307,0.6460942085697516,0.8506271379703535,0.8061728040976568,0.7799315849486887,0.778896684514891
muse,1.0,0,14,7.5e-05,4,0.5,0.6328392246294184,0.4018394252113941,0.8050171037628279,0.4459886291850916,0.629418472063854,0.3891828411864672,0.8027366020524516,0.4452877925363694,0.7297605473204105,0.4218852999340804,0.5997719498289624,0.4137667041838303
muse,1.0,1,14,7.5e-05,4,0.5,0.7411630558722919,0.7381548955468484,0.7491448118586089,0.6767654430193131,0.7023945267958951,0.6976377391090698,0.7126567844925884,0.6628775398132893,0.8358038768529077,0.790166287833473,0.766248574686431,0.7653589798137073
muse,1.0,0,16,7.5e-05,4,0.5,0.6202964652223489,0.40441729802486,0.8095781071835804,0.4473850031505986,0.6305587229190421,0.3867132867132867,0.798175598631699,0.4438807863031072,0.7594070695553021,0.440751318433897,0.5974914481185861,0.4353071435476781
muse,1.0,1,16,7.5e-05,4,0.5,0.7434435575826682,0.7413979516280167,0.7468643101482326,0.6747293504410585,0.6784492588369442,0.6711110047236053,0.7115165336374002,0.6538328925916392,0.8312428734321551,0.7860693565400845,0.7730900798175598,0.7726632668347044
muse,1.0,0,18,7.5e-05,4,0.5,0.6157354618015963,0.4216997837848415,0.8255416191562144,0.4522173641474079,0.6157354618015963,0.3810868031051517,0.7844925883694412,0.4396166134185303,0.7297605473204105,0.4299775390598218,0.6750285062713797,0.5560582082474117
muse,1.0,1,18,7.5e-05,4,0.5,0.7388825541619156,0.7368005818791814,0.7457240592930444,0.6822386325786194,0.7137970353477765,0.707764854570775,0.7046750285062714,0.6494842019983798,0.8289623717217788,0.7916825022803284,0.7571265678449259,0.7570646597297813
muse,1.0,0,20,7.5e-05,4,0.5,0.6385404789053591,0.4623949722020788,0.8118586088939567,0.448080553807426,0.6282782212086659,0.3915943139257746,0.7913340935005702,0.4417568427753023,0.7320410490307868,0.4386978345357637,0.6636259977194983,0.5571685075544008
muse,1.0,1,20,7.5e-05,4,0.5,0.7274800456100342,0.7270698318821105,0.7434435575826682,0.6751985514999383,0.6841505131128849,0.6785262937805108,0.6887115165336374,0.6380881119198241,0.8494868871151653,0.819991789819376,0.7833523375142531,0.782558200229669
muse,1.0,0,12,0.0001,4,0.5,0.6237172177879133,0.405933887283237,0.8346636259977195,0.4549409571162213,0.6066134549600912,0.3802805650627062,0.8175598631698974,0.4498117942283563,0.7217787913340935,0.4192052980132451,0.6499429874572406,0.50200408771005
muse,1.0,1,12,0.0001,4,0.5,0.7514253135689852,0.7462707563596213,0.7354618015963512,0.6785556299844542,0.6784492588369442,0.6732143423431042,0.7126567844925884,0.6737081438610997,0.830102622576967,0.7887549811262802,0.7594070695553021,0.7579518773585523
muse,1.0,0,14,0.0001,4,0.5,0.6202964652223489,0.4374404049860439,0.8232611174458381,0.4515322076297686,0.629418472063854,0.3920439396363248,0.798175598631699,0.4438807863031072,0.7240592930444698,0.43175148866898,0.6636259977194983,0.5419554729340947
muse,1.0,1,14,0.0001,4,0.5,0.7594070695553021,0.7543361924877829,0.7514253135689852,0.680590082865544,0.7115165336374002,0.7035234161730535,0.6955530216647663,0.6378773608978254,0.8472063854047891,0.8097823271955041,0.7844925883694412,0.7841681934130497
muse,1.0,0,16,0.0001,4,0.5,0.6465222348916762,0.4889277389277389,0.8107183580387686,0.4477329974811083,0.6077537058152793,0.3886817533393852,0.7890535917901939,0.4410452517527087,0.7229190421892816,0.4388168098737863,0.6807297605473204,0.5984432234432234
